GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8006585000,8654561000,9009842000,9157682000,9491393000,10037313000,10599603000,11374142000,12014107000,12475898000,12073407000,12586509000,13330436000,14003346000,14189228000,14969527000,15681233000,16092713000,16837337000,17671054000,18575467000,19812171000,21288709000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331501080,331893745
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59765,64143
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99847704,103369398,108215370,111947357,114904537,120123434,128828691,136861148,145692271,152984377,158450580,155913476,162531112,168474324,173361655,175185262,181078773,189115437,192363456,199191774,206712014,216587513,232040332,250828813
 "01000","Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5024803,5039877
 "01000","Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46179,49769
 "01001","Autauga, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",69973,77712,88114,100161,114952,124258,131693,150535,162073,188411,228017,250028,261969,280194,301941,337578,366200,390717,424990,465811,503406,531849,574764,614011,654079,713433,756832,810358,869142,926037,982927,1040246,1105703,1147287,1234162,1339381,1443011,1540270,1664862,1774920,1785964,1849584,1916140,1968559,1973126,2044530,2156845,2233800,2305472,2380893,2495580,2664063,2857062
 "01001","Autauga, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54826,55557,55558,55594,56034,56278,56954,57371,57728,58245,58877,59095
 "01001","Autauga, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2780,3158,3454,3687,4039,4246,4431,5035,5320,6101,7113,7761,8190,8746,9420,10505,11357,11878,12775,13849,14808,15482,16417,17063,17700,18683,19350,20155,21076,21993,22878,23631,24632,24990,26371,27693,29048,30008,31769,33315,32991,33736,34490,35433,35492,36487,38325,39221,40185,41243,42846,45248,48347
 "01003","Baldwin, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",157191,172745,196684,223797,268069,305794,345248,406080,435048,496475,542296,615733,717874,759626,844438,940987,1048339,1115365,1182205,1281576,1436895,1566530,1736418,1930098,2128721,2346375,2557326,2801985,3050203,3313871,3500710,3792123,3942661,4077725,4287483,4801448,5314389,5940548,6311686,6411800,6364898,6768269,7184451,7375651,7612912,8065302,8634950,9161041,9663394,10226651,10986182,11971269,13079505
