,Violent crime,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,PerCapitaInc,PovertyAllAgesPct,Immigration_Rate_2000_2010,Ed1LessThanHSPct,Ed3SomeCollegePct,Ed5CollegePlusPct,OwnHomePct,NumUnemployed2019,Year,Month,State,County,Housing_Units,Tier_1,Tier_2,Tier_3,Tier_4,male_officer,female_officer,Republican,Democrat,2022,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
1001,73,59759.0,29105.0,30654.0,3460.0,1797.0,1663.0,7021.0,3612.0,3409.0,3400.0,1720.0,1680.0,4702.0,2393.0,2309.0,47548.0,22807.0,24741.0,45878.0,21976.0,23902.0,22969.0,11297.0,11672.0,15751.0,7646.0,8105.0,15618.0,7665.0,7953.0,9807.0,4272.0,5535.0,3460.0,1797.0,1663.0,3844.0,2000.0,1844.0,4061.0,2074.0,1987.0,3771.0,1911.0,1860.0,3447.0,1740.0,1707.0,3688.0,1841.0,1847.0,4159.0,1966.0,2193.0,4062.0,2000.0,2062.0,3842.0,1839.0,2003.0,3751.0,1831.0,1920.0,3992.0,1967.0,2025.0,3989.0,1973.0,2016.0,3886.0,1894.0,1992.0,3125.0,1478.0,1647.0,2493.0,1121.0,1372.0,1945.0,793.0,1152.0,1225.0,495.0,730.0,1019.0,385.0,634.0,39.2,38.0,40.4,29372.0,13.8,-0.010222394,11.31141366,20.32502825,27.68928591,74.89462467,714.0,2013.0,12.0,1.0,1.0,22820.0,4.0,4.0,3.0,3.0,35.0,3.0,0.52,0.35,"59,759",0.388898,18.4,0.5,1.1,0.1,1.7,2.7,75.9
1003,127,246435.0,120164.0,126271.0,12470.0,6427.0,6043.0,25992.0,13286.0,12706.0,12806.0,6455.0,6351.0,17919.0,9017.0,8902.0,201491.0,97189.0,104302.0,195167.0,93996.0,101171.0,84226.0,41837.0,42389.0,56695.0,27960.0,28735.0,66513.0,32078.0,34435.0,54040.0,24941.0,29099.0,12470.0,6427.0,6043.0,13976.0,7131.0,6845.0,15210.0,7750.0,7460.0,14501.0,7364.0,7137.0,13030.0,6513.0,6517.0,12775.0,6428.0,6347.0,14271.0,6977.0,7294.0,14319.0,7081.0,7238.0,15330.0,7474.0,7856.0,14790.0,7214.0,7576.0,16476.0,8064.0,8412.0,16910.0,8087.0,8823.0,18337.0,8713.0,9624.0,17383.0,8132.0,9251.0,14614.0,6743.0,7871.0,10997.0,5288.0,5709.0,6113.0,2811.0,3302.0,4933.0,1967.0,2966.0,44.1,42.9,45.3,31203.0,9.8,1.584454727,9.735422379,21.95130248,31.34588303,73.61934319,2653.0,2013.0,12.0,1.0,3.0,106739.0,3.0,3.0,3.0,2.0,346.0,29.0,0.52,0.35,"246,435",0.297942,9.5,0.7,0.9,0.1,1.5,4.6,83.1
1007,0,22005.0,11775.0,10230.0,1159.0,576.0,583.0,2135.0,1100.0,1035.0,1051.0,558.0,493.0,1740.0,1022.0,718.0,18176.0,9824.0,8352.0,17660.0,9541.0,8119.0,8577.0,5044.0,3533.0,6049.0,3602.0,2447.0,5953.0,3195.0,2758.0,3918.0,1722.0,2196.0,1159.0,576.0,583.0,1219.0,617.0,602.0,1179.0,621.0,558.0,1191.0,652.0,539.0,1337.0,790.0,547.0,1545.0,944.0,601.0,1626.0,980.0,646.0,1485.0,875.0,610.0,1393.0,803.0,590.0,1484.0,834.0,650.0,1533.0,834.0,699.0,1531.0,820.0,711.0,1405.0,707.0,698.0,1161.0,561.0,600.0,1041.0,480.0,561.0,790.0,330.0,460.0,508.0,229.0,279.0,418.0,122.0,296.0,40.9,39.1,43.6,20199.0,21.8,0.341485462,16.79340938,18.61850444,11.48922687,75.07309942,266.0,2013.0,12.0,1.0,7.0,9048.0,2.0,2.0,2.0,1.0,24.0,0.0,0.52,0.35,"22,005",0.3941,22.1,0.4,0.2,0.1,0.9,2.1,74.6
1009,394,59512.0,29583.0,29929.0,3414.0,1750.0,1664.0,6769.0,3459.0,3310.0,3329.0,1626.0,1703.0,4752.0,2493.0,2259.0,47664.0,23543.0,24121.0,46000.0,22748.0,23252.0,21438.0,10863.0,10575.0,14198.0,7173.0,7025.0,15689.0,7944.0,7745.0,11361.0,5138.0,6223.0,3414.0,1750.0,1664.0,3650.0,1864.0,1786.0,3960.0,2024.0,1936.0,3720.0,1842.0,1878.0,3520.0,1848.0,1672.0,3529.0,1783.0,1746.0,3624.0,1820.0,1804.0,3458.0,1733.0,1725.0,3587.0,1837.0,1750.0,3708.0,1865.0,1843.0,4064.0,2061.0,2003.0,4041.0,1990.0,2051.0,3876.0,2028.0,1848.0,3511.0,1697.0,1814.0,2957.0,1375.0,1582.0,2343.0,1036.0,1307.0,1328.0,563.0,765.0,1222.0,467.0,755.0,41.2,40.4,42.1,22656.0,13.2,2.07701489,19.83748454,21.42983319,12.642895,78.62621359,676.0,2013.0,12.0,1.0,9.0,24020.0,3.0,3.0,2.0,1.0,80.0,7.0,0.52,0.35,"59,512",0.221056,1.8,0.6,0.3,0.1,1.1,8.7,87.8
1015,23,115788.0,56321.0,59467.0,6434.0,3345.0,3089.0,12036.0,6141.0,5895.0,5982.0,3131.0,2851.0,12882.0,6446.0,6436.0,94236.0,45234.0,49002.0,91336.0,43704.0,47632.0,45855.0,22883.0,22972.0,28508.0,14102.0,14406.0,28405.0,13884.0,14521.0,21541.0,9272.0,12269.0,6434.0,3345.0,3089.0,6666.0,3385.0,3281.0,6887.0,3552.0,3335.0,8597.0,4348.0,4249.0,8750.0,4433.0,4317.0,7094.0,3550.0,3544.0,7602.0,3802.0,3800.0,6801.0,3334.0,3467.0,7011.0,3416.0,3595.0,6559.0,3261.0,3298.0,7057.0,3452.0,3605.0,7206.0,3559.0,3647.0,7583.0,3612.0,3971.0,7098.0,3339.0,3759.0,5867.0,2619.0,3248.0,4044.0,1722.0,2322.0,2431.0,997.0,1434.0,2101.0,595.0,1506.0,39.3,37.6,40.9,24706.0,19.5,0.714793709,15.9474316,25.87224363,17.96802932,69.47349721,1635.0,2013.0,12.0,1.0,15.0,53359.0,3.0,3.0,3.0,2.0,173.0,13.0,0.52,0.35,"115,788",0.420387,20.9,0.5,0.8,0.1,1.6,3.5,73.1
1021,151,45884.0,22559.0,23325.0,2804.0,1438.0,1366.0,5448.0,2644.0,2804.0,2563.0,1283.0,1280.0,3854.0,1988.0,1866.0,36310.0,17825.0,18485.0,35069.0,17194.0,17875.0,16999.0,8495.0,8504.0,11259.0,5557.0,5702.0,11908.0,6050.0,5858.0,8048.0,3599.0,4449.0,2804.0,1438.0,1366.0,2889.0,1418.0,1471.0,3236.0,1559.0,1677.0,2876.0,1463.0,1413.0,2864.0,1475.0,1389.0,2859.0,1410.0,1449.0,2884.0,1438.0,1446.0,2717.0,1347.0,1370.0,2799.0,1362.0,1437.0,2849.0,1427.0,1422.0,3020.0,1609.0,1411.0,3022.0,1514.0,1508.0,3017.0,1500.0,1517.0,2650.0,1241.0,1409.0,2203.0,1027.0,1176.0,1551.0,709.0,842.0,920.0,362.0,558.0,724.0,260.0,464.0,39.7,39.0,40.3,24611.0,17.3,1.377296539,17.79612661,16.97378579,14.16104454,74.84926273,538.0,2013.0,12.0,1.0,21.0,19415.0,2.0,2.0,2.0,1.0,39.0,2.0,0.52,0.35,"45,884",0.332047,10.3,0.5,0.4,0.2,1.1,7.7,80.7
1051,88,89563.0,43693.0,45870.0,4787.0,2384.0,2403.0,9677.0,5082.0,4595.0,4730.0,2411.0,2319.0,7706.0,4143.0,3563.0,72747.0,35025.0,37722.0,70369.0,33816.0,36553.0,35477.0,17711.0,17766.0,24229.0,11752.0,12477.0,23446.0,11250.0,12196.0,14988.0,6671.0,8317.0,4787.0,2384.0,2403.0,5231.0,2695.0,2536.0,5634.0,2982.0,2652.0,5440.0,2830.0,2610.0,5808.0,3129.0,2679.0,5733.0,2867.0,2866.0,6652.0,3196.0,3456.0,6018.0,2887.0,3131.0,5826.0,2802.0,3024.0,5731.0,2675.0,3056.0,5876.0,2863.0,3013.0,5924.0,2902.0,3022.0,5915.0,2810.0,3105.0,5099.0,2395.0,2704.0,3895.0,1810.0,2085.0,2978.0,1356.0,1622.0,1680.0,700.0,980.0,1336.0,410.0,926.0,39.5,38.0,41.0,27475.0,11.2,0.088422007,13.61932603,19.6972686,24.505461,73.70552105,979.0,2013.0,12.0,1.0,51.0,33228.0,4.0,4.0,3.0,2.0,97.0,3.0,0.52,0.35,"89,563",0.408283,21.1,0.4,0.7,0.1,1.5,2.8,73.9
1055,135,103088.0,50181.0,52907.0,5832.0,3021.0,2811.0,11075.0,5801.0,5274.0,5168.0,2671.0,2497.0,8263.0,4210.0,4053.0,83561.0,40013.0,43548.0,81013.0,38688.0,42325.0,37045.0,18305.0,18740.0,24914.0,12101.0,12813.0,27291.0,13358.0,13933.0,20545.0,9019.0,11526.0,5832.0,3021.0,2811.0,6112.0,3168.0,2944.0,6263.0,3310.0,2953.0,5893.0,3080.0,2813.0,6238.0,3124.0,3114.0,6326.0,3153.0,3173.0,6422.0,3098.0,3324.0,5970.0,2918.0,3052.0,6196.0,2932.0,3264.0,6411.0,3141.0,3270.0,7177.0,3584.0,3593.0,6650.0,3264.0,3386.0,7053.0,3369.0,3684.0,6535.0,3055.0,3480.0,5702.0,2575.0,3127.0,4058.0,1815.0,2243.0,2390.0,954.0,1436.0,1860.0,620.0,1240.0,42.0,40.4,43.5,24065.0,17.5,1.100342738,15.48301965,25.02396,17.73317591,71.90344792,1428.0,2013.0,12.0,1.0,55.0,47579.0,3.0,3.0,3.0,2.0,200.0,8.0,0.52,0.35,"103,088",0.35812,15.5,0.6,0.8,0.3,1.5,3.6,78.5
1061,46,26783.0,13177.0,13606.0,1421.0,741.0,680.0,2939.0,1487.0,1452.0,1498.0,759.0,739.0,1997.0,1034.0,963.0,21672.0,10570.0,11102.0,20925.0,10190.0,10735.0,9294.0,4656.0,4638.0,6177.0,3065.0,3112.0,7081.0,3469.0,3612.0,5670.0,2622.0,3048.0,1421.0,741.0,680.0,1589.0,805.0,784.0,1728.0,884.0,844.0,1664.0,853.0,811.0,1453.0,738.0,715.0,1445.0,746.0,699.0,1594.0,780.0,814.0,1572.0,754.0,818.0,1566.0,785.0,781.0,1545.0,769.0,776.0,1789.0,865.0,924.0,1894.0,982.0,912.0,1853.0,853.0,1000.0,1826.0,934.0,892.0,1480.0,714.0,766.0,1154.0,536.0,618.0,620.0,227.0,393.0,590.0,211.0,379.0,42.9,41.9,44.0,20471.0,21.3,0.304972805,20.92160447,21.20120443,11.0925906,70.80828323,320.0,2013.0,12.0,1.0,61.0,12745.0,3.0,3.0,2.0,1.0,47.0,3.0,0.52,0.35,"26,783",0.278204,9.8,0.9,0.4,0.1,1.7,3.4,84.3
1065,33,14595.0,6939.0,7656.0,970.0,489.0,481.0,1753.0,913.0,840.0,760.0,389.0,371.0,1141.0,569.0,572.0,11490.0,5333.0,6157.0,11112.0,5148.0,5964.0,5182.0,2452.0,2730.0,3470.0,1599.0,1871.0,3544.0,1654.0,1890.0,2957.0,1326.0,1631.0,970.0,489.0,481.0,1003.0,524.0,479.0,939.0,494.0,445.0,860.0,432.0,428.0,852.0,421.0,431.0,921.0,422.0,499.0,885.0,403.0,482.0,849.0,406.0,443.0,815.0,368.0,447.0,779.0,340.0,439.0,776.0,384.0,392.0,973.0,429.0,544.0,1016.0,501.0,515.0,988.0,460.0,528.0,773.0,382.0,391.0,532.0,247.0,285.0,333.0,138.0,195.0,331.0,99.0,232.0,40.1,38.5,41.7,20272.0,25.6,0.19511927,16.3538874,19.40224407,14.10982028,71.47401909,241.0,2013.0,12.0,1.0,65.0,7683.0,2.0,2.0,1.0,1.0,9.0,0.0,0.52,0.35,"14,595",0.502985,57.9,0.2,0.3,0.0,0.6,1.1,40.2
