geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
05000US01003,"Baldwin County, Alabama",2009,19.244267,1.912928,,,,,,,53.596115,8.9975786,,,,,,,14.396803,1.7175006,48.92857,11.60866,,,,,,,14.605735,1.7667668
05000US01003,"Baldwin County, Alabama",2010,20.378584,2.0750241,,,,,,,39.66431,8.5031672,,,,,,,17.138662,1.9459357,44.014511,14.505694,,,,,,,18.348246,2.0488789
05000US01003,"Baldwin County, Alabama",2011,21.56213,2.4391096,,,,,,,53.586067,7.1267724,,,,,,,17.234955,2.4183328,48.9538,15.930658,,,,,,,17.868242,2.5688102
05000US01003,"Baldwin County, Alabama",2012,21.835699,1.918053,,,,,,,53.344364,12.130949,,,,,,,19.89534,1.8363529,36.80172,19.581301,,,,,,,19.702404,1.7908349
05000US01003,"Baldwin County, Alabama",2013,19.994459,2.1718612,,,,,,,54.893005,12.561037,,,,,,,16.07003,1.9282881,46.645634,14.950764,,,,,,,16.970524,2.0076857
05000US01003,"Baldwin County, Alabama",2014,18.968962,2.1828144,,,,,,,46.874123,9.7927971,22.652582,10.925933,18.830509,2.3070168,,,16.2644,2.3244655,35.062057,16.708912,,,,,,,16.597273,2.2627153
05000US01003,"Baldwin County, Alabama",2015,20.19931,2.0817173,,,,,,,46.588238,9.2576046,,,,,,,18.169636,2.0345116,34.910072,18.997196,,,,,,,18.250658,2.0555985
05000US01003,"Baldwin County, Alabama",2016,20.114931,2.2161298,,,,,,,57.350327,10.247651,,,,,,,16.558096,2.1727223,46.738022,16.430744,,,,,63.213814,23.948595,16.613201,2.1091936
05000US01003,"Baldwin County, Alabama",2017,19.537004,2.1119354,,,,,,,46.078896,10.77322,,,,,,,15.943615,1.8113233,40.607807,12.970696,,,,,,,17.467842,2.0499225
05000US01015,"Calhoun County, Alabama",2009,28.319052,2.6282516,,,,,,,61.239326,8.2555952,,,,,,,20.698339,2.6658313,56.696362,11.595458,,,,,,,20.562851,2.6448061
05000US01015,"Calhoun County, Alabama",2010,29.860909,2.4002078,,,,,,,67.005302,6.1708798,,,,,,,23.441366,2.7090595,59.098347,12.418025,,,,,,,23.620388,2.7052298
05000US01015,"Calhoun County, Alabama",2011,28.303347,2.4154334,,,,,,,44.847439,5.2624602,,,,,,,24.549356,2.7827463,41.895882,13.260457,,,,,,,24.789385,2.7969353
05000US01015,"Calhoun County, Alabama",2012,28.72521,2.7092757,,,,,,,49.628929,6.9354653,,,,,,,24.520992,3.1419067,42.097507,13.988367,,,,,,,23.744087,3.0419338
05000US01015,"Calhoun County, Alabama",2013,36.640766,3.4983773,,,,,,,58.547314,8.507555,,,,,,,30.009758,3.9690111,56.887501,15.384062,,,,,,,30.008108,3.9189167
05000US01015,"Calhoun County, Alabama",2014,30.517187,2.1603367,,,,,,,61.625462,5.2737842,,,,,,,23.337563,2.7017088,54.64045,9.71138,,,,,,,23.209967,2.6724241
05000US01015,"Calhoun County, Alabama",2015,32.947212,2.514941,,,,,,,68.975121,5.8937993,,,,,,,23.213408,2.9159842,63.783096,4.1154184,,,,,,,23.861853,2.970624
05000US01015,"Calhoun County, Alabama",2016,29.53656,2.5821402,,,,,,,61.093624,6.7441201,,,,,,,21.825157,2.9031758,54.365028,10.839314,,,,,,,21.698881,2.8849924
05000US01015,"Calhoun County, Alabama",2017,28.400152,2.7796459,,,,,,,53.516758,8.1090832,,,,,,,23.101078,3.0900428,45.309322,12.939255,,,,,,,23.603233,3.1103106
05000US01043,"Cullman County, Alabama",2009,22.124014,2.9841499,,,,,,,,,,,,,,,19.803949,2.76034,52.614796,43.060959,,,,,,,21.770857,3.001955
05000US01043,"Cullman County, Alabama",2010,25.640419,3.3204277,,,,,,,,,,,,,,,24.821577,3.388092,46.384041,103.81048,,,,,,,25.415621,3.342351
05000US01043,"Cullman County, Alabama",2011,18.163265,2.8754542,,,,,,,,,,,,,,,18.78351,3.0130041,7.7735848,73.030159,,,,,,,18.170328,2.9121995
05000US01043,"Cullman County, Alabama",2012,25.058437,3.1942744,,,,,,,,,,,,,,,24.717068,3.3229034,31.330868,84.119019,,,,,,,24.8895,3.3011451
05000US01043,"Cullman County, Alabama",2013,28.238604,3.0557125,,,,,,,,,,,,,,,26.742622,3.2582924,50.065445,58.249527,,,,,,,27.310043,3.1848431
05000US01043,"Cullman County, Alabama",2014,18.913191,2.9114242,,,,,,,,,,,,,,,16.908924,2.7542427,55.360443,40.705101,,,,,,,17.885303,2.8587267
05000US01043,"Cullman County, Alabama",2015,21.025249,2.9134619,,,,,,,,,,,,,,,21.098194,2.9973373,19.685768,79.308464,,,,,,,20.988075,2.9711637
05000US01043,"Cullman County, Alabama",2016,21.437519,2.8826504,,,,,,,,,,,,,,,20.874897,2.9188204,33,81.307533,,,,,,,21.500095,2.9406972
05000US01043,"Cullman County, Alabama",2017,21.749876,3.0875542,,,,,,,,,,,,,,,21.933105,3.2348969,19.48481,58.057583,,,,,,,21.366905,3.1266305
05000US01049,"DeKalb County, Alabama",2009,21.537859,3.6738634,,,,,,,,,,,,,,,20.38063,3.6990776,28.639999,33.426556,,,,,,,21.686026,3.8514726
05000US01049,"DeKalb County, Alabama",2010,25.984882,3.4750626,,,,,,,,,,,,,,,22.549801,3.2914445,51.059414,29.920132,,,,,,,23.197458,3.3931706
05000US01049,"DeKalb County, Alabama",2011,22.417562,3.22383,,,,,,,,,,,,,,,22.554081,3.2556973,21.79858,23.211195,,,,,,,22.968199,3.517215
05000US01049,"DeKalb County, Alabama",2012,14.929038,2.3434389,,,,,,,,,,,,,,,14.012365,2.3012984,25.487255,32.560287,,,,,,,14.000249,2.3074524
05000US01049,"DeKalb County, Alabama",2013,19.607601,3.6043041,,,,,,,,,,,,,,,16.444929,3.0963767,37.34203,24.6698,,,,,,,20.471972,3.8414896
05000US01049,"DeKalb County, Alabama",2014,22.580645,2.7215486,,,,,,,,,,,,,,,22.806896,3.0472658,21.247961,26.210609,,,,,,,23.921991,3.1092937
