FIPS,State,County,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,Deep_Pov_All,Deep_Pov_Children,PovertyUnder18Num,PovertyAllAgesNum,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,ForeignBornNum,TotalPopACS,ForeignBornAfricaPct,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,Ed5CollegePlusNum,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornEuropeNum,NonEnglishHHNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,LandAreaSQMiles2010,Age65AndOlderNum2010,TotalPop2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2019,NaturalChange1019,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1019,TotalPopEst2018,TotalPopEstBase2010,UnempRate2019,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1019,PctEmpChange1819,PctEmpChange0719,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,UnempRate2011,NumCivLaborForce2011,NumEmployed2011,NumCivLaborForce2012,NumUnemployed2010,NumCivLaborForce2008,NumUnemployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,UnempRate2012,NumEmployed2008,UnempRate2009,NumUnemployed2008,NumUnemployed2015,NumUnemployed2019,NumCivLaborforce2019,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2013,NumEmployed2015,NumEmployed2012,NumUnemployed2014,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2019,NumEmployed2013,NumUnemployed2007,NumEmployed2007,NumCivLaborforce2007,NumUnemployed2012,NumCivLaborforce2015,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,RuralUrbanContinuumCode2003,UrbanInfluenceCode2003,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,Perpov_1980_0711,PersistentChildPoverty_1980_2011,Hipov,HiAmenity,HiCreativeClass2000,Gas_Change,Oil_Change,Oil_Gas_Change,Metro2003,NonmetroNotAdj2003,NonmetroAdj2003,Noncore2003,EconomicDependence2000,Nonmetro2003,Micropolitan2003,FarmDependent2003,ManufacturingDependent2000,LowEducation2000,RetirementDestination2000,PersistentPoverty2000,Noncore2013,Type_2015_Nonspecialized_NO,Metro_Adjacent2013,PersistentChildPoverty2004,RecreationDependent2000
0,US,United States,61937,32621,18,13.1,6.249590402,8.598275656,12997532,41852315,0.475,6.116,328239523,2.485,3.631,2.485,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.48356099,1.479753844,3.528755676,4.445898529,12.33625163,27.13040694,20.61256208,8.394897155,31.52588219,2.63,12.57676765,10.74824709,63.84759732,43538827,322903030,0.666270924,45027332,59265308,26948057,218446071,68867051,119730128,4.149394324,18338323,4778170,5323080,12868890,76444810,15058180,119730128,5.53787185,17881956,1.316505763,4251037,2151409,13398520,11394459,3531905.43,40267984,308745538,74181467,,,,313830990,315993715,309321666,318301008,311556874,7685444,11232413,320635163,322941311,324985539,7685444,326687501,308758105,3.7,3.9,4.4,4.9,5.3,6.2,9.6,4.6,12.7,1.3,8.24,-3.96,1.284583927,0.544318208,6.465189538,10.18128899,13.92313025,5.227259437,2.071683517,6.557098079,49.1101774,4.635270641,152739884,9,154606324,140765822,155119209,14862528,153761298,13840502,139408198,154270726,14230942,139594849,153825791,5.8,8.1,144860522,9.3,8900776,8283796,5984808,163100055,6286707,155102319,161389026,6975103,153183461,160158564,7723517,150902618,158626135,155485689,148515185,142600412,9618987,146338323,155957310,7.4,11467539,157115247,144018150,7035039,145156247,152191286,12518797,156798981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,AL,Alabama,49881,26846,23.9,16.8,7.611623109,11.59131277,255613,801758,0.317,2.461,4903185,1.059,1.402,0.809,7.48,3.3,3.3,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.2,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.455746318,0.390200383,1.015544702,1.186226293,14.24390856,30.91469649,21.62618433,8.287772147,24.92743847,2.55,14.4063036,11.41555334,68.55046233,168111,4864680,0.17507832,713655,1020172,470043,3299958,822595,1860269,1.097831718,273493,18982,22067,212360,1275223,267996,1860269,1.565508934,76157,0.139001949,6762,8517,53406,49403,50645.33,657792,4779736,1132459,54447,147019.5,147119,4815588,4830081,4785437,4841799,4799069,38731,67083,4852347,4863525,4874486,50665,4887681,4780125,3,3.9,4.4,5.8,6.1,6.8,10.5,4,10.69,2.05,4.09,-5.96,1.069577427,0.418932272,6.53722141,14.2438417,14.32594279,5.366570553,1.577785611,5.537273415,45.48631777,5.436537058,2076708,9.6,2202670,1990413,2176337,231483,2176489,212257,1964559,2196042,238252,1924747,2162999,5.7,8,2053477,11,123012,131476,67264,2241747,85782,2130845,2216627,96496,2090373,2186869,127307,2055251,2182558,2174000,2030005,2003290,146552,2014290,2160842,7.2,156957,2174483,2017043,86485,2089127,2175612,173047,2161481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,AL,Autauga,59338,29372,19.3,13.8,6.142609331,8.910593539,2509,7587,0.605,2.001,55869,0.686,1.315,-0.029,24.96,11.87,5.46,-0.010222394,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,2.018115942,0.335144928,0.346014493,0.653563817,11.31141366,32.60775978,20.32502825,8.066512404,27.68928591,2.59,11.3900071,10.54226853,74.89462467,1114,55200,0,7554,12119,4204,37166,10291,21115,0.884057971,2998,185,138,2226,15814,2405,21115,0.635869565,351,0.119565217,66,0,488,191,594.44,6546,54571,14613,-4.5,2403.5,5224,54954,54727,54773,54893,55227,-16,720,54864,55243,55390,376,55533,54597,2.7,3.6,3.9,5.1,5.2,5.8,8.9,3.3,8.65,0.78,7.98,-0.62,0.551318189,0.331619964,6.00232134,12.94561433,11.64815122,6.984745482,1.629083071,6.259326811,43.39661748,10.25120212,24124,8.4,25836,23677,25740,2282,24687,2159,23431,25713,2402,22301,24703,5.1,6.9,23420,9.7,1267,1331,714,26172,935,25261,26196,1013,25062,26075,1322,24709,26031,25810,24321,23961,1495,24097,25592,6.2,1605,25458,24205,806,23577,24383,1779,25652,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
1003,AL,Baldwin,57588,31203,13.9,9.8,4.482528095,6.214526428,6442,21069,2.469,21.911,223234,21.001,0.91,0.714,29.8,26.17,3.32,1.584454727,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.445343021,0.771718395,0.820251121,1.424537661,9.735422379,27.60682772,21.95130248,9.360564396,31.34588303,2.61,9.520236066,12.83737376,73.61934319,7170,208107,0.091299187,32266,40579,14310,146989,46075,78622,0.559327654,13759,1606,1120,10093,57881,7485,78622,1.518449644,3160,0.368079882,766,190,1164,1707,1589.78,30568,182265,41898,2239.5,4686.5,36984,190145,194885,183112,199183,186558,1307,1667,202939,207601,212521,38455,217855,182265,2.7,3.6,4.1,5.3,5.5,6.1,10,3.1,26.03,3.12,18.2,-6.22,0.956317802,0.371603894,8.269525268,9.119823515,16.80035126,4.925090224,1.369686975,7.398879834,45.7222716,5.06644963,93379,9,85045,77418,84414,8339,83223,7627,75120,83459,8048,74403,82451,4.6,7.5,79372,9.8,3851,4862,2653,97328,3424,91809,95233,3745,88711,92456,4835,86060,90895,85280,83010,78065,5301,81083,86384,6.6,5654,94675,79626,2560,80099,82659,6349,87872,3,2,4,5,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,1,9,0,9,0,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,1
1005,AL,Barbour,34382,18461,43.9,30.9,12.74938747,26.70979667,2242,6788,-0.748,-9.664,24686,-8.797,-0.867,0.161,-5.44,-4.8,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.7,12837,12820,107,60,1387,258,2.505624079,0.240477853,1.29935614,1.469627694,26.96857976,35.6903098,18.08727233,7.037913388,12.21592472,2.49,19.33376878,14.51121272,61.39777923,646,25782,0,3287,6486,4901,18173,2220,9186,0.310294004,1279,62,135,1333,5640,1776,9186,1.869521371,482,0.011636025,3,0,80,335,884.88,3909,27457,6015,530.5,664,-1393,27169,26937,27327,26755,27341,44,-237,26283,25806,25157,-2404,24872,27455,3.8,5.1,5.8,8.3,8.9,10.5,12.3,6.3,-8.33,2.83,-15.19,-7.49,4.403669725,0.114678899,6.25,23.88761468,13.4059633,6.915137615,0.240825688,3.967889908,33.71559633,7.098623853,8720,11.5,9849,8712,9362,1262,10161,1137,8959,10221,1431,8572,10003,8.8,11.5,9267,14.3,894,765,324,8537,427,7987,8414,486,7863,8349,700,7736,8436,9099,7860,8283,932,7913,8845,10.2,931,8213,8168,650,9684,10334,1079,8625,6,6,6,6,0,1,0,3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,1,1,0,1,1,0
1007,AL,Bibb,46064,20199,27.8,21.8,5.897009967,9.262064488,1238,4400,0.121,-2.081,22394,-2.099,0.017,0.525,10.03,6.43,2.1,0.341485462,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,8.32,9.6,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.442713189,0.03551294,0.168686465,0.687134503,16.79340938,47.34474018,18.61850444,5.754119138,11.48922687,2.99,13.65497076,12.93859649,75.07309942,325,22527,0,2938,7471,2650,15780,1813,6840,0.226394993,908,8,47,885,5135,934,6840,1.056509966,238,0.12429529,28,0,51,38,622.58,2906,22915,5201,68,417.5,1280,22667,22521,22870,22553,22745,120,4,22566,22586,22550,-480,22367,22915,3.1,3.9,4.4,6.4,6.6,7.2,11.4,4.1,6.38,1.83,-0.15,-6.14,1.901469317,4.086924312,9.013458452,18.70601309,10.86553896,4.88949253,1.308803556,4.580812446,39.37523151,5.272255834,8099,10.5,8933,7996,8798,1020,8749,937,7914,8934,1161,7581,8742,5.8,8.5,8241,13.3,508,568,266,8685,337,8268,8605,375,8208,8583,556,8088,8644,8705,8021,8047,617,7942,8559,7.9,689,8419,8016,359,8432,8791,751,8589,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,1,0,1,0,1,0
1009,AL,Blount,50412,22656,18,13.2,7.310535721,12.33308327,2374,7527,0.095,0.784,57826,-0.005,0.79,0.207,12.34,12.27,3.14,2.07701489,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,8.41,21.07,64.29,34.43,70.2,31.79,50952,724,115,285,4626,684,4.359441409,0.289704224,3.131234279,1.461165049,19.83748454,34.03992228,21.42983319,12.04986499,12.642895,2.77,9.597087379,11.04854369,78.62621359,2513,57645,0.114493885,8492,13489,7861,39627,5010,20600,0.241131061,4775,167,301,2276,16197,1977,20600,3.528493365,2034,0.10408535,60,66,139,1805,644.78,8439,57322,14106,1061.5,1606,6268.5,57580,57619,57376,57526,57560,119,453,57526,57494,57787,-3,57771,57322,2.7,3.5,4,5.4,5.4,6.1,9.8,3.2,9.77,1.88,-4.36,-12.88,1.485055748,0.796402136,9.463131266,16.41056872,15.35650707,6.863112527,1.250819826,5.837159187,37.95090415,4.586339361,21346,8.7,25123,22939,24960,2446,26698,2184,22460,24906,2648,23832,26480,4.7,6.9,25453,10,1245,1323,676,25331,868,24201,25069,998,23824,24822,1326,23358,24684,24887,23198,23244,1504,23023,24527,6.3,1562,24655,23325,849,25780,26629,1716,24521,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0
1011,AL,Bullock,29267,20346,68.3,42.5,17.66071248,44.64199904,1433,3610,-0.718,-7.126,10101,-7.769,0.644,0.699,-6.83,-9.13,3.2,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10,-4.76,-45.95,141.3,4.88,2392,7637,20,20,777,86,0.927357032,0.173879444,0,1.052923247,24.77477477,39.65371622,16.96227477,5.306869369,13.30236486,2.75,24.46661125,10.75090053,75.53338875,96,10352,0.144899536,1205,2817,1760,7104,945,3609,0.222179289,377,18,38,388,2726,883,3609,0.31877898,33,0.067619784,7,15,23,0,622.8,1469,10914,2430,424,371,-1057.5,10606,10549,10876,10663,10675,76,70,10400,10389,10176,-845,10174,10911,3.6,4.6,4.9,6.8,7.9,8.8,11.8,9.4,6.59,1.58,40.36,31.68,5.939086294,0,4.923857868,33.75634518,7.411167513,5.203045685,0.431472081,2.30964467,33.47715736,6.54822335,3940,11.6,4833,4272,4736,585,3634,561,4356,4941,583,3156,3739,10.5,10.4,3251,15.6,383,379,175,4818,220,4571,4791,238,4614,4852,330,4514,4844,4778,4406,4245,418,4314,4732,9.4,447,4643,4331,345,3308,3653,491,4785,6,6,6,6,0,1,0,3,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
1013,AL,Butler,37365,20430,36.3,24.5,7.667326331,12.12723658,1566,4731,-0.932,-7.09,19448,-5.738,-1.352,0.697,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,1.373283396,0.229712859,0.064918851,0.447227191,15.41618664,43.85800691,16.89228111,7.740495392,16.09302995,2.94,18.47048301,12.29874776,69.94633274,275,20025,0,2346,6091,2141,13888,2235,6708,1.078651685,1075,46,30,825,4692,1239,6708,0.064918851,13,0,0,0,216,13,776.83,3489,20947,5056,44,-52.5,-1423,20670,20356,20932,20327,20866,146,-283,20162,20012,19888,-1201,19631,20940,3.6,4.7,5.5,6.9,7.6,8.6,13.6,6.2,11.59,4.35,4.52,-6.34,2.891566265,0.063411541,5.618262524,24.032974,12.63157895,4.590995561,1.306277743,3.031071655,40.34242232,5.491439442,7885,12.5,9188,8042,9088,1263,9051,1146,7998,9261,1489,7615,9104,8.5,11.5,8278,16.4,773,694,338,9263,420,8553,8973,494,8481,8975,636,8593,9229,9147,8457,8039,793,8477,9270,10.3,941,8925,8206,560,8539,9099,1049,9151,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,1,1,1,1,1,0
1015,AL,Calhoun,45400,24706,26.5,19.5,7.379823363,11.47018478,6397,21719,-0.635,-4.056,113605,-3.268,-0.788,0.471,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,-0.36,16.66,32.8,12.41,122.08,82.7,87285,24177,830,480,3893,1975,2.657735147,0.416167092,0.962657909,1.048120267,15.9474316,32.41675618,25.87224363,7.795539268,17.96802932,2.49,16.35911443,10.8631448,69.47349721,3059,115098,0.088620132,20474,25653,12620,79135,14219,45033,0.747189352,6169,479,472,4892,31286,7367,45033,1.306712541,1504,0.07385011,85,102,860,1108,605.87,16990,118572,27126,794,1800.5,1645,117190,116471,118408,115917,117744,558,-933,115469,114973,114710,-3870,114331,118526,3.5,4.6,4.9,6.5,7,8,11.4,3.9,-2.46,0.87,-15.43,-13.3,1.0756484,0.15781714,6.036505596,17.63814191,15.06738377,4.611998256,1.526257865,4.352430592,42.36351932,7.170297153,48157,10.3,51268,45963,49649,5860,54564,5305,45699,51559,5996,47929,53925,5.7,8.9,51468,11.1,3096,3231,1635,46209,2116,44191,46307,2271,43679,45950,2997,43016,46013,48405,42764,45252,3770,43467,47237,8.8,4242,44574,44163,2152,52709,54861,4397,45995,3,2,3,2,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
