yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
22021,2,2021,AK0010200,AK0010200,,N,N,,I,FAIRBANKS,FAIRBANKS PD,Fairbanks,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,30598,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,34,0,34,2,5,7,1.2,1.3,2021-01-01,2021-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,FAIRBANKS NORTH STAR,"Fairbanks, AK",Y,Y,Y
42021,4,2021,AK0010400,AK0010400,,N,N,,I,KETCHIKAN,KETCHIKAN PD,Ketchikan,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,8198,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,22,0,22,1,12,13,2.8,4.3,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,KETCHIKAN GATEWAY,Not Specified,Y,Y,Y
52021,5,2021,AK0010500,AK0010500,,N,N,,I,KODIAK,KODIAK PD,Kodiak,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,5776,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,13,25,4,10,14,2.8,6.8,2021-01-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,KODIAK ISLAND,Not Specified,Y,Y,Y
62021,6,2021,AK0010600,AK0010600,,N,N,,I,NOME,NOME PD,Nome,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,3871,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,3,13,1,8,9,2.8,5.7,2021-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,NOME,Not Specified,Y,Y,Y
72021,7,2021,AK0010700,AK0010700,,N,N,,I,PETERSBURG,PETERSBURG PD,Petersburg,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,3302,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,1,10,0,3,3,2.7,3.9,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,PETERSBURG,Not Specified,Y,Y,Y
82021,8,2021,AK0010800,AK0010800,,N,N,,I,SEWARD,SEWARD PD,Seward,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,2950,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,6,16,0,3,3,3.4,6.4,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,KENAI PENINSULA,Not Specified,Y,Y,Y
102021,10,2021,AK0011000,AK0011000,,N,N,,I,SKAGWAY,SKAGWAY PD,Skagway,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,1202,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,2,6,0,4,4,3.3,8.3,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,SKAGWAY,Not Specified,Y,Y,Y
112021,11,2021,AK0011100,AK0011100,,N,N,,I,WRANGELL,WRANGELL PD,Wrangell,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,2522,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,2,8,0,4,4,2.4,4.8,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,WRANGELL,Not Specified,Y,Y,Y
122021,12,2021,AK0011200,AK0011200,,N,N,,I,VALDEZ,VALDEZ PD,Valdez,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,3842,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,1,0,1,3.1,3.1,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,VALDEZ-CORDOVA,Not Specified,Y,Y,Y
132021,13,2021,AK0011300,AK0011300,,N,N,,I,BETHEL,BETHEL PD,Bethel,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,6717,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,7,24,2,5,7,2.8,4.6,2021-01-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,BETHEL,Not Specified,Y,Y,Y
142021,14,2021,AK0011400,AK0011400,,N,N,,I,CORDOVA,CORDOVA PD,Cordova,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,2162,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,2,6,0,2,2,1.9,3.7,2021-01-01,2021-01-01,2021-09-01,2021-09-01,2021-09-01,2021-09-01,N,VALDEZ-CORDOVA,Not Specified,Y,Y,Y
152021,15,2021,AK0011600,AK0011600,,N,N,,I,KOTZEBUE,KOTZEBUE PD,Kotzebue,,A,1,Alaska,AK,AK,9,Pacific,4,West,Region IV,City,3264,23353,AKUCR0001,Department of Public Safety Criminal Records and Identification Bureau Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,0,15,0,2,2,4.6,5.2,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NORTHWEST ARCTIC,Not Specified,Y,Y,Y
