yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
492021,49,2021,AL0010000,AL0010000,,N,N,,I,JEFFERSON,JEFFERSON CO SO BIRMINGHAM,Jefferson,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,County,158921,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,483,65,548,98,139,237,3.7,4.9,2006-01-01,2021-01-01,2021-01-01,2021-01-01,,2021-01-01,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
512021,51,2021,AL0010200,AL0010200,,N,N,,I,BIRMINGHAM,BIRMINGHAM PD,Birmingham,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,206476,23354,ALUCR0001,Alabama Law Enforcement Agency,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,651,71,722,105,124,229,3.7,4.6,2006-01-01,2021-02-01,2021-02-02,2021-02-02,,,N,"JEFFERSON, SHELBY","Birmingham-Hoover, AL",Y,Y,Y
522021,52,2021,AL0010300,AL0010300,,N,N,,I,MOUNTAIN BROOK,MOUNTAIN BROOK PD,Mountain Brook,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,20006,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,55,5,60,5,8,13,3.0,3.6,2006-01-01,2021-01-01,2021-01-01,2021-01-01,,2021-01-01,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
562021,56,2021,AL0010700,AL0010700,,N,N,,I,MIDFIELD,MIDFIELD PD,Midfield,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,4918,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,3,14,1,2,3,2.4,3.5,2006-01-01,2020-01-01,2020-01-01,2020-06-01,,2020-06-01,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
572021,57,2021,AL0010800,AL0010800,,N,N,,I,TARRANT,TARRANT PD,Tarrant,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,6048,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,29,1,30,5,8,13,5.6,7.1,2006-01-01,2021-02-02,2021-02-01,2021-02-01,,,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
582021,58,2021,AL0010900,AL0010900,,N,N,,I,VESTAVIA HILLS,VESTAVIA HILLS PD,Vestavia Hills,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,34369,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,99,0,99,5,4,9,3.0,3.1,2006-01-01,2021-01-01,2021-01-01,2021-01-01,,2021-01-01,N,"JEFFERSON, SHELBY","Birmingham-Hoover, AL",Y,Y,Y
602021,60,2021,AL0011100,AL0011100,,N,N,,I,FULTONDALE,FULTONDALE PD,Fultondale,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,9365,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,25,2,27,2,5,7,2.9,3.6,2006-01-01,2006-01-01,2021-01-01,2021-01-01,,,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
612021,61,2021,AL0011200,AL0011200,,Y,N,,I,HOOVER,HOOVER PD,Hoover,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,86514,31954,AL0011200,Hoover,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,161,22,183,14,14,28,2.0,2.4,2006-01-01,2006-01-01,2006-01-01,2018-05-01,2015-04-01,2018-05-01,N,"JEFFERSON, SHELBY","Birmingham-Hoover, AL",Y,Y,Y
632021,63,2021,AL0011400,AL0011400,,N,N,,I,PLEASANT GROVE,PLEASANT GROVE PD,Pleasant Grove,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,9528,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,2,17,0,3,3,1.6,2.1,2006-01-01,2011-01-01,2021-10-01,2021-10-01,,,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
682021,68,2021,AL0011900,AL0011900,,N,N,,I,HUEYTOWN,HUEYTOWN PD,Hueytown,,A,2,Alabama,AL,AL,6,East South Central,3,South,Region III,City,15109,23354,ALUCR0001,Alabama Law Enforcement Agency,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,6,38,3,11,14,2.3,3.4,2006-01-01,2012-02-01,2022-02-01,2022-02-01,,,N,JEFFERSON,"Birmingham-Hoover, AL",Y,Y,Y
