yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
4972021,497,2021,AR0010000,AR0010000,,N,N,,I,ARKANSAS,ARKANSAS CO SO STUTTGART,Arkansas,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,County,4971,23355,ARUCR0001,Arkansas Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,0,11,0,1,1,2.2,2.4,1999-02-01,2003-01-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ARKANSAS,Not Specified,Y,Y,Y
4982021,498,2021,AR0010100,AR0010100,,N,N,,I,DEWITT,DE WITT PD,DeWitt,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,2941,23355,ARUCR0001,Arkansas Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,1,4,5,2.7,4.1,1999-02-01,2003-10-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ARKANSAS,Not Specified,Y,Y,Y
4992021,499,2021,AR0010200,AR0010200,,N,N,,I,STUTTGART,STUTTGART PD,Stuttgart,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,8312,23355,ARUCR0001,Arkansas Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,14,30,4,3,7,2.4,4.5,1999-02-01,2004-01-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ARKANSAS,Not Specified,Y,Y,Y
5002021,500,2021,AR0010300,AR0010300,,N,N,,I,GILLETT,GILLETT PD,Gillett,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,690,23355,ARUCR0001,Arkansas Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.4,1.4,1999-02-01,2019-01-01,2019-01-01,2020-08-01,2020-08-01,2020-08-01,N,ARKANSAS,Not Specified,Y,Y,Y
5012021,501,2021,AR0020000,AR0020000,,N,N,,I,ASHLEY,ASHLEY CO SO HAMBURG,Ashley,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,County,11851,23355,ARUCR0001,Arkansas Crime Information Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,18,8,26,1,13,14,1.6,3.4,1999-02-01,2008-01-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ASHLEY,Not Specified,Y,Y,Y
5022021,502,2021,AR0020100,AR0020100,,N,N,,I,CROSSETT,CROSSETT PD,Crossett,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,4629,23355,ARUCR0001,Arkansas Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,2,17,2,7,9,3.7,5.6,1999-02-01,2003-07-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ASHLEY,Not Specified,Y,Y,Y
5032021,503,2021,AR0020200,AR0020200,,N,N,,I,HAMBURG,HAMBURG PD,Hamburg,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,2514,23355,ARUCR0001,Arkansas Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,1,1,2,2.4,2.8,1999-02-01,2003-01-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,ASHLEY,Not Specified,Y,Y,Y
5052021,505,2021,AR0030000,AR0030000,,N,N,,I,BAXTER,BAXTER CO SO MOUNTAIN HOME,Baxter,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,County,25006,23355,ARUCR0001,Arkansas Crime Information Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,30,15,45,3,13,16,1.3,2.4,1999-02-01,2002-10-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,BAXTER,Not Specified,Y,Y,Y
5062021,506,2021,AR0030100,AR0030100,,N,N,,I,MOUNTAIN HOME,MOUNTAIN HOME PD,Mountain Home,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,12657,23355,ARUCR0001,Arkansas Crime Information Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,3,33,3,5,8,2.6,3.2,1999-02-01,2002-10-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,BAXTER,Not Specified,Y,Y,Y
5072021,507,2021,AR0030200,AR0030200,,N,N,,I,COTTER,COTTER PD,Cotter,,A,3,Arkansas,AR,AR,7,West South Central,3,South,Region III,City,956,23355,ARUCR0001,Arkansas Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,3.1,3.1,1999-02-01,2003-10-01,2014-09-01,2014-09-01,2014-09-01,2014-09-01,N,BAXTER,Not Specified,Y,Y,Y
