yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
8022021,802,2021,AZ0010100,AZ0010100,,N,N,,I,EAGAR,EAGAR PD,Eagar,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,4960,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,1,6,0,1,1,1.0,1.4,2004-07-01,2019-01-01,2019-01-01,2020-08-01,2019-05-01,2019-05-01,N,APACHE,Not Specified,Y,Y,Y
8042021,804,2021,AZ0010500,AZ0010500,,N,N,,I,SPRINGERVILLE,SPRINGERVILLE PD,Springerville,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,1987,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,2,6,0,0,0,2.0,3.0,2004-07-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,APACHE,Not Specified,Y,Y,Y
8052021,805,2021,AZ0018900,AZ0018900,,Y,N,,I,NAVAJO NATION,NAVAJO TRIBE DIV OF PUBLIC SAFETY WINDOW ROCK,Navajo Nation,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,Tribal,0,33374,AZ0018900,Navajo Nation,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,143,16,159,43,69,112,0,0,2021-01-01,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
8062021,806,2021,AZ0020000,AZ0020000,,N,N,,I,COCHISE,COCHISE CO SO BISBEE,Cochise,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,County,46050,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,80,47,127,3,39,42,1.8,3.7,2004-07-01,2021-01-01,2021-12-01,2021-12-01,,2021-12-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8082021,808,2021,AZ0020300,AZ0020300,,N,N,,I,BISBEE,BISBEE PD,Bisbee,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,5111,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,6,7,2.0,3.1,2004-07-01,2020-12-01,2021-10-01,2021-10-01,,2021-10-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8092021,809,2021,AZ0020500,AZ0020500,,N,N,,I,DOUGLAS,DOUGLAS PD,Douglas,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,16349,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,5,28,6,8,14,1.8,2.6,2004-07-01,2021-01-01,2021-10-01,2021-10-01,,2021-10-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8102021,810,2021,AZ0020700,AZ0020700,,N,N,,I,HUACHUCA CITY,HUACHUCA CITY PD,Huachuca City,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,1722,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,2,6,0,1,1,2.3,4.1,2004-07-01,2011-01-01,2011-01-01,2021-01-01,2019-01-01,2019-01-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8112021,811,2021,AZ0020900,AZ0020900,,N,N,,I,SIERRA VISTA,SIERRA VISTA PD,Sierra Vista,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,43814,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,49,3,52,9,13,22,1.3,1.7,2004-07-01,2020-12-01,2021-09-01,2021-09-01,2022-02-01,2021-09-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8122021,812,2021,AZ0021100,AZ0021100,,N,N,,I,TOMBSTONE,TOMBSTONE MARSHAL'S OFFICE,Tombstone,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,City,1302,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,1,9,0,2,2,6.1,8.4,2004-07-01,2020-01-01,,2021-12-01,,2021-12-01,N,COCHISE,"Sierra Vista-Douglas, AZ",Y,Y,Y
8142021,814,2021,AZ0030000,AZ0030000,,N,N,,I,COCONINO,COCONINO CO SO FLAGSTAFF,Coconino,,A,5,Arizona,AZ,AZ,8,Mountain,4,West,Region IV,County,48714,23356,AZUCR0001,Department of Public Safety Compliance & Information Services Bureau UCR Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,61,84,145,5,71,76,1.4,4.5,2004-07-01,2021-01-01,2021-01-01,2021-11-01,2021-11-01,2021-11-01,N,COCONINO,"Flagstaff, AZ",Y,Y,Y
