yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
15162021,1516,2021,CA0370000,CA0370000,,N,N,,I,SAN DIEGO,SAN DIEGO CO SO SAN DIEGO,San Diego,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,485068,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,2001,623,2624,462,1043,1505,5.1,8.5,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15172021,1517,2021,CA0370100,CA0370100,,N,N,,I,CARLSBAD,CARLSBAD PD,Carlsbad,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,116633,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,110,9,119,13,28,41,1.1,1.4,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15182021,1518,2021,CA0370200,CA0370200,,N,N,,I,CHULA VISTA,CHULA VISTA PD,Chula Vista,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,275978,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,194,10,204,47,2,49,0.9,0.9,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15212021,1521,2021,CA0370500,CA0370500,,N,N,,I,EL CAJON,EL CAJON PD,El Cajon,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,102665,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,108,9,117,10,43,53,1.1,1.7,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15222021,1522,2021,CA0370600,CA0370600,,N,N,,I,ESCONDIDO,ESCONDIDO PD,Escondido,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,150507,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,132,8,140,12,47,59,1.0,1.3,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15242021,1524,2021,CA0370800,CA0370800,,N,N,,I,LA MESA,LA MESA PD,La Mesa,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,59968,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,53,4,57,9,22,31,1.0,1.5,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15252021,1525,2021,CA0370900,CA0370900,,N,N,,I,NATIONAL CITY,NATIONAL CITY PD,National City,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,61171,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,75,6,81,9,32,41,1.4,2.0,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15262021,1526,2021,CA0371000,CA0371000,,N,N,,I,OCEANSIDE,OCEANSIDE PD,Oceanside,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,175335,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,177,16,193,23,72,95,1.1,1.6,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15272021,1527,2021,CA0371100,CA0371100,,N,N,,I,SAN DIEGO,SAN DIEGO PD,San Diego,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,1434673,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,3,1A,"Cities 1,000,000 or over",1,"All cities 250,000 or over",Y,3,,Y,1571,192,1763,306,325,631,1.3,1.7,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
15312021,1531,2021,CA0371500,CA0371500,,N,N,,I,PORT OF SAN DIEGO HARBOR,SAN DIEGO UNIFIED PORT DIST HARBOR PD SAN DIEGO,Port of San Diego Harbor,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Other,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,108,12,120,15,20,35,0,0,2021-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",Y,Y,Y
18232021,1823,2021,CADIT0200,CADIT0200,,Y,N,,I,YUROK TRIBAL,YUROK TRIBAL,Yurok Tribal,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Tribal,0,32621,CADIT0200,Yurok Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,1,2,3,0,0,2021-01-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
252652021,25265,2021,CADIT0400,CADIT0400,,Y,N,,I,SYCUAN TRIBAL,SYCUAN TRIBAL,Sycuan Tribal,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Tribal,0,32434,CADIT0400,Sycuan Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,4,14,3,2,5,0,0,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
253132021,25313,2021,CADIT1100,CADIT1100,,Y,N,,I,TABLE MOUNTAIN RANCHERIA,,Table Mountain Rancheria,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Tribal,0,32805,CADIT1100,Table Mountain Rancheria,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2021-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,"Fresno, CA",Y,Y,Y
306142021,30614,2021,CADIT1400,CADIT1400,,Y,N,,I,SAN PASQUAL BAND OF MISSION INDIANS TRIBAL,,San Pasqual Band of Mission Indians Tribal,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Tribal,0,32775,CADIT1400,San Pasqual Band of Mission Indians Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,0,10,0,0,0,0,0,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
321752021,32175,2021,CADIT1600,CADIT1600,,Y,N,,I,BEAR RIVER BAND,,Bear River Band,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Tribal,0,32214,CADIT1600,Bear River Band,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,0,0,0,0,0,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
