yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
18262021,1826,2021,CO0010000,CO0010000,,N,N,,I,ADAMS,ADAMS,Adams,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,93869,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,358,45,403,59,143,202,4.4,6.4,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18272021,1827,2021,CO0010100,CO0010100,,N,N,,I,AURORA,AURORA,Aurora,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,393897,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,611,72,683,78,116,194,1.7,2.2,1992-01-01,1985-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, ARAPAHOE, DOUGLAS","Denver-Aurora-Lakewood, CO",Y,Y,Y
18282021,1828,2021,CO0010200,CO0010200,,N,N,,I,BRIGHTON,BRIGHTON,Brighton,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,41535,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,62,3,65,15,26,41,1.9,2.6,1992-01-01,2004-09-01,2006-01-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, WELD","Denver-Aurora-Lakewood, CO",Y,Y,Y
18292021,1829,2021,CO0010300,CO0010300,,N,N,,I,COMMERCE CITY,COMMERCE CITY,Commerce City,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,60845,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,91,3,94,20,25,45,1.8,2.3,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18302021,1830,2021,CO0010400,CO0010400,,N,N,,I,THORNTON,THORNTON,Thornton,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,151324,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,191,12,203,36,75,111,1.5,2.1,1992-01-01,2012-01-01,2012-09-01,2014-07-01,2016-02-01,2013-04-01,N,ADAMS,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18312021,1831,2021,CO0010500,CO0010500,,N,N,,I,WESTMINSTER,WESTMINSTER,Westminster,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,115942,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,151,21,172,19,45,64,1.5,2.0,1992-01-01,1997-01-01,2004-08-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, JEFFERSON","Denver-Aurora-Lakewood, CO",Y,Y,Y
18322021,1832,2021,CO0010600,CO0010600,,N,N,,I,NORTHGLENN,NORTHGLENN,Northglenn,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,39162,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,56,4,60,8,14,22,1.6,2.1,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2014-02-01,N,"ADAMS, WELD","Denver-Aurora-Lakewood, CO",Y,Y,Y
18352021,1835,2021,CO0011100,CO0011100,,N,N,,I,UNIV OF CO: DENVER,UNIV OF CO: DENVER,University of Colorado:,Denver,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,University or College,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,21,19,40,3,17,20,0,0,1992-01-01,2002-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18362021,1836,2021,CO0020000,CO0020000,,N,N,,I,ALAMOSA,ALAMOSA,Alamosa,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,6615,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,18,10,28,7,16,23,3.8,7.7,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ALAMOSA,Not Specified,Y,Y,Y
18372021,1837,2021,CO0020100,CO0020100,,N,N,,I,ALAMOSA,ALAMOSA,Alamosa,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,9414,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,23,2,25,2,3,5,2.7,3.2,1992-01-01,2012-01-01,2012-08-01,2015-03-01,2016-02-01,2015-03-01,N,ALAMOSA,Not Specified,Y,Y,Y
18382021,1838,2021,CO0020200,CO0020200,,N,N,,I,ADAMS STATE UNIVERSITY,ADAMS STATE COLLEGE,Adams State University,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,University or College,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,1,2,0,0,1992-01-01,1997-07-01,2013-12-01,2014-03-01,2016-01-01,2014-02-01,N,ALAMOSA,Not Specified,Y,Y,Y
18392021,1839,2021,CO0030000,CO0030000,,N,N,,I,ARAPAHOE,ARAPAHOE,Arapahoe,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,89396,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,312,51,363,84,123,207,4.4,6.4,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18402021,1840,2021,CO0030100,CO0030100,,N,N,,I,ENGLEWOOD,ENGLEWOOD,Englewood,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,35630,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,64,9,73,10,28,38,2.1,3.1,1992-01-01,1992-01-01,2011-02-01,2014-02-01,2016-01-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18412021,1841,2021,CO0030200,CO0030200,,N,N,,I,LITTLETON,LITTLETON,Littleton,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,46466,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,63,8,71,11,22,33,1.6,2.2,1992-01-01,2011-01-01,2011-02-01,2014-02-01,2016-01-01,2013-04-01,N,"ARAPAHOE, DOUGLAS, JEFFERSON","Denver-Aurora-Lakewood, CO",Y,Y,Y
18422021,1842,2021,CO0030300,CO0030300,,N,N,,I,SHERIDAN,SHERIDAN,Sheridan,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,6070,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,31,1,32,2,1,3,5.4,5.8,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18432021,1843,2021,CO0030400,CO0030400,,N,N,,I,GLENDALE,GLENDALE,Glendale,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,5192,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,23,0,23,5,13,18,5.4,7.9,1992-01-01,1997-01-01,2003-04-01,2014-02-01,2016-01-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18442021,1844,2021,CO0030500,CO0030500,,N,N,,I,CHERRY HILLS VILLAGE,CHERRY HILLS VILLAGE,Cherry Hills Village,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,6685,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,20,3,23,4,1,5,3.6,4.2,1992-01-01,1997-01-01,2012-09-01,2014-02-01,2016-01-01,2014-02-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18452021,1845,2021,CO0030600,CO0030600,,N,N,,I,BOW MAR,BOW MAR,Bow Mar,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,958,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,1992-01-01,1997-01-01,2003-09-01,2014-04-01,2016-01-01,2014-02-01,N,"ARAPAHOE, JEFFERSON","Denver-Aurora-Lakewood, CO",Y,Y,Y
18472021,1847,2021,CO0030800,CO0030800,,N,N,,I,COLUMBINE VALLEY,COLUMBINE VALLEY,Columbine Valley,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,1537,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,3.3,3.3,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-02-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18482021,1848,2021,CO0030900,CO0030900,,N,N,,I,ARAPAHOE COMM COLLEGE,ARAPAHOE COMM COLLEGE,Arapahoe Community College,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,University or College,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,9,0,9,0,3,3,0,0,1992-01-01,1997-01-01,2003-06-01,2014-04-01,2016-01-01,2014-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
18492021,1849,2021,CO0031100,CO0031100,,N,N,,I,CENTENNIAL,CENTENNIAL,Centennial,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,111199,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,117,11,128,21,42,63,1.2,1.7,1992-01-01,2002-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ARAPAHOE,"Denver-Aurora-Lakewood, CO",Y,Y,Y
