yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
22472021,2247,2021,DE0010100,DE0010100,,N,N,,I,DOVER,DOVER PD,Dover,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,38439,23361,DEUCR0001,Delaware Bureau of Identification,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,94,18,112,8,13,21,2.7,3.5,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22482021,2248,2021,DE0010200,DE0010200,,N,N,,I,HARRINGTON,HARRINGTON PD,Harrington,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,3672,23361,DEUCR0001,Delaware Bureau of Identification,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,0,1,1,3.3,3.5,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22492021,2249,2021,DE0010300,DE0010300,,N,N,,I,SMYRNA,SMYRNA PD,Smyrna,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,12383,23361,DEUCR0001,Delaware Bureau of Identification,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,4,28,4,4,8,2.3,2.9,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,"KENT, NEW CASTLE","Dover, DE",Y,Y,Y
22502021,2250,2021,DE0010400,DE0010400,,N,N,,I,CAMDEN,CAMDEN POLICE DEPARTMENT,Camden,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,3660,23361,DEUCR0001,Delaware Bureau of Identification,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,1,1,2,2.5,2.7,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22522021,2252,2021,DE0010600,DE0010600,,N,N,,I,CLAYTON,CLAYTON PD,Clayton,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,3707,23361,DEUCR0001,Delaware Bureau of Identification,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,0,1,1,2.4,2.7,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22532021,2253,2021,DE0010700,DE0010700,,N,N,,I,FELTON,FELTON PD,Felton,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,1447,23361,DEUCR0001,Delaware Bureau of Identification,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.8,2.8,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22542021,2254,2021,DE0010800,DE0010800,,N,N,,I,FREDERICA,FREDERICA PD FREDERICA,Frederica,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,City,869,23361,DEUCR0001,Delaware Bureau of Identification,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,2.3,2.3,2001-01-01,2002-11-01,2002-11-01,2013-10-01,,,N,KENT,"Dover, DE",Y,Y,Y
22602021,2260,2021,DE0011700,DE0011700,,N,N,,I,ENVIRONMENTAL CONTROL,DEPT NAT RESOURCES ENVIR CRIMES UNIT,Environmental Control,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,Other State Agency,0,23361,DEUCR0001,Delaware Bureau of Identification,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,13,1,14,1,1,2,0,0,2001-01-01,2001-01-01,2001-01-01,2011-01-01,,,N,KENT,"Dover, DE",Y,Y,Y
22612021,2261,2021,DE0011800,DE0011800,,N,N,,I,STATE CAPITOL POLICE,STATE CAPITOL POLICE DOVER,State Capitol Police,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,Other State Agency,0,23361,DEUCR0001,Delaware Bureau of Identification,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,60,13,73,10,5,15,0,0,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
22622021,2262,2021,DE0012000,DE0012000,,N,N,,I,STATE FIRE MARSHAL,ST FIRE MARSHAL DOVER,State Fire Marshal,,A,11,Delaware,DE,DE,5,South Atlantic,3,South,Region III,Other State Agency,0,23361,DEUCR0001,Delaware Bureau of Identification,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,Y,19,13,32,1,15,16,0,0,2001-01-01,2001-01-01,2001-01-01,2010-11-01,,,N,KENT,"Dover, DE",Y,Y,Y
