yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
42742021,4274,2021,IA0010000,IA0010000,,N,N,,I,ADAIR,ADAIR CO SO GREENFIELD,Adair,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,County,7036,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,4,10,0,5,5,0.9,2.1,1991-01-01,1992-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ADAIR,Not Specified,Y,Y,Y
42752021,4275,2021,IA0020000,IA0020000,,N,N,,I,ADAMS,ADAMS CO SO CORNING,Adams,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,County,3565,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,0,8,0,5,5,2.2,3.6,1991-01-01,1992-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ADAMS,Not Specified,Y,Y,Y
42762021,4276,2021,IA0030000,IA0030000,,N,N,,I,ALLAMAKEE,ALLAMAKEE CO SO WAUKON,Allamakee,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,County,7385,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,3,13,0,7,7,1.4,2.7,1991-01-01,1995-10-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ALLAMAKEE,Not Specified,Y,Y,Y
42772021,4277,2021,IA0030100,IA0030100,,N,N,,I,WAUKON,WAUKON PD,Waukon,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,City,3570,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,1,1,1.7,2.0,1991-01-01,2012-11-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ALLAMAKEE,Not Specified,Y,Y,Y
42782021,4278,2021,IA0040000,IA0040000,,N,N,,I,APPANOOSE,APPANOOSE CO SO CENTERVILLE,Appanoose,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,County,7058,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,1,9,2,6,8,1.4,2.4,1991-01-01,1992-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,APPANOOSE,Not Specified,Y,Y,Y
42792021,4279,2021,IA0040100,IA0040100,,N,N,,I,CENTERVILLE,CENTERVILLE PD,Centerville,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,City,5394,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,0,5,5,1.7,2.6,1991-01-01,1992-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,APPANOOSE,Not Specified,Y,Y,Y
42812021,4281,2021,IA0050100,IA0050100,,N,N,,I,AUDUBON,AUDUBON PD,Audubon,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,City,1852,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,1.6,1.6,1991-01-01,1992-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,AUDUBON,Not Specified,Y,Y,Y
42822021,4282,2021,IA0060000,IA0060000,,N,N,,I,BENTON,BENTON CO SO VINTON,Benton,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,County,18082,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,14,8,22,0,17,17,0.8,2.2,1991-01-01,1992-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,BENTON,"Cedar Rapids, IA",Y,Y,Y
42832021,4283,2021,IA0060100,IA0060100,,N,N,,I,BELLE PLAINE,BELLE PLAINE PD,Belle Plaine,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,City,2406,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.1,2.1,1991-01-01,1992-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,BENTON,"Cedar Rapids, IA",Y,Y,Y
42842021,4284,2021,IA0060200,IA0060200,,N,N,,I,VINTON,VINTON PD,Vinton,,A,16,Iowa,IA,IA,4,West North Central,2,Midwest,Region II,City,4996,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,1,10,0,1,1,1.8,2.2,1991-01-01,1992-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BENTON,"Cedar Rapids, IA",Y,Y,Y
