yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
45302021,4530,2021,ID0010000,ID0010000,,N,N,,I,ADA,ADA CO SO BOISE,Ada,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,County,147581,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,173,113,286,17,248,265,1.3,3.7,1992-01-01,1992-08-01,1992-08-01,2018-09-01,2018-03-01,2019-08-01,N,ADA,"Boise City, ID",Y,Y,Y
45312021,4531,2021,ID0010100,ID0010100,,N,N,,I,BOISE,BOISE PD,Boise,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,City,231902,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,249,14,263,31,63,94,1.2,1.5,1992-01-01,1992-05-01,2010-11-01,2018-03-01,2018-03-01,2018-09-01,N,ADA,"Boise City, ID",Y,Y,Y
45322021,4532,2021,ID0010200,ID0010200,,N,N,,I,GARDEN CITY,GARDEN CITY PD,Garden City,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,City,12018,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,2,29,1,6,7,2.3,3.0,1992-01-01,1992-01-01,2010-11-01,2018-03-01,2018-03-01,2018-06-01,N,ADA,"Boise City, ID",Y,Y,Y
45332021,4533,2021,ID0010300,ID0010300,,N,N,,I,MERIDIAN,MERIDIAN PD,Meridian,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,City,126744,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,111,7,118,9,30,39,0.9,1.2,1992-01-01,1992-01-01,1992-01-01,2018-05-01,2018-03-01,2019-04-01,N,ADA,"Boise City, ID",Y,Y,Y
45352021,4535,2021,ID0020000,ID0020000,,N,N,,I,ADAMS,ADAMS CO SO COUNCIL,Adams,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,County,4610,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,7,1,8,1,6,7,1.7,3.3,1992-01-01,1992-01-01,2011-01-01,2018-03-01,2018-03-01,2018-09-01,N,ADAMS,Not Specified,Y,Y,Y
45372021,4537,2021,ID0030000,ID0030000,,N,N,,I,BANNOCK,BANNOCK CO SO POCATELLO,Bannock,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,County,18131,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,40,4,44,5,19,24,2.5,3.8,1992-01-01,1992-01-01,1992-01-01,2021-06-01,2018-05-01,2021-06-01,N,BANNOCK,"Pocatello, ID",Y,Y,Y
45382021,4538,2021,ID0030100,ID0030100,,N,N,,I,CHUBBUCK,CHUBBUCK PD POCATELLO,Chubbuck,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,City,16168,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,19,3,22,2,11,13,1.3,2.2,1992-01-01,1992-01-01,1992-01-01,2020-04-01,2018-03-01,2020-07-01,N,BANNOCK,"Pocatello, ID",Y,Y,Y
45392021,4539,2021,ID0030200,ID0030200,,N,N,,I,POCATELLO,POCATELLO PD,Pocatello,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,City,57306,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,85,3,88,11,41,52,1.7,2.4,1992-01-01,1992-12-01,1992-12-01,2019-04-01,2018-03-01,2020-07-01,N,"BANNOCK, POWER","Pocatello, ID",Y,Y,Y
45402021,4540,2021,ID0030300,ID0030300,,Y,N,,I,FORT HALL TRIBAL,FORT HALL TRIBAL PD FORT HALL,Fort Hall Tribal,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,Tribal,0,32538,ID0030300,Fort Hall Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,15,3,18,0,10,10,0,0,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
45422021,4542,2021,ID0040000,ID0040000,,N,N,,I,BEAR LAKE,BEAR LAKE CO SO PARIS,Bear Lake,,A,17,Idaho,ID,ID,8,Mountain,4,West,Region IV,County,3789,23366,IDUCR0001,Idaho State Police Bureau of Criminal Identification,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,1,7,1,6,7,1.8,3.7,1992-01-01,1993-01-01,1993-01-01,2018-03-01,2018-03-01,2021-05-01,N,BEAR LAKE,Not Specified,Y,Y,Y
