yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
46772021,4677,2021,IL0010300,IL0010300,,N,N,,I,QUINCY,QUINCY PD,Quincy,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,39473,23367,ILUCR0001,Illinois State Police,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ADAMS,Not Specified,Y,Y,Y
46922021,4692,2021,IL0060400,IL0060400,,N,N,,I,PRINCETON,PRINCETON PD,Princeton,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7353,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,2,1,3,2.0,2.2,2006-12-01,2021-04-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,BUREAU,Not Specified,Y,Y,Y
46932021,4693,2021,IL0060600,IL0060600,,N,N,,I,SPRING VALLEY,SPRING VALLEY PD,Spring Valley,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,5020,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,1,2,2.0,2.2,2006-12-01,2021-09-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,BUREAU,Not Specified,Y,Y,Y
47072021,4707,2021,IL0090000,IL0090000,,N,N,,I,CASS,CASS CO SO VIRGINIA,Cass,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,4068,23367,ILUCR0001,Illinois State Police,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,2006-12-01,2020-12-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CASS,Not Specified,Y,Y,Y
47112021,4711,2021,IL0100000,IL0100000,,N,N,,I,CHAMPAIGN,CHAMPAIGN CO SO URBANA,Champaign,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,49646,23367,ILUCR0001,Illinois State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47122021,4712,2021,IL0100100,IL0100100,,N,N,,I,CHAMPAIGN,CHAMPAIGN PD,Champaign,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,90231,23367,ILUCR0001,Illinois State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47142021,4714,2021,IL0100300,IL0100300,,N,N,,I,MAHOMET,MAHOMET PD,Mahomet,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,9151,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2021-07-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47152021,4715,2021,IL0100400,IL0100400,,N,N,,I,RANTOUL,RANTOUL PD,Rantoul,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,12241,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,1,26,5,5,10,2.5,2.9,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47162021,4716,2021,IL0100500,IL0100500,,N,N,,I,TOLONO,TOLONO PD,Tolono,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,3337,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2020-12-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47172021,4717,2021,IL0100600,IL0100600,,N,N,,I,URBANA,URBANA PD,Urbana,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,41673,23367,ILUCR0001,Illinois State Police,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47182021,4718,2021,IL0100700,IL0100700,,N,N,,I,UNIV OF IL: URBANA,UNIV ILLINOIS PD CHAMPAIGN,University of Illinois:,Urbana,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,University or College,0,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,45,24,69,16,16,32,0,0,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47252021,4725,2021,IL0101500,IL0101500,,N,N,,I,PARKLAND COLLEGE,PARKLAND COLLEGE PUBLIC SAFETY,Parkland College,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,University or College,0,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2006-12-01,2020-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHAMPAIGN,"Champaign-Urbana, IL",Y,Y,Y
47272021,4727,2021,IL0110000,IL0110000,,N,N,,I,CHRISTIAN,CHRISTIAN CO SO TAYLORVILLE,Christian,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,11596,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHRISTIAN,Not Specified,Y,Y,Y
47302021,4730,2021,IL0110300,IL0110300,,N,N,,I,KINCAID,KINCAID PD,Kincaid,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,1349,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2006-12-01,2020-10-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHRISTIAN,Not Specified,Y,Y,Y
47322021,4732,2021,IL0110500,IL0110500,,N,N,,I,ASSUMPTION,ASSUMPTION PD,Assumption,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,1045,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.9,1.9,2006-12-01,2021-06-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,CHRISTIAN,Not Specified,Y,Y,Y
