yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
56882021,5688,2021,IN0020000,IN0020000,,N,N,,I,ALLEN,ALLEN CO SO FT WAYNE,Allen,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,95795,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56892021,5689,2021,IN0020100,IN0020100,,N,N,,I,FORT WAYNE,FT WAYNE PD,Fort Wayne,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,274295,27128,INUCR0001,Indiana State Police,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,408,16,424,54,51,105,1.7,1.9,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56902021,5690,2021,IN0020200,IN0020200,,N,N,,I,NEW HAVEN,NEW HAVEN PD,New Haven,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,16088,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,3,26,1,5,6,1.5,2.0,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56912021,5691,2021,IN0030000,IN0030000,,N,N,,I,BARTHOLOMEW,BARTHOLOMEW CO SO COLUMBUS,Bartholomew,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,36237,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2020-11-03,2020-11-03,2021-01-03,2021-01-03,2021-01-03,N,BARTHOLOMEW,"Columbus, IN",Y,Y,Y
56922021,5692,2021,IN0030100,IN0030100,,N,N,,I,COLUMBUS,COLUMBUS PD,Columbus,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,48902,27128,INUCR0001,Indiana State Police,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,74,1,75,9,7,16,1.7,1.9,2013-01-01,2020-10-01,2020-10-01,2021-02-01,2021-02-01,2021-02-01,N,BARTHOLOMEW,"Columbus, IN",Y,Y,Y
56962021,5696,2021,IN0050100,IN0050100,,N,N,,I,HARTFORD CITY,HARTFORD CITY PD,Hartford City,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,5620,27128,INUCR0001,Indiana State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2021-01-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01,N,BLACKFORD,Not Specified,Y,Y,Y
56972021,5697,2021,IN0060000,IN0060000,,N,N,,I,BOONE,BOONE CO SO LEBANON,Boone,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,14193,27128,INUCR0001,Indiana State Police,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,35,26,61,1,19,20,2.5,5.7,2013-01-01,2018-11-01,2018-11-01,2019-11-01,,2019-11-01,N,BOONE,"Indianapolis-Carmel-Anderson, IN",Y,Y,Y
56982021,5698,2021,IN0060100,IN0060100,,N,N,,I,LEBANON,LEBANON PD,Lebanon,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,16155,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,41,0,41,1,2,3,2.6,2.7,2013-01-01,2019-06-01,2019-06-01,2019-09-01,2021-11-01,2019-09-01,N,BOONE,"Indianapolis-Carmel-Anderson, IN",Y,Y,Y
56992021,5699,2021,IN0060300,IN0060300,,N,N,,I,ZIONSVILLE,ZIONSVILLE PD,Zionsville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,29876,27128,INUCR0001,Indiana State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2013-01-01,2017-09-01,2017-09-01,2018-06-01,2020-10-01,2018-06-01,N,BOONE,"Indianapolis-Carmel-Anderson, IN",Y,Y,Y
57002021,5700,2021,IN0060500,IN0060500,,N,N,,I,WHITESTOWN,TOWN MARSHAL WHITESTOWN,Whitestown,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,10738,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,0,27,1,2,3,2.6,2.8,2013-01-01,2017-07-01,2017-07-01,2017-11-01,2021-10-01,2017-11-01,N,BOONE,"Indianapolis-Carmel-Anderson, IN",Y,Y,Y
57052021,5705,2021,IN0090100,IN0090100,,N,N,,I,LOGANSPORT,LOGANSPORT PD,Logansport,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,17371,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2013-01-01,2019-04-01,2019-04-01,2019-07-01,2019-07-01,2019-07-01,N,CASS,Not Specified,Y,Y,Y
57062021,5706,2021,IN0100000,IN0100000,,N,N,,I,CLARK,CLARK CO SO JEFFERSONVILLE,Clark,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,31463,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2018-01-01,2018-01-01,2020-11-01,2020-11-01,2020-11-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57072021,5707,2021,IN0100100,IN0100100,,N,N,,I,CHARLESTOWN,CHARLESTOWN PD,Charlestown,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,8645,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2020-01-01,2020-01-01,2020-11-01,2020-11-01,2020-11-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57082021,5708,2021,IN0100200,IN0100200,,N,N,,I,CLARKSVILLE,CLARKSVILLE PD,Clarksville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,21434,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2013-01-01,2020-01-01,2020-01-01,2021-02-01,2021-02-01,2021-02-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57092021,5709,2021,IN0100300,IN0100300,,N,N,,I,JEFFERSONVILLE,JEFFERSONVILLE PD,Jeffersonville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,48882,27128,INUCR0001,Indiana State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2013-01-01,2018-05-01,2018-05-01,2021-02-01,2021-02-01,2021-02-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57102021,5710,2021,IN0100400,IN0100400,,N,N,,I,SELLERSBURG,SELLERSBURG PD,Sellersburg,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,9120,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2020-01-01,2020-01-01,2020-12-01,2020-12-01,2020-12-01,N,CLARK,"Louisville/Jefferson County, KY-IN",Y,Y,Y
57132021,5713,2021,IN0120000,IN0120000,,N,N,,I,CLINTON,CLINTON CO SO FRANKFORT,Clinton,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,16519,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2013-01-01,2020-06-01,2020-06-01,2020-11-01,2020-11-01,2020-11-01,N,CLINTON,Not Specified,Y,Y,Y
57142021,5714,2021,IN0120100,IN0120100,,N,N,,I,FRANKFORT,FRANKFORT PD,Frankfort,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,15692,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,3,34,3,2,5,2.2,2.5,2013-01-01,2019-07-01,2019-07-01,2019-09-01,2019-09-01,2019-09-01,N,CLINTON,Not Specified,Y,Y,Y
57172021,5717,2021,IN0140100,IN0140100,,N,N,,I,WASHINGTON,WASHINGTON PD,Washington,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,12722,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2013-01-01,2018-06-01,2018-06-01,2019-09-01,2019-09-01,2019-09-01,N,DAVIESS,Not Specified,Y,Y,Y
57202021,5720,2021,IN0150200,IN0150200,,N,N,,I,LAWRENCEBURG,LAWRENCEBURG PD,Lawrenceburg,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,5045,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2020-07-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,DEARBORN,"Cincinnati, OH-KY-IN",Y,Y,Y
57252021,5725,2021,IN0170100,IN0170100,,N,N,,I,AUBURN,AUBURN PD,Auburn,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,13700,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,0,24,2,1,3,1.9,2.0,2013-01-01,2019-08-01,2019-08-01,2019-11-01,2019-11-01,2019-11-01,N,DEKALB,Not Specified,Y,Y,Y
57282021,5728,2021,IN0180000,IN0180000,,N,N,,I,DELAWARE,DELAWARE CO SO MUNCIE,Delaware,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,45279,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2020-02-01,2020-02-01,2020-05-01,2020-05-01,2020-05-01,N,DELAWARE,"Muncie, IN",Y,Y,Y
57292021,5729,2021,IN0180100,IN0180100,,N,N,,I,MUNCIE,MUNCIE PD,Muncie,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,67262,27128,INUCR0001,Indiana State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,87,4,91,7,4,11,1.4,1.5,2013-01-01,2019-11-01,2019-11-01,2020-06-01,2020-06-01,2020-06-01,N,DELAWARE,"Muncie, IN",Y,Y,Y
57312021,5731,2021,IN0190000,IN0190000,,N,N,,I,DUBOIS,DUBOIS CO SO JASPER,Dubois,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,20705,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2013-01-01,2019-04-01,2019-04-01,2020-03-01,,2020-03-01,N,DUBOIS,Not Specified,Y,Y,Y
