yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
60602021,6060,2021,KS0010000,KS0010000,,N,N,,I,ALLEN,ALLEN CO SO IOLA,Allen,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,County,4353,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,14,9,23,0,7,7,3.2,6.9,2000-01-01,2000-01-01,,,,,N,ALLEN,Not Specified,Y,Y,Y
60612021,6061,2021,KS0010100,KS0010100,,N,N,,I,HUMBOLDT,HUMBOLDT PD,Humboldt,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,1762,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,2,2,4,2.8,4.0,2000-01-01,2000-01-01,,,,,N,ALLEN,Not Specified,Y,Y,Y
60622021,6062,2021,KS0010200,KS0010200,,N,N,,I,IOLA,IOLA PD,Iola,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,5222,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,0,17,0,1,1,3.3,3.4,2000-01-01,2000-01-01,,,,,N,ALLEN,Not Specified,Y,Y,Y
60642021,6064,2021,KS0010400,KS0010400,,N,N,,I,LA HARPE,LA HARPE PD,La Harpe,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,527,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.9,1.9,2000-01-01,2004-05-01,,,,,N,ALLEN,Not Specified,Y,Y,Y
60652021,6065,2021,KS0020000,KS0020000,,N,N,,I,ANDERSON,ANDERSON CO SO GARNETT,Anderson,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,County,4305,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,12,21,0,10,10,2.1,7.2,2000-01-01,2000-01-01,,,,,N,ANDERSON,Not Specified,Y,Y,Y
60662021,6066,2021,KS0020100,KS0020100,,N,N,,I,GARNETT,GARNETT PD,Garnett,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,3243,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,2.2,2.2,2000-01-01,2000-01-01,,,,,N,ANDERSON,Not Specified,Y,Y,Y
60672021,6067,2021,KS0020200,KS0020200,,N,N,,I,COLONY,COLONY POLICE DEPARTMENT COLONY,Colony,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,425,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2000-01-01,2005-01-01,,,,,N,ANDERSON,Not Specified,Y,Y,Y
60702021,6070,2021,KS0030000,KS0030000,,N,N,,I,ATCHISON,ATCHISON CO SO ATCHISON,Atchison,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,County,5637,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,12,8,20,2,4,6,2.5,4.6,2000-01-01,2000-01-01,,,,,N,ATCHISON,Not Specified,Y,Y,Y
60712021,6071,2021,KS0030100,KS0030100,,N,N,,I,ATCHISON,ATCHISON PD,Atchison,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,10374,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,0,21,3,1,4,2.3,2.4,2000-01-01,2000-01-01,,,,,N,ATCHISON,Not Specified,Y,Y,Y
60722021,6072,2021,KS0040000,KS0040000,,N,N,,I,BARBER,BARBER CO SO MEDICINE LODGE,Barber,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,County,1642,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,1,6,2,1,3,4.3,5.5,2000-01-01,2000-01-01,,,,,N,BARBER,Not Specified,Y,Y,Y
60742021,6074,2021,KS0040200,KS0040200,,N,N,,I,MEDICINE LODGE,MEDICINE LODGE PD,Medicine Lodge,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,1784,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.8,2.8,2000-01-01,2000-01-01,,,,,N,BARBER,Not Specified,Y,Y,Y
60752021,6075,2021,KS0050000,KS0050000,,N,N,,I,BARTON,BARTON CO SO GREAT BEND,Barton,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,County,5864,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,19,13,32,1,7,8,3.4,6.8,2000-01-01,2000-01-01,,,,,N,BARTON,Not Specified,Y,Y,Y
60762021,6076,2021,KS0050100,KS0050100,,N,N,,I,ELLINWOOD,ELLINWOOD PD,Ellinwood,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,1913,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2000-01-01,2000-01-01,,,,,N,BARTON,Not Specified,Y,Y,Y
60772021,6077,2021,KS0050200,KS0050200,,N,N,,I,GREAT BEND,GREAT BEND PD,Great Bend,,A,20,Kansas,KS,KS,4,West North Central,2,Midwest,Region II,City,14795,23368,KSUCR0001,Kansas Bureau of of Investigation Incident Based Reporting Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,0,25,5,4,9,2.0,2.3,2000-01-01,2000-01-01,,,,,N,BARTON,Not Specified,Y,Y,Y
