yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
65002021,6500,2021,KY0010000,KY0010000,,N,N,,I,ADAIR,ADAIR CO SO COLUMBIA,Adair,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,14779,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,6,0,6,0,2,2,0.4,0.5,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,ADAIR,Not Specified,Y,Y,Y
65012021,6501,2021,KY0010100,KY0010100,,N,N,,I,COLUMBIA,COLUMBIA PD,Columbia,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,4937,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,0,14,0,0,0,2.8,2.8,1996-04-01,2009-01-01,2009-01-01,,,,N,ADAIR,Not Specified,Y,Y,Y
65042021,6504,2021,KY0020000,KY0020000,,N,N,,I,ALLEN,ALLEN CO SO SCOTTSVILLE,Allen,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,16942,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,N,,,,,,,,,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,ALLEN,"Bowling Green, KY",Y,Y,Y
65052021,6505,2021,KY0020100,KY0020100,,N,N,,I,SCOTTSVILLE,SCOTTSVILLE PD,Scottsville,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,4579,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,4,22,1,6,7,4.1,6.3,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,ALLEN,"Bowling Green, KY",Y,Y,Y
65072021,6507,2021,KY0030000,KY0030000,,N,N,,I,ANDERSON,ANDERSON CO SO LAWRENCEBURG,Anderson,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,11483,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,20,1,21,0,3,3,1.7,2.1,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,ANDERSON,Not Specified,Y,Y,Y
65082021,6508,2021,KY0030100,KY0030100,,N,N,,I,LAWRENCEBURG,LAWRENCEBURG PD,Lawrenceburg,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,11581,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,12,1,13,2,7,9,1.2,1.9,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,ANDERSON,Not Specified,Y,Y,Y
65112021,6511,2021,KY0040000,KY0040000,,N,N,,I,BALLARD,BALLARD CO SO WICKLIFFE,Ballard,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,6818,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,0,10,0,2,2,1.5,1.8,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BALLARD,Not Specified,Y,Y,Y
65142021,6514,2021,KY0040300,KY0040300,,N,N,,I,LA CENTER,LACENTER PD,La Center,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,936,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1996-04-01,2010-07-01,2010-11-01,2018-03-01,2018-03-01,2018-03-01,N,BALLARD,Not Specified,Y,Y,Y
65162021,6516,2021,KY0050000,KY0050000,,N,N,,I,BARREN,BARREN CO SO GLASGOW,Barren,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,27813,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,18,2,20,0,3,3,0.6,0.8,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BARREN,Not Specified,Y,Y,Y
65172021,6517,2021,KY0050100,KY0050100,,N,N,,I,GLASGOW,GLASGOW PD,Glasgow,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,14452,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,1,32,3,7,10,2.4,2.9,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BARREN,Not Specified,Y,Y,Y
65182021,6518,2021,KY0050200,KY0050200,,N,N,,I,CAVE CITY,CAVE CITY PD,Cave City,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,2437,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,1,0,1,3.7,3.7,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BARREN,Not Specified,Y,Y,Y
65202021,6520,2021,KY0051100,KY0051100,,N,N,,I,BARREN CO DRUG TASK FORC,BARREN COUNTY DRUG TASK FORCE,Barren County Drug Task Force,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,Other,0,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,0,3,0,1,1,0,0,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BARREN,Not Specified,Y,Y,Y
65222021,6522,2021,KY0060000,KY0060000,,N,N,,I,BATH,BATH CO SO OWINGSVILLE,Bath,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,County,11051,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,4,0,4,0,3,3,0.4,0.6,1996-04-01,2014-01-01,2013-12-01,2018-01-01,2018-01-01,2018-01-01,N,BATH,Not Specified,Y,Y,Y
65232021,6523,2021,KY0060100,KY0060100,,N,N,,I,OWINGSVILLE,OWINGSVILLE PD,Owingsville,,A,21,Kentucky,KY,KY,6,East South Central,3,South,Region III,City,1569,23369,KYUCR0001,Kentucky State Police Criminal Identification and Records Branch,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,3.2,3.2,1996-04-01,2009-01-01,2009-11-01,2018-01-01,2018-01-01,2018-01-01,N,BATH,Not Specified,Y,Y,Y
