yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
74152021,7415,2021,MA0010100,MA0010100,,N,N,,I,BARNSTABLE,BARNSTABLE PD,Barnstable,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,44841,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,93,5,98,13,19,32,2.4,2.9,1993-05-01,2000-10-01,2014-09-01,2016-11-01,2014-09-01,2014-09-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74162021,7416,2021,MA0010200,MA0010200,,N,N,,I,BOURNE,BOURNE PD BUZZARDS BAY,Bourne,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,19904,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,1993-05-01,1995-01-01,2014-07-01,2014-12-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74172021,7417,2021,MA0010300,MA0010300,,N,N,,I,BREWSTER,BREWSTER PD,Brewster,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,9843,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,0,18,4,5,9,2.2,2.7,1993-05-01,1999-01-01,2014-07-01,2014-12-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74182021,7418,2021,MA0010400,MA0010400,,N,N,,I,CHATHAM,CHATHAM PD,Chatham,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,6031,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,1,19,3,5,8,3.5,4.5,1993-05-01,2003-01-01,2014-07-01,2015-01-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74192021,7419,2021,MA0010500,MA0010500,,N,N,,I,DENNIS,DENNIS PD,Dennis,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,13971,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,39,2,41,6,7,13,3.2,3.9,1993-05-01,1998-01-01,2014-07-01,2015-10-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74202021,7420,2021,MA0010600,MA0010600,,N,N,,I,EASTHAM,EASTHAM PD,Eastham,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,4937,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,3,4,7,3.4,4.5,1993-05-01,1996-07-01,2014-07-01,2016-04-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74212021,7421,2021,MA0010700,MA0010700,,N,N,,I,FALMOUTH,FALMOUTH PD,Falmouth,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,31320,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,48,1,49,6,3,9,1.7,1.9,1993-05-01,1999-01-01,2014-07-01,2015-01-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74222021,7422,2021,MA0010800,MA0010800,,N,N,,I,HARWICH,HARWICH PD,Harwich,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,12235,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,1,32,2,6,8,2.7,3.3,1993-05-01,2001-01-01,2014-07-01,2018-05-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74232021,7423,2021,MA0010900,MA0010900,,N,N,,I,MASHPEE,MASHPEE PD,Mashpee,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,14411,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,3,38,3,5,8,2.6,3.2,1993-05-01,1999-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74242021,7424,2021,MA0011000,MA0011000,,N,N,,I,ORLEANS,ORLEANS PD,Orleans,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,5841,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,1,17,3,4,7,3.3,4.1,1993-05-01,2001-10-01,2015-01-01,2015-03-01,2015-01-01,2015-01-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
