yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
78912021,7891,2021,MD0010000,MD0010000,,N,N,,I,ALLEGANY,ALLEGANY CO SO CUMBERLAND,Allegany,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,County,2102,23372,MDUCR0001,Maryland State Police Central Records Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,32,0,32,1,3,4,15.7,17.1,2016-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,ALLEGANY,"Cumberland, MD-WV",Y,Y,Y
78922021,7892,2021,MD0010200,MD0010200,,N,N,,I,CUMBERLAND,CUMBERLAND PD,Cumberland,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,City,18971,23372,MDUCR0001,Maryland State Police Central Records Division,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,43,3,46,6,2,8,2.6,2.8,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEGANY,"Cumberland, MD-WV",Y,Y,Y
78932021,7893,2021,MD0010300,MD0010300,,N,N,,I,FROSTBURG,FROSTBURG PD,Frostburg,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,City,8413,23372,MDUCR0001,Maryland State Police Central Records Division,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,1,4,5,1.5,2.0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEGANY,"Cumberland, MD-WV",Y,Y,Y
78982021,7898,2021,MD0010800,MD0010800,,N,N,,I,FROSTBURG STATE UNIVERSI,FROSTBURG STATE UNIVERSITY PD,Frostburg State University,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,University or College,0,23372,MDUCR0001,Maryland State Police Central Records Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,15,0,15,2,4,6,0,0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEGANY,"Cumberland, MD-WV",Y,Y,Y
79062021,7906,2021,MD0020500,MD0020500,,N,N,,I,NATURAL RESOURCES POLICE,MD DEPT OF NATURAL RESOURCES LAW ENFORCEMENT,Natural Resources Police,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,Other State Agency,0,23372,MDUCR0001,Maryland State Police Central Records Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,207,28,235,44,29,73,0,0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,"Baltimore-Columbia-Towson, MD",Y,Y,Y
79122021,7912,2021,MD0030100,MD0030100,,N,N,,I,BALTIMORE COUNTY POL DEP,BALTIMORE COUNTY POLICE TOWSON,Baltimore County Police Department,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,County,839014,23372,MDUCR0001,Maryland State Police Central Records Division,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,1516,73,1589,316,142,458,2.2,2.4,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BALTIMORE,"Baltimore-Columbia-Towson, MD",Y,Y,Y
79152021,7915,2021,MD0030400,MD0030400,,N,N,,I,UNIV OF MD:BALTI COUNTY,UNIV OF MARYLAND BALTIMORE CO PD,University of Maryland:,Baltimore County,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,University or College,0,23372,MDUCR0001,Maryland State Police Central Records Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,20,7,27,6,4,10,0,0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BALTIMORE,"Baltimore-Columbia-Towson, MD",Y,Y,Y
79182021,7918,2021,MD0040100,MD0040100,,N,N,,I,TRANSPORTATION AUTHORITY,TRANSPORTATION AUTHORITY,Transportation Authority,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,Other State Agency,0,23372,MDUCR0001,Maryland State Police Central Records Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,399,34,433,41,75,116,0,0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,"Baltimore-Columbia-Towson, MD",Y,Y,Y
79272021,7927,2021,MD0041200,MD0041200,,N,N,,I,TRANSIT ADMINISTRATION,MARYLAND TRANSIT ADMINISTRATION POLICE,Transit Administration,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,Other State Agency,0,23372,MDUCR0001,Maryland State Police Central Records Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,128,20,148,32,32,64,0,0,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,"Baltimore-Columbia-Towson, MD",Y,Y,Y
79692021,7969,2021,MD0120000,MD0120000,,N,N,,I,GARRETT,GARRETT CO SO OAKLAND,Garrett,,A,24,Maryland,MD,MD,5,South Atlantic,3,South,Region III,County,27315,23372,MDUCR0001,Maryland State Police Central Records Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,35,5,40,1,10,11,1.3,1.9,2016-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,GARRETT,Not Specified,Y,Y,Y
