yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
80822021,8082,2021,ME0010000,ME0010000,,N,N,,I,ANDROSCOGGIN,ANDROSCOGGIN CO SO AUBURN,Androscoggin,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,County,30290,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,34,0,34,1,2,3,1.2,1.2,2003-07-01,2020-01-01,2020-01-01,2020-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80832021,8083,2021,ME0010100,ME0010100,,N,N,,I,AUBURN,AUBURN PD,Auburn,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,23446,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,49,1,50,4,5,9,2.3,2.5,2003-07-01,2007-04-01,2007-04-01,2012-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80842021,8084,2021,ME0010200,ME0010200,,N,N,,I,LEWISTON,LEWISTON PD,Lewiston,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,36191,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,73,6,79,6,7,13,2.2,2.5,2003-07-01,2007-01-01,2007-01-01,2012-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80852021,8085,2021,ME0010300,ME0010300,,N,N,,I,LIVERMORE FALLS,LIVERMORE FALLS PD,Livermore Falls,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3178,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,0,0,1.9,1.9,2003-07-01,2021-01-01,2021-06-01,2021-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80862021,8086,2021,ME0010500,ME0010500,,N,N,,I,LISBON,LISBON POLICE DEPARTMENT,Lisbon,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,9057,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,3,14,2,3,5,1.4,2.1,2003-07-01,2007-04-01,2007-04-01,2012-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80872021,8087,2021,ME0010600,ME0010600,,N,N,,I,MECHANIC FALLS,MECHANIC FALLS PD,Mechanic Falls,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,2977,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,2,0,2,0,0,0,0.7,0.7,2003-07-01,2020-04-01,2021-06-01,2021-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80882021,8088,2021,ME0010700,ME0010700,,N,N,,I,SABATTUS,SABATTUS PD,Sabattus,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,5077,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,1,1,1.0,1.2,2003-07-01,2020-01-01,2020-01-01,2020-02-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80922021,8092,2021,ME0020000,ME0020000,,N,N,,I,AROOSTOOK,AROOSTOOK CO SO HOULTON,Aroostook,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,County,29520,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,17,3,20,1,4,5,0.6,0.8,2003-07-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80932021,8093,2021,ME0020100,ME0020100,,N,N,,I,CARIBOU,CARIBOU PD,Caribou,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,7570,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,0,14,1,1,2,2.0,2.1,2003-07-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80942021,8094,2021,ME0020200,ME0020200,,N,N,,I,FORT FAIRFIELD,FORT FAIRFIELD PD,Fort Fairfield,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3258,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,2,0,2,1,0,1,0.9,0.9,2003-07-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,AROOSTOOK,Not Specified,Y,Y,Y
