yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
82862021,8286,2021,MI0100100,MI0100100,,N,N,,I,SP: ALCONA COUNTY,SP: ALCONA COUNTY,State Police:,Alcona County,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,State Police,0,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-10-01,1998-01-02,2009-07-02,2012-07-02,2017-01-02,2017-01-02,N,ALCONA,Not Specified,Y,Y,Y
82872021,8287,2021,MI0110100,MI0110100,,N,N,,I,ALCONA,ALCONA CO SO HARRISVILLE,Alcona,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,County,10547,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,11,1,12,0,2,2,1.0,1.3,1994-10-01,1995-12-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALCONA,Not Specified,Y,Y,Y
82902021,8290,2021,MI0200200,MI0200200,,N,N,,I,SP: ALGER COUNTY,SP: ALGER COUNTY,State Police:,Alger County,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,State Police,0,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-10-01,1998-01-02,2009-06-02,2012-07-02,2017-01-02,2017-01-02,N,ALGER,Not Specified,Y,Y,Y
82912021,8291,2021,MI0210200,MI0210200,,N,N,,I,ALGER,ALGER CO SO MUNISING,Alger,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,County,6856,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,5,13,1,0,1,1.3,2.0,1994-10-01,1995-01-01,2010-08-01,2012-07-01,2017-02-01,2017-02-01,N,ALGER,Not Specified,Y,Y,Y
82922021,8292,2021,MI0260200,MI0260200,,N,N,,I,MUNISING,MUNISING PD,Munising,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,2171,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.3,2.3,1994-10-01,1996-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALGER,Not Specified,Y,Y,Y
82932021,8293,2021,MI0300300,MI0300300,,N,N,,I,SP: ALLEGAN COUNTY,SP: ALLEGAN COUNTY,State Police:,Allegan County,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,State Police,0,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-10-01,1998-01-02,2009-06-02,2012-07-02,2017-01-02,2017-01-02,N,ALLEGAN,Not Specified,Y,Y,Y
82942021,8294,2021,MI0310300,MI0310300,,N,N,,I,ALLEGAN,ALLEGAN CO SO ALLEGAN,Allegan,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,County,92655,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,54,27,81,6,18,24,0.6,1.1,1994-10-01,1995-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
82952021,8295,2021,MI0321000,MI0321000,,N,N,,I,ALLEGAN,ALLEGAN PD,Allegan,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,5018,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,0,1,1,1.6,1.8,1994-10-01,1997-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
82962021,8296,2021,MI0335300,MI0335300,,N,N,,I,SAUGATUCK-DOUGLAS,SAUGATUCK DOUGLAS POLICE DEPARTMENT,Saugatuck-Douglas,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,2337,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,1,2,1.7,2.1,1994-10-01,1995-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
82972021,8297,2021,MI0339200,MI0339200,,N,N,,I,FENNVILLE,FENNVILLE PD,Fennville,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,1438,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,3,0,3,4.2,4.2,1994-10-01,2013-01-01,2014-02-01,2014-02-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
83002021,8300,2021,MI0364100,MI0364100,,N,N,,I,OTSEGO,OTSEGO PD,Otsego,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,3990,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,0,1,1,1.8,2.0,1994-10-01,1995-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
83012021,8301,2021,MI0367000,MI0367000,,N,N,,I,PLAINWELL,PLAINWELL DEPARTMENT OF PUBLIC SAFETY,Plainwell,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,3771,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,0,1,1,2.1,2.4,1994-10-01,1995-01-01,2009-07-01,2012-07-01,2017-02-01,2017-02-01,N,ALLEGAN,Not Specified,Y,Y,Y
83032021,8303,2021,MI0381100,MI0381100,,N,N,,I,WAYLAND,WAYLAND PD,Wayland,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,City,4253,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,1,1,1.4,1.6,1994-10-01,1995-01-01,2009-07-01,2012-12-01,2017-01-01,2017-01-01,N,ALLEGAN,Not Specified,Y,Y,Y
83052021,8305,2021,MI0400400,MI0400400,,N,N,,I,SP: ALPENA COUNTY,SP: ALPENA COUNTY,State Police:,Alpena County,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,State Police,0,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-10-01,1998-01-02,2009-06-02,2012-07-02,2017-01-02,2017-01-02,N,ALPENA,Not Specified,Y,Y,Y
83062021,8306,2021,MI0410400,MI0410400,,N,N,,I,ALPENA,ALPENA CO SO ALPENA,Alpena,,A,26,Michigan,MI,MI,3,East North Central,2,Midwest,Region II,County,18495,23374,MIUCR0001,Michigan State Police Criminal Justice Information Center ,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,8,12,20,3,9,12,0.6,1.7,1994-10-01,1995-01-01,2009-07-01,2012-07-01,2017-01-01,2017-01-01,N,ALPENA,Not Specified,Y,Y,Y
