yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
91052021,9105,2021,MN0010000,MN0010000,,N,N,,I,AITKIN,AITKIN CO SO AITKIN,Aitkin,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,12963,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,18,15,33,2,15,17,1.5,3.9,2016-06-01,2019-02-01,2019-02-01,2019-02-01,2019-08-01,2019-02-01,N,AITKIN,Not Specified,Y,Y,Y
91062021,9106,2021,MN0020000,MN0020000,,N,N,,I,ANOKA,ANOKA CO SO ANOKA,Anoka,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,87921,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,114,74,188,13,62,75,1.4,3.0,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91072021,9107,2021,MN0020100,MN0020100,,N,N,,I,ANOKA,ANOKA PD,Anoka,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,17553,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,28,3,31,1,8,9,1.7,2.3,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91082021,9108,2021,MN0020200,MN0020200,,N,N,,I,BLAINE,BLAINE PD,Blaine,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,67705,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,61,1,62,9,10,19,1.0,1.2,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91092021,9109,2021,MN0020300,MN0020300,,N,N,,I,CENTENNIAL LAKES,CENTENNIAL LAKES POLICE DEPARTMENT,Centennial Lakes,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,11721,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,14,0,14,2,2,4,1.4,1.5,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91102021,9110,2021,MN0020400,MN0020400,,N,N,,I,COLUMBIA HEIGHTS,COLUMBIA HEIGHTS PD,Columbia Heights,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,21238,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,22,3,25,4,4,8,1.2,1.6,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91112021,9111,2021,MN0020500,MN0020500,,N,N,,I,COON RAPIDS,COON RAPIDS PD,Coon Rapids,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,63076,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,58,2,60,11,8,19,1.1,1.3,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91122021,9112,2021,MN0020600,MN0020600,,N,N,,I,FRIDLEY,FRIDLEY PD,Fridley,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,27919,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,2,45,3,6,9,1.6,1.9,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91132021,9113,2021,MN0020700,MN0020700,,N,N,,I,LINO LAKES,LINO LAKES PD,Lino Lakes,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,22657,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,19,0,19,7,4,11,1.1,1.3,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91142021,9114,2021,MN0020800,MN0020800,,N,N,,I,SPRING LAKE PARK,SPRING LAKE PARK PD,Spring Lake Park,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,6960,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,3,4,1.4,1.9,2016-06-01,1994-01-01,1994-01-01,1994-01-01,1994-01-01,2019-08-01,N,"ANOKA, RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
