yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
94782021,9478,2021,MO0010000,MO0010000,,N,N,,I,ADAIR,ADAIR,Adair,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,7707,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,0,10,0,0,0,1.3,1.3,2005-10-01,2020-12-01,2020-12-01,2021-02-01,2021-02-01,2021-02-01,N,ADAIR,Not Specified,Y,Y,Y
94792021,9479,2021,MO0010100,MO0010100,,N,N,,I,KIRKSVILLE,KIRKSVILLE,Kirksville,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,17666,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,1,25,2,2,4,1.5,1.6,2005-10-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,ADAIR,Not Specified,Y,Y,Y
94802021,9480,2021,MO0010600,MO0010600,,N,N,,I,TRUMAN STATE UNIVERSITY,TRUMAN STATE UNIVERSITY,Truman State University,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,University or College,0,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,1,7,1,1,2,0,0,2005-10-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,N,ADAIR,Not Specified,Y,Y,Y
94812021,9481,2021,MO0020000,MO0020000,,N,N,,I,ANDREW,ANDREW,Andrew,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,9896,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,,,2005-10-01,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94822021,9482,2021,MO0020100,MO0020100,,N,N,,I,SAVANNAH,SAVANNAH,Savannah,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,5177,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94832021,9483,2021,MO0020500,MO0020500,,N,N,,I,COUNTRY CLUB VILLAGE,COUNTRY CLUB VILLAGE,Country Club Village,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,2537,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,ANDREW,"St. Joseph, MO-KS",Y,Y,Y
94852021,9485,2021,MO0030200,MO0030200,,N,N,,I,ROCK PORT,ROCK PORT,Rock Port,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1171,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATCHISON,Not Specified,Y,Y,Y
94862021,9486,2021,MO0030300,MO0030300,,N,N,,I,TARKIO,TARKIO,Tarkio,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1405,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.4,1.4,2005-10-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATCHISON,Not Specified,Y,Y,Y
94872021,9487,2021,MO0040000,MO0040000,,N,N,,I,AUDRAIN,AUDRAIN,Audrain,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,12139,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,48,8,56,2,4,6,4.1,5.1,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,AUDRAIN,Not Specified,Y,Y,Y
94882021,9488,2021,MO0040100,MO0040100,,N,N,,I,FARBER,FARBER,Farber,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,309,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,,,,,N,AUDRAIN,Not Specified,Y,Y,Y
94902021,9490,2021,MO0040400,MO0040400,,N,N,,I,MEXICO,MEXICO,Mexico,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,11531,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,0,25,3,1,4,2.4,2.5,2005-10-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,AUDRAIN,Not Specified,Y,Y,Y
94922021,9492,2021,MO0050000,MO0050000,,N,N,,I,BARRY,BARRY,Barry,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,22341,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2005-10-01,2020-09-01,2020-09-01,2020-12-01,2020-12-01,2020-12-01,N,BARRY,Not Specified,Y,Y,Y
94932021,9493,2021,MO0050100,MO0050100,,N,N,,I,CASSVILLE,CASSVILLE,Cassville,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,3223,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,BARRY,Not Specified,Y,Y,Y
94942021,9494,2021,MO0050200,MO0050200,,N,N,,I,MONETT,MONETT,Monett,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,9188,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2020-12-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,N,"BARRY, LAWRENCE",Not Specified,Y,Y,Y
94952021,9495,2021,MO0050300,MO0050300,,N,N,,I,EXETER,EXETER,Exeter,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,770,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,,,,,N,BARRY,Not Specified,Y,Y,Y
94972021,9497,2021,MO0050500,MO0050500,,N,N,,I,SELIGMAN,SELIGMAN,Seligman,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,835,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.2,1.2,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,BARRY,Not Specified,Y,Y,Y
95022021,9502,2021,MO0060100,MO0060100,,N,N,,I,LAMAR,LAMAR,Lamar,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4204,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2020-01-01,2020-01-01,2020-10-01,2020-10-01,2020-10-01,N,BARTON,Not Specified,Y,Y,Y
95052021,9505,2021,MO0070000,MO0070000,,N,N,,I,BATES,BATES,Bates,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,9171,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,,,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95062021,9506,2021,MO0070100,MO0070100,,N,N,,I,ADRIAN,ADRIAN,Adrian,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1594,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,3.1,3.1,2005-10-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95072021,9507,2021,MO0070200,MO0070200,,N,N,,I,BUTLER,BUTLER,Butler,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,3981,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,2,14,0,5,5,3.0,4.8,2005-10-01,2019-12-01,2019-12-01,2020-04-01,2020-04-01,2020-04-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95082021,9508,2021,MO0070400,MO0070400,,N,N,,I,RICH HILL,RICH HILL,Rich Hill,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1315,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95092021,9509,2021,MO0080000,MO0080000,,N,N,,I,BENTON,BENTON,Benton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,15102,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2005-10-01,2017-10-01,2017-10-01,2020-03-01,2020-03-01,2020-03-01,N,BENTON,Not Specified,Y,Y,Y
95112021,9511,2021,MO0080200,MO0080200,,N,N,,I,LINCOLN,LINCOLN,Lincoln,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1198,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,3.3,3.3,2005-10-01,2020-02-01,2020-02-01,2020-03-01,2020-03-01,2020-03-01,N,BENTON,Not Specified,Y,Y,Y
95122021,9512,2021,MO0080300,MO0080300,,N,N,,I,WARSAW,WARSAW,Warsaw,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,2227,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BENTON,Not Specified,Y,Y,Y
95132021,9513,2021,MO0090000,MO0090000,,N,N,,I,BOLLINGER,BOLLINGER,Bollinger,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,10630,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,10,3,13,0,2,2,0.9,1.4,2005-10-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,BOLLINGER,"Cape Girardeau, MO-IL",Y,Y,Y
