yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
101772021,10177,2021,MS0020000,MS0020000,,N,N,,I,ALCORN,ALCORN CO SO CORINTH,Alcorn,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,22225,25183,MSUCR0001,Mississippi Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,23,1,24,0,1,1,1.0,1.1,2008-01-01,2020-01-01,2020-01-01,2020-11-01,2020-11-01,2020-11-01,N,ALCORN,Not Specified,Y,Y,Y
101782021,10178,2021,MS0020100,MS0020100,,N,N,,I,CORINTH,CORINTH PD,Corinth,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,14421,25183,MSUCR0001,Mississippi Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,37,2,39,1,3,4,2.6,3.0,2008-01-01,2020-01-01,2020-01-01,2020-02-01,2020-02-01,2020-02-01,N,ALCORN,Not Specified,Y,Y,Y
101792021,10179,2021,MS0030000,MS0030000,,Y,N,,I,AMITE,AMITE CO SO LIBERTY,Amite,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,11200,24465,MS0030000,Amite,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,6,3,9,0,6,6,0.5,1.3,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2022-03-01,2022-03-01,N,AMITE,Not Specified,Y,Y,Y
101812021,10181,2021,MS0040000,MS0040000,,N,N,,I,ATTALA,ATTALA CO SO KOSCIUSKO,Attala,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,11211,25183,MSUCR0001,Mississippi Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,0,0,0,0,0,0,0.0,0.0,2008-01-01,2020-07-01,2020-07-01,2021-07-01,2021-07-01,2021-07-01,N,ATTALA,Not Specified,Y,Y,Y
101822021,10182,2021,MS0040100,MS0040100,,N,N,,I,KOSCIUSKO,KOSCIUSKO PD,Kosciusko,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,6545,25183,MSUCR0001,Mississippi Department of Public Safety,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,0,18,1,0,1,2.9,2.9,2008-01-01,2019-01-01,2019-01-01,2019-01-01,2020-07-01,2020-07-01,N,ATTALA,Not Specified,Y,Y,Y
101842021,10184,2021,MS0060000,MS0060000,,N,N,,I,BOLIVAR,BOLIVAR CO SO CLEVELAND,Bolivar,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,12526,25183,MSUCR0001,Mississippi Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,21,2,23,5,6,11,2.1,2.7,2008-01-01,2020-04-01,2020-04-01,2021-06-01,2021-06-01,2021-06-01,N,BOLIVAR,Not Specified,Y,Y,Y
101852021,10185,2021,MS0060100,MS0060100,,N,N,,I,CLEVELAND,CLEVELAND PD,Cleveland,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,10710,25183,MSUCR0001,Mississippi Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,40,2,42,4,4,8,4.1,4.7,2008-01-01,2019-01-01,2019-01-01,2019-10-01,2019-10-01,2019-10-01,N,BOLIVAR,Not Specified,Y,Y,Y
101902021,10190,2021,MS0070000,MS0070000,,N,N,,I,CALHOUN,CALHOUN CO SO PITTSBORO,Calhoun,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,8456,25183,MSUCR0001,Mississippi Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,0,5,0,0,0,0.6,0.6,2008-01-01,2021-01-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,N,CALHOUN,Not Specified,Y,Y,Y
101912021,10191,2021,MS0070100,MS0070100,,N,N,,I,BRUCE,BRUCE PD,Bruce,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,1784,25183,MSUCR0001,Mississippi Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,0,0,3.4,3.4,2008-01-01,2020-04-01,2020-04-01,2020-11-01,2020-11-01,2020-11-01,N,CALHOUN,Not Specified,Y,Y,Y
101922021,10192,2021,MS0070200,MS0070200,,N,N,,I,CALHOUN CITY,CALHOUN CITY PD,Calhoun City,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,1637,25183,MSUCR0001,Mississippi Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,3.1,3.1,2008-01-01,2021-01-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,N,CALHOUN,Not Specified,Y,Y,Y
101952021,10195,2021,MS0090000,MS0090000,,N,N,,I,CHICKASAW,CHICKASAW CO SO HOUSTON,Chickasaw,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,10888,25183,MSUCR0001,Mississippi Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,13,0,13,0,1,1,1.2,1.3,2008-01-01,2020-07-01,2020-07-01,2021-05-01,2021-05-01,2021-05-01,N,CHICKASAW,Not Specified,Y,Y,Y
101982021,10198,2021,MS0100000,MS0100000,,N,N,,I,CHOCTAW,CHOCTAW CO SO ACKERMAN,Choctaw,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,6505,25183,MSUCR0001,Mississippi Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,0,0,0,0,0,0,0.0,0.0,2008-01-01,2020-10-01,2020-10-01,2021-04-01,2021-04-01,2021-04-01,N,CHOCTAW,Not Specified,Y,Y,Y
101992021,10199,2021,MS0100100,MS0100100,,N,N,,I,ACKERMAN,ACKERMAN PD,Ackerman,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,City,1407,25183,MSUCR0001,Mississippi Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,3.6,3.6,2008-01-01,2020-09-01,2020-09-01,2020-10-01,2020-10-01,2020-10-01,N,CHOCTAW,Not Specified,Y,Y,Y
102002021,10200,2021,MS0110000,MS0110000,,N,N,,I,CLAIBORNE,CLAIBORNE CO SO PORT GIBSON,Claiborne,,A,29,Mississippi,MS,MS,6,East South Central,3,South,Region III,County,7532,25183,MSUCR0001,Mississippi Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,0,5,4,0,4,1.2,1.2,2008-01-01,2021-01-01,2021-01-01,2021-09-01,2021-09-01,2021-09-01,N,CLAIBORNE,Not Specified,Y,Y,Y
