yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
104072021,10407,2021,MT0010000,MT0010000,,N,N,,I,BEAVERHEAD,BEAVERHEAD CO SO DILLON,Beaverhead,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,5275,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,7,7,14,0,5,5,1.3,3.6,1997-08-01,2000-07-01,2000-07-01,2015-03-01,2020-11-01,2015-03-01,N,BEAVERHEAD,Not Specified,Y,Y,Y
104082021,10408,2021,MT0010100,MT0010100,,N,N,,I,DILLON,DILLON PD,Dillon,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,4352,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,1,2,2.3,2.5,1997-08-01,2004-05-01,2004-05-01,2015-03-01,2020-09-01,2015-03-01,N,BEAVERHEAD,Not Specified,Y,Y,Y
104092021,10409,2021,MT0020000,MT0020000,,N,N,,I,BIG HORN,BIG HORN CO SO HARDIN,Big Horn,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,13245,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,11,9,20,1,10,11,0.9,2.3,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,BIG HORN,Not Specified,Y,Y,Y
104112021,10411,2021,MT0030000,MT0030000,,N,N,,I,BLAINE,BLAINE CO SO CHINOOK,Blaine,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,5425,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,7,2,9,1,4,5,1.5,2.6,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2021-03-01,2015-03-01,N,BLAINE,Not Specified,Y,Y,Y
104122021,10412,2021,MT0030100,MT0030100,,N,N,,I,CHINOOK,CHINOOK PD,Chinook,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,1233,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,3.2,3.2,1997-08-01,2005-01-01,2005-01-01,2015-09-01,2021-03-01,2015-09-01,N,BLAINE,Not Specified,Y,Y,Y
104142021,10414,2021,MT0040000,MT0040000,,N,N,,I,BROADWATER,BROADWATER CO SO TOWNSEND,Broadwater,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,6615,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,5,15,2,9,11,1.8,3.9,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,BROADWATER,Not Specified,Y,Y,Y
104152021,10415,2021,MT0050000,MT0050000,,N,N,,I,CARBON,CARBON CO SO RED LODGE,Carbon,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,7992,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,13,2,15,0,5,5,1.6,2.5,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,CARBON,"Billings, MT",Y,Y,Y
104162021,10416,2021,MT0050100,MT0050100,,N,N,,I,RED LODGE,RED LODGE PD,Red Lodge,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,2384,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.1,2.1,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,CARBON,"Billings, MT",Y,Y,Y
104172021,10417,2021,MT0050200,MT0050200,,N,N,,I,BRIDGER,BRIDGER PD,Bridger,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,775,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,1,0,1,3.9,3.9,1997-08-01,2007-11-01,2007-11-01,2015-03-01,2020-09-01,2015-03-01,N,CARBON,"Billings, MT",Y,Y,Y
104192021,10419,2021,MT0060000,MT0060000,,N,N,,I,CARTER,CARTER CO SO EKALAKA,Carter,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,1259,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,0,4,0,1,1,3.2,4.0,1997-08-01,2005-08-01,2005-08-01,2015-05-01,,2015-05-01,N,CARTER,Not Specified,Y,Y,Y
104212021,10421,2021,MT0070000,MT0070000,,N,N,,I,CASCADE,CASCADE CO SO GREAT FALLS,Cascade,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,24097,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,39,63,102,2,34,36,1.7,5.7,1997-08-01,2004-01-01,2004-01-01,2015-03-01,2020-09-01,2015-03-01,N,CASCADE,"Great Falls, MT",Y,Y,Y
104222021,10422,2021,MT0070100,MT0070100,,N,N,,I,GREAT FALLS,GREAT FALLS PD,Great Falls,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,58265,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,82,10,92,5,28,33,1.5,2.1,1997-08-01,2004-01-01,2004-01-01,2015-03-01,2020-09-01,2015-03-01,N,CASCADE,"Great Falls, MT",Y,Y,Y
104242021,10424,2021,MT0080000,MT0080000,,N,N,,I,CHOUTEAU,CHOUTEAU CO SO FORT BENTON,Chouteau,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,4320,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,5,14,0,8,8,2.1,5.1,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2021-03-01,2015-08-01,N,CHOUTEAU,Not Specified,Y,Y,Y
104252021,10425,2021,MT0080100,MT0080100,,N,N,,I,FORT BENTON,FORT BENTON PD,Fort Benton,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,1440,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,2.8,2.8,1997-08-01,2004-06-01,2004-06-01,2015-03-01,2020-11-01,2015-03-01,N,CHOUTEAU,Not Specified,Y,Y,Y
104262021,10426,2021,MT0090000,MT0090000,,N,N,,I,CUSTER,CUSTER CO SO MILES CITY,Custer,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,3237,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,8,14,1,3,4,2.2,5.6,1997-08-01,2008-04-01,2008-04-01,2015-03-01,2020-09-01,2015-03-01,N,CUSTER,Not Specified,Y,Y,Y
104272021,10427,2021,MT0090100,MT0090100,,N,N,,I,MILES CITY,MILES CITY PD,Miles City,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,8160,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,1,0,1,2.1,2.1,1997-08-01,2008-01-01,2008-01-01,2015-03-01,2020-09-01,2015-03-01,N,CUSTER,Not Specified,Y,Y,Y
104302021,10430,2021,MT0110000,MT0110000,,N,N,,I,DAWSON,DAWSON CO SO GLENDIVE,Dawson,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,3753,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,7,26,33,1,21,22,2.1,14.7,1997-08-01,2004-12-01,2004-12-01,2015-03-01,2021-02-01,2015-03-01,N,DAWSON,Not Specified,Y,Y,Y
104312021,10431,2021,MT0110100,MT0110100,,N,N,,I,GLENDIVE,GLENDIVE PD,Glendive,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,4873,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,1,6,1,4,5,1.2,2.3,1997-08-01,2004-08-01,2004-08-01,2015-03-01,2021-02-01,2015-03-01,N,DAWSON,Not Specified,Y,Y,Y
104322021,10432,2021,MT0120000,MT0120000,,N,N,,I,DEER LODGE,DEER LODGE CO SO ANACONDA,Deer Lodge,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,9313,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,18,0,18,1,0,1,2.0,2.0,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,DEER LODGE,Not Specified,Y,Y,Y
104342021,10434,2021,MT0130000,MT0130000,,N,N,,I,FALLON,FALLON CO SO BAKER,Fallon,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,946,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,2,6,0,3,3,4.2,9.5,1997-08-01,2004-12-01,2004-12-01,2015-04-01,2020-09-01,2015-04-01,N,FALLON,Not Specified,Y,Y,Y
104352021,10435,2021,MT0130100,MT0130100,,N,N,,I,BAKER,BAKER PD,Baker,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,1910,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.1,2.1,1997-08-01,2005-03-01,2005-03-01,2015-04-01,2020-09-01,2015-04-01,N,FALLON,Not Specified,Y,Y,Y
104362021,10436,2021,MT0140000,MT0140000,,N,N,,I,FERGUS,FERGUS CO SO LEWISTOWN,Fergus,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,5315,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,14,3,17,2,3,5,3.0,4.1,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,FERGUS,Not Specified,Y,Y,Y
104372021,10437,2021,MT0140100,MT0140100,,N,N,,I,LEWISTOWN,LEWISTOWN PD,Lewistown,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,5882,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,1,14,0,4,4,2.2,3.1,1997-08-01,2005-01-01,2005-01-01,2015-03-01,2020-09-01,2015-03-01,N,FERGUS,Not Specified,Y,Y,Y
104382021,10438,2021,MT0150000,MT0150000,,N,N,,I,FLATHEAD,FLATHEAD CO SO KALISPELL,Flathead,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,County,67563,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,54,30,84,4,23,27,0.9,1.6,1997-08-01,2004-06-01,2004-06-01,2015-03-01,2020-09-01,2015-03-01,N,FLATHEAD,Not Specified,Y,Y,Y
104392021,10439,2021,MT0150100,MT0150100,,N,N,,I,COLUMBIA FALLS,COLUMBIA FALLS PD,Columbia Falls,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,6385,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,0,1,1,1.6,1.7,1997-08-01,2004-07-01,2004-07-01,2015-03-01,2020-09-01,2015-03-01,N,FLATHEAD,Not Specified,Y,Y,Y
104402021,10440,2021,MT0150200,MT0150200,,N,N,,I,WHITEFISH,WHITEFISH PD,Whitefish,,A,30,Montana,MT,MT,8,Mountain,4,West,Region IV,City,8972,23377,MTUCR0001,Montana Board of Crime Control Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,1,14,2,2,4,1.7,2.0,1997-08-01,2004-07-01,2004-07-01,2015-03-01,2020-09-01,2015-03-01,N,FLATHEAD,Not Specified,Y,Y,Y
