yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
108732021,10873,2021,NC0010000,NC0010000,,N,N,,I,ALAMANCE,ALAMANCE CO SO GRAHAM,Alamance,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,County,66326,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,129,72,201,17,47,64,2.2,4.0,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALAMANCE,"Burlington, NC",Y,Y,Y
108742021,10874,2021,NC0010100,NC0010100,,N,N,,I,BURLINGTON,BURLINGTON POLICE DEPARTMENT,Burlington,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,56065,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,96,9,105,27,39,66,2.2,3.1,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,"ALAMANCE, GUILFORD","Burlington, NC",Y,Y,Y
108752021,10875,2021,NC0010200,NC0010200,,N,N,,I,ELON,ELON POLICE DEPARTMENT,Elon,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,12521,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,16,0,16,4,1,5,1.6,1.7,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALAMANCE,"Burlington, NC",Y,Y,Y
108762021,10876,2021,NC0010300,NC0010300,,N,N,,I,GRAHAM,GRAHAM PD,Graham,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,15919,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,1,30,9,3,12,2.4,2.6,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALAMANCE,"Burlington, NC",Y,Y,Y
108772021,10877,2021,NC0010400,NC0010400,,N,N,,I,MEBANE,MEBANE PD,Mebane,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,17365,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,0,29,5,4,9,2.0,2.2,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,"ALAMANCE, ORANGE","Burlington, NC",Y,Y,Y
108782021,10878,2021,NC0010500,NC0010500,,N,N,,I,HAW RIVER,HAW RIVER PD HAW RIVER,Haw River,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,2558,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,0,0,0,3.5,3.5,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALAMANCE,"Burlington, NC",Y,Y,Y
108792021,10879,2021,NC001069E,NC0010600,,N,N,,I,ELON UNIVERSITY,ELON UNIVERSITY,Elon University,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,University or College,0,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,17,13,30,2,5,7,0,0,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALAMANCE,"Burlington, NC",Y,Y,Y
108822021,10882,2021,NC0020000,NC0020000,,N,N,,I,ALEXANDER,ALEXANDER CO SO TAYLORSVILLE,Alexander,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,County,34745,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,37,19,56,1,20,21,1.1,2.2,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALEXANDER,"Hickory-Lenoir-Morganton, NC",Y,Y,Y
108832021,10883,2021,NC0020100,NC0020100,,N,N,,I,TAYLORSVILLE,TAYLORSVILLE PD,Taylorsville,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,2145,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,11,0,11,2,0,2,6.1,6.1,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALEXANDER,"Hickory-Lenoir-Morganton, NC",Y,Y,Y
108882021,10888,2021,NC0030200,NC0030200,,N,N,,I,SPR: STONE MOUNTAIN,ST PARK RANGER STONE MTN SP PARK ROARING GAP,State Park Rangers:,Stone Mountain,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,Other State Agency,0,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,2,0,2,0,0,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ALLEGHANY,Not Specified,Y,Y,Y
108912021,10891,2021,NC0040000,NC0040000,,N,N,,I,ANSON,ANSON CO SO WADESBORO,Anson,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,County,15110,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,31,5,36,0,22,22,2.1,3.8,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ANSON,"Charlotte-Concord-Gastonia, NC-SC",Y,Y,Y
108922021,10892,2021,NC0040100,NC0040100,,N,N,,I,WADESBORO,WADESBORO PD,Wadesboro,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,5190,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,4,19,4,1,5,3.7,4.6,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ANSON,"Charlotte-Concord-Gastonia, NC-SC",Y,Y,Y
108992021,10899,2021,NC0050000,NC0050000,,N,N,,I,ASHE,ASHE CO SO JEFFERSON,Ashe,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,County,23906,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,33,21,54,3,18,21,1.5,3.1,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ASHE,Not Specified,Y,Y,Y
109002021,10900,2021,NC0050100,NC0050100,,N,N,,I,WEST JEFFERSON,WEST JEFFERSON PD,West Jefferson,,A,32,North Carolina,NC,NC,5,South Atlantic,3,South,Region III,City,1311,23379,NCUCR0001,State Bureau of Investigation Crime Reporting and Criminal Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,9,0,9,0,0,0,6.9,6.9,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,ASHE,Not Specified,Y,Y,Y
