yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
105432021,10543,2021,NB0010000,NB0010000,,N,N,,I,ADAMS,ADAMS CO SO HASTINGS,Adams,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,6872,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,18,0,18,0,3,3,2.6,3.1,1998-01-01,2002-01-01,2002-01-01,2018-12-01,2019-05-01,2018-12-01,N,ADAMS,Not Specified,Y,Y,Y
105442021,10544,2021,NB0010100,NB0010100,,N,N,,I,HASTINGS,HASTINGS PD,Hastings,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,City,24680,23378,NBUCR0001,Nebraska Crime Commission,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,1,35,4,13,17,1.5,2.1,1998-01-01,2002-07-01,2002-07-01,2019-04-01,2019-04-01,2019-04-01,N,ADAMS,Not Specified,Y,Y,Y
105452021,10545,2021,NB0020000,NB0020000,,N,N,,I,ANTELOPE,ANTELOPE CO SO NELIGH,Antelope,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,4482,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,2,5,1,7,8,0.9,2.9,1998-01-01,2019-07-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01,N,ANTELOPE,Not Specified,Y,Y,Y
105482021,10548,2021,NB0030000,NB0030000,,N,N,,I,ARTHUR,ARTHUR CO SO ARTHUR,Arthur,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,469,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,1,0,1,0,0,0,2.1,2.1,1998-01-01,2021-01-01,,,,,N,ARTHUR,Not Specified,Y,Y,Y
105492021,10549,2021,NB0040000,NB0040000,,N,N,,I,BANNER,BANNER CO SO HARRISBURG,Banner,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,802,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,2,0,2,0,0,0,2.5,2.5,1998-01-01,2021-03-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,BANNER,Not Specified,Y,Y,Y
105512021,10551,2021,NB0060000,NB0060000,,N,N,,I,BOONE,BOONE CO SO ALBION,Boone,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,3546,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,1,5,0,5,5,1.1,2.8,1998-01-01,2003-03-01,2003-03-01,2019-07-01,2019-07-01,2019-07-01,N,BOONE,Not Specified,Y,Y,Y
105522021,10552,2021,NB0060100,NB0060100,,N,N,,I,ALBION,ALBION PD,Albion,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,City,1547,23378,NBUCR0001,Nebraska Crime Commission,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1998-01-01,2020-05-01,2020-05-01,2020-10-01,2020-10-01,2020-10-01,N,BOONE,Not Specified,Y,Y,Y
105562021,10556,2021,NB0070000,NB0070000,,N,N,,I,BOX BUTTE,BOX BUTTE CO SO ALLIANCE,Box Butte,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,1974,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,5,10,1,9,10,3.0,10.1,1998-01-01,2021-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,BOX BUTTE,Not Specified,Y,Y,Y
105572021,10557,2021,NB0070100,NB0070100,,N,N,,I,ALLIANCE,ALLIANCE PD,Alliance,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,City,7986,23378,NBUCR0001,Nebraska Crime Commission,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,2,9,11,1.8,2.9,1998-01-01,2013-01-01,2013-01-01,2019-05-01,2019-05-01,2019-05-01,N,BOX BUTTE,Not Specified,Y,Y,Y
105582021,10558,2021,NB0080000,NB0080000,,N,N,,I,BOYD,BOYD CO SO BUTTE,Boyd,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,1851,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,1998-01-01,2021-01-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01,N,BOYD,Not Specified,Y,Y,Y
105602021,10560,2021,NB0090000,NB0090000,,N,N,,I,BROWN,BROWN CO SO AINSWORTH,Brown,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,2986,23378,NBUCR0001,Nebraska Crime Commission,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,1998-01-01,2021-01-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01,N,BROWN,Not Specified,Y,Y,Y
105622021,10562,2021,NB0100000,NB0100000,,N,N,,I,BUFFALO,BUFFALO CO SO KEARNEY,Buffalo,,A,31,Nebraska,NB,NE,4,West North Central,2,Midwest,Region II,County,14962,23378,NBUCR0001,Nebraska Crime Commission,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,29,24,53,1,29,30,2.0,5.5,1998-01-01,1998-01-01,1998-01-01,2019-05-01,2019-05-01,2019-05-01,N,BUFFALO,Not Specified,Y,Y,Y
