yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
118292021,11829,2021,NH0010000,NH0010000,,N,N,,I,BELKNAP,SO BELKNAP COUNTY LACONIA,Belknap,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,County,0,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,2,10,1,7,8,0,0,2002-01-01,2017-01-01,2022-02-01,2022-02-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118302021,11830,2021,NH001010X,NH0010100,,N,N,,I,SP: BELKNAP COUNTY,SP: BELKNAP COUNTY,State Police:,Belknap County,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,State Police,0,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,2002-01-01,2003-01-01,2003-01-01,2015-03-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118312021,11831,2021,NH0010200,NH0010200,,N,N,,I,ALTON,ALTON PD,Alton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,5445,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,1,2,3,2.2,2.6,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118322021,11832,2021,NH0010400,NH0010400,,N,N,,I,BARNSTEAD,BARNSTEAD PD,Barnstead,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,4852,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,1.4,1.4,2002-01-01,2002-07-01,2002-07-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118332021,11833,2021,NH0010600,NH0010600,,N,N,,I,BELMONT,BELMONT PD,Belmont,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,7406,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,2,3,5,1.9,2.3,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118342021,11834,2021,NH0010800,NH0010800,,N,N,,I,CENTER HARBOR,CENTER HARBOR PD,Center Harbor,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,1112,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,3.6,3.6,2002-01-01,2008-12-01,2008-12-01,2010-10-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118352021,11835,2021,NH0011000,NH0011000,,N,N,,I,GILFORD,GILFORD PD,Gilford,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,7391,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,0,17,1,6,7,2.4,3.2,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118362021,11836,2021,NH0011200,NH0011200,,N,N,,I,GILMANTON,GILMANTON PD,Gilmanton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,3850,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,1,1,1.3,1.6,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118372021,11837,2021,NH0011400,NH0011400,,N,N,,I,LACONIA,LACONIA PD,Laconia,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,16929,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,4,39,8,7,15,2.5,3.2,2002-01-01,2002-01-01,2002-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118382021,11838,2021,NH0011600,NH0011600,,N,N,,I,MEREDITH,MEREDITH PD,Meredith,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,6579,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,0,4,4,2.0,2.6,2002-01-01,2002-06-01,2002-06-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
