yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
120832021,12083,2021,NJ0010000,NJ0010000,,N,N,,I,ATLANTIC,ATLANTIC CO SHERIFFS OFF MAYS LANDING,Atlantic,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,County,0,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,87,8,95,15,22,37,0,0,2021-01-01,2021-01-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120842021,12084,2021,NJ0010100,NJ0010100,,N,N,,I,ABSECON,ABSECON PD,Absecon,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,8820,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,25,0,25,2,1,3,3.1,3.2,2021-01-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120852021,12085,2021,NJ0010200,NJ0010200,,N,N,,I,ATLANTIC CITY,ATLANTIC CITY PD,Atlantic City,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,37379,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,221,51,272,36,58,94,6.9,9.8,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120862021,12086,2021,NJ0010300,NJ0010300,,N,N,,I,BRIGANTINE,BRIGANTINE PD,Brigantine,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,8495,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,32,4,36,3,6,9,4.1,5.3,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120882021,12088,2021,NJ0010700,NJ0010700,,N,N,,I,EGG HARBOR CITY,EGG HARBOR CITY PD,Egg Harbor City,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,4038,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,2,1,3,3.2,3.5,2021-01-01,2021-11-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120892021,12089,2021,NJ0010800,NJ0010800,,N,N,,I,EGG HARBOR TOWNSHIP,EGG HARBOR TOWNSHIP POLICE DEPARTMENT,Egg Harbor Township,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,41966,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,87,7,94,5,26,31,2.2,3.0,2021-01-01,2021-06-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120902021,12090,2021,NJ0011100,NJ0011100,,N,N,,I,GALLOWAY TOWNSHIP,GALLOWAY TOWNSHIP POLICE DEPARTMENT,Galloway Township,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,35320,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,59,9,68,4,19,23,1.8,2.6,2021-01-01,2021-05-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120912021,12091,2021,NJ0011200,NJ0011200,,N,N,,I,HAMILTON TOWNSHIP,HAMILTON TWP PD MAYS LANDING,"Hamilton Township, Atlantic County",,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,25718,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,45,7,52,8,9,17,2.1,2.7,2021-01-01,2021-12-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
120992021,12099,2021,NJ0012100,NJ0012100,,N,N,,I,SOMERS POINT,SOMERS POINT PD,Somers Point,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,10091,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,3,30,0,4,4,2.7,3.4,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
121002021,12100,2021,NJ0012200,NJ0012200,,N,N,,I,VENTNOR CITY,VENTNOR CITY PD,Ventnor City,,A,35,New Jersey,NJ,NJ,2,Middle Atlantic,1,Northeast,Region I,City,9798,23382,NJUCR0001,New Jersey State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,35,7,42,3,4,7,3.9,5.0,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ATLANTIC,"Atlantic City-Hammonton, NJ",Y,Y,Y
