yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
127442021,12744,2021,NM0010000,NM0010000,,N,N,,I,BERNALILLO,BERNALILLO CO SO ALBUQUERQUE,Bernalillo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,120924,25186,NMUCR0001,New Mexico Department of Public Safety,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,N,,,,,,,,,2018-01-01,2019-01-02,2019-01-02,2020-04-02,2020-04-02,2020-04-02,N,BERNALILLO,"Albuquerque, NM",Y,Y,Y
127452021,12745,2021,NM0010100,NM0010100,,N,N,,I,ALBUQUERQUE,ALBUQUERQUE PD,Albuquerque,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,564147,25186,NMUCR0001,New Mexico Department of Public Safety,N,4,1B,"Cities from 500,000 thru 999,999",1,"All cities 250,000 or over",Y,4,,Y,808,184,992,132,350,482,1.7,2.6,2018-01-01,2018-01-02,2018-01-02,2018-06-02,2018-06-02,2018-06-02,N,BERNALILLO,"Albuquerque, NM",Y,Y,Y
127462021,12746,2021,NM0010200,NM0010200,,N,N,,I,UNIVERSITY OF NEW MEXICO,UNIVERSITY OF NEW MEXICO PD ALBUQUERQUE,University of New Mexico,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,University or College,0,25186,NMUCR0001,New Mexico Department of Public Safety,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,34,13,47,9,9,18,0,0,2018-01-01,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,N,BERNALILLO,"Albuquerque, NM",Y,Y,Y
127482021,12748,2021,NM0030000,NM0030000,,N,N,,I,CHAVES,CHAVES CO SO ROSWELL,Chaves,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,16011,25186,NMUCR0001,New Mexico Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,33,2,35,5,8,13,2.4,3.0,2018-01-01,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,N,CHAVES,Not Specified,Y,Y,Y
127512021,12751,2021,NM0040000,NM0040000,,N,N,,I,COLFAX,COLFAX CO SO RATON,Colfax,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,3126,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,0,10,1,1,2,3.5,3.8,2018-01-01,2021-01-02,2021-02-02,2021-02-02,2021-06-02,2021-02-02,N,COLFAX,Not Specified,Y,Y,Y
127552021,12755,2021,NM0040500,NM0040500,,N,N,,I,ANGEL FIRE,ANGEL FIRE POLICE DEPARTMENT,Angel Fire,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,1057,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,2,2,4.7,6.6,2018-01-01,2020-09-02,2020-09-02,2020-09-02,2020-09-02,2020-09-02,N,COLFAX,Not Specified,Y,Y,Y
127612021,12761,2021,NM0070000,NM0070000,,N,N,,I,DONA ANA,DONA ANA CO SO LAS CRUCES,Dona Ana,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,85437,25186,NMUCR0001,New Mexico Department of Public Safety,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,125,26,151,13,32,45,1.6,2.3,2018-01-01,2019-01-02,2019-01-02,2019-12-02,2019-12-02,2019-12-02,N,DONA ANA,"Las Cruces, NM",Y,Y,Y
127622021,12762,2021,NM0070100,NM0070100,,N,N,,I,LAS CRUCES,LAS CRUCES PD,Las Cruces,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,105805,25186,NMUCR0001,New Mexico Department of Public Safety,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,158,31,189,14,40,54,1.6,2.3,2018-01-01,2018-01-02,2018-01-02,2018-01-02,2018-01-02,2018-01-02,N,DONA ANA,"Las Cruces, NM",Y,Y,Y
127642021,12764,2021,NM0070400,NM0070400,,N,N,,I,NEW MEXICO STATE UNIVERS,NEW MEXICO STATE UNIVERSITY POLICE DEPARTMENT,New Mexico State University,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,University or College,0,25186,NMUCR0001,New Mexico Department of Public Safety,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,21,15,36,2,9,11,0,0,2018-01-01,2020-11-02,2020-11-02,2020-11-02,2020-11-02,2020-11-02,N,DONA ANA,"Las Cruces, NM",Y,Y,Y
127662021,12766,2021,NM0070600,NM0070600,,N,N,,I,SUNLAND PARK,DPS SUNLAND PARK,Sunland Park,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,18920,25186,NMUCR0001,New Mexico Department of Public Safety,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,1,25,1,1,2,1.3,1.4,2018-01-01,2019-01-02,2019-01-02,2019-01-02,2019-01-02,2019-01-02,N,DONA ANA,"Las Cruces, NM",Y,Y,Y
