yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
128802021,12880,2021,NV0010000,NV0010000,,N,N,,I,CHURCHILL,CHURCHILL CO SO FALLON,Churchill,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,County,16321,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,38,0,38,4,9,13,2.6,3.1,2019-11-01,2020-11-01,2020-11-01,2021-03-01,2021-03-01,2021-03-01,N,CHURCHILL,Not Specified,Y,Y,Y
128812021,12881,2021,NV0010100,NV0010100,,N,N,,I,FALLON,FALLON PD,Fallon,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,8765,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,24,1,25,1,11,12,2.9,4.2,2019-11-01,2020-11-01,2020-11-01,2021-03-01,2021-03-01,2021-03-01,N,CHURCHILL,Not Specified,Y,Y,Y
128832021,12883,2021,NV0020100,NV0020100,,N,N,,I,LAS VEGAS METRO PD,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,Las Vegas Metropolitan Police Department,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,1685021,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,3,1A,"Cities 1,000,000 or over",1,"All cities 250,000 or over",Y,3,,Y,3412,421,3833,582,1345,1927,2.4,3.4,2019-11-01,2020-09-01,2020-09-01,2020-11-01,2020-11-01,2020-11-01,N,CLARK,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128842021,12884,2021,NV0020200,NV0020200,,N,N,,I,NORTH LAS VEGAS,NORTH LAS VEGAS PD,North Las Vegas,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,264877,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,N,,,,,,,,,2019-11-01,2019-11-01,2019-11-01,2020-12-01,2020-12-01,2020-12-01,N,CLARK,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128852021,12885,2021,NV0020300,NV0020300,,N,N,,I,HENDERSON,HENDERSON PD,Henderson,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,337375,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,404,36,440,65,137,202,1.4,1.9,2019-11-01,2020-08-01,2020-08-01,2020-12-01,2020-12-01,2020-12-01,N,CLARK,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128862021,12886,2021,NV0020400,NV0020400,,N,N,,I,BOULDER CITY,BOULDER CITY PD,Boulder City,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,16556,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,4,38,3,13,16,2.2,3.3,2019-11-01,2020-03-01,2020-03-01,2020-06-01,2020-06-01,2020-06-01,N,CLARK,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128882021,12888,2021,NV0020900,NV0020900,,N,N,,I,MESQUITE,MESQUITE PD MESQUITE,Mesquite,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,21038,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,6,41,3,10,13,1.8,2.6,2019-11-01,2020-01-01,2020-01-01,2020-07-01,2020-07-01,2020-07-01,N,CLARK,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128912021,12891,2021,NV0022000,NV0022000,,Y,N,,I,LAS VEGAS PAIUTE TRIBAL,LAS VEGAS PAIUTE TRIBAL POLICE DEPARTMENT,Las Vegas Paiute Tribal,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,Tribal,0,32978,NV0022000,Las Vegas Paiute Tribal,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,12,2,14,0,2,2,0,0,2021-01-01,2021-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,N,NOT SPECIFIED,"Las Vegas-Henderson-Paradise, NV",Y,Y,Y
128922021,12892,2021,NV0030000,NV0030000,,N,N,,I,DOUGLAS,DOUGLAS CO SO MINDEN,Douglas,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,County,48650,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,98,4,102,8,11,19,2.2,2.5,2019-11-01,2020-12-01,2020-12-01,2021-02-01,2021-02-01,2021-02-01,N,DOUGLAS,Not Specified,Y,Y,Y
128942021,12894,2021,NV0040000,NV0040000,,N,N,,I,ELKO,ELKO CO SO ELKO,Elko,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,County,25428,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,48,1,49,17,13,30,2.6,3.1,2019-11-01,2020-07-01,2020-07-01,2020-09-01,2020-09-01,2020-09-01,N,ELKO,Not Specified,Y,Y,Y
128952021,12895,2021,NV0040100,NV0040100,,N,N,,I,ELKO,ELKO PD,Elko,,A,37,Nevada,NV,NV,8,Mountain,4,West,Region IV,City,20760,23383,NVUCR0001,Nevada Department of Public Safety General Services Division,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,37,0,37,2,7,9,1.9,2.2,2019-11-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,ELKO,Not Specified,Y,Y,Y
