yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
129462021,12946,2021,NY0015100,NY0015100,,N,N,,I,BETHLEHEM TOWN,BETHLEHEM TOWN PD DELMAR,Bethlehem Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,34928,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2019-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,ALBANY,"Albany-Schenectady-Troy, NY",Y,Y,Y
129482021,12948,2021,NY0015300,NY0015300,,N,N,,I,COLONIE TOWN,COLONIE TOWN PD LATHAM,Colonie Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,78364,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,103,22,125,8,16,24,1.4,1.9,2019-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALBANY,"Albany-Schenectady-Troy, NY",Y,Y,Y
129682021,12968,2021,NY0030000,NY0030000,,N,N,,I,BROOME,BROOME CO SHERIFF'S DEPARTMENT BINGHAMTON,Broome,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,County,92834,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,56,4,60,4,9,13,0.6,0.8,2019-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129692021,12969,2021,NY0030100,NY0030100,,N,N,,I,BINGHAMTON,BINGHAMTON CITY PD BINGHAMTON,Binghamton,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,43828,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,120,3,123,13,9,22,3.0,3.3,2019-01-01,2019-01-01,2019-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129702021,12970,2021,NY0030200,NY0030200,,N,N,,I,ENDICOTT VILLAGE,ENDICOTT VILLAGE PD ENDICOTT,Endicott Village,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,12335,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,0,25,4,2,6,2.4,2.5,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129712021,12971,2021,NY0030300,NY0030300,,N,N,,I,JOHNSON CITY VILLAGE,JOHNSON CITY VILLAGE PD JOHNSON CITY,Johnson City Village,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,13928,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,37,2,39,2,2,4,2.8,3.1,2019-01-01,2019-01-01,2019-01-01,2020-01-01,2020-01-01,2020-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129762021,12976,2021,NY0036400,NY0036400,,N,N,,I,VESTAL TOWN,VESTAL TOWN PD VESTAL,Vestal Town,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,28843,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,36,1,37,3,3,6,1.4,1.5,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,N,BROOME,"Binghamton, NY",Y,Y,Y
129782021,12978,2021,NY0040000,NY0040000,,N,N,,I,CATTARAUGUS,CATTARAUGUS CO SHERIFF'S DEPT LITTLE VALLEY,Cattaraugus,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,County,50385,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,45,6,51,7,20,27,1.0,1.5,2019-01-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,CATTARAUGUS,Not Specified,Y,Y,Y
129792021,12979,2021,NY0040100,NY0040100,,N,N,,I,OLEAN,OLEAN CITY PD OLEAN,Olean,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,13272,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,1,31,1,5,6,2.3,2.8,2019-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CATTARAUGUS,Not Specified,Y,Y,Y
129932021,12993,2021,NY0050100,NY0050100,,N,N,,I,AUBURN,AUBURN CITY PD AUBURN,Auburn,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,City,25746,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,55,3,58,10,3,13,2.5,2.8,2019-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,CAYUGA,Not Specified,Y,Y,Y
129992021,12999,2021,NY0060000,NY0060000,,N,N,,I,CHAUTAUQUA,CHAUTAUQUA CO SHERIFF'S DEPARTMENT MAYVILLE,Chautauqua,,A,38,New York,NY,NY,2,Middle Atlantic,1,Northeast,Region I,County,59943,23384,NYUCR0001,New York State Division of Criminal Justice Services Office of Justice Research and Performance,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,56,27,83,6,14,20,1.0,1.7,2019-01-01,2020-07-01,2020-07-01,2020-08-01,2020-08-01,2020-08-01,N,CHAUTAUQUA,Not Specified,Y,Y,Y
