yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
140592021,14059,2021,OH0010000,OH0010000,,N,N,,I,ADAMS,ADAMS,Adams,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,County,20879,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,1998-01-01,2001-12-01,2001-12-01,2016-01-01,2020-04-01,2020-04-01,N,ADAMS,Not Specified,Y,Y,Y
140612021,14061,2021,OH0010200,OH0010200,,N,N,,I,PEEBLES,PEEBLES,Peebles,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,1698,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1998-01-01,2006-01-01,2006-01-01,2016-06-01,2020-05-01,2020-05-01,N,ADAMS,Not Specified,Y,Y,Y
140622021,14062,2021,OH0010300,OH0010300,,N,N,,I,WEST UNION,WEST UNION,West Union,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,3137,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,1,1,1.0,1.3,1998-01-01,2004-06-01,2004-06-01,2016-01-01,2020-04-01,2020-04-01,N,ADAMS,Not Specified,Y,Y,Y
140632021,14063,2021,OH0010600,OH0010600,,N,N,,I,SEAMAN,SEAMAN,Seaman,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,882,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,2.3,2.3,1998-01-01,2004-01-01,2004-01-01,2016-01-01,2020-04-01,2020-04-01,N,ADAMS,Not Specified,Y,Y,Y
140642021,14064,2021,OH0010700,OH0010700,,N,N,,I,WINCHESTER,WINCHESTER,Winchester,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,998,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1998-01-01,2004-01-01,2004-01-01,2016-02-01,2020-04-01,2020-04-01,N,ADAMS,Not Specified,Y,Y,Y
140652021,14065,2021,OH0020000,OH0020000,,N,N,,I,ALLEN,ALLEN,Allen,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,County,23878,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,56,46,102,4,50,54,2.5,6.5,1998-01-01,2020-12-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Lima, OH",Y,Y,Y
140662021,14066,2021,OH0020100,OH0020100,,N,N,,I,BLUFFTON,BLUFFTON,Bluffton,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,4002,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,2,0,2,2.2,2.2,1998-01-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,"ALLEN, HANCOCK","Lima, OH",Y,Y,Y
140672021,14067,2021,OH0020200,OH0020200,,N,N,,I,DELPHOS,DELPHOS,Delphos,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,6873,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,1998-01-01,2020-11-01,2020-11-01,2021-01-01,2021-01-01,2021-01-01,N,"ALLEN, VAN WERT","Lima, OH",Y,Y,Y
140692021,14069,2021,OH0020400,OH0020400,,N,N,,I,LIMA,LIMA,Lima,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,36233,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,1998-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,ALLEN,"Lima, OH",Y,Y,Y
140702021,14070,2021,OH0020500,OH0020500,,N,N,,I,SPENCERVILLE,SPENCERVILLE,Spencerville,,A,39,Ohio,OH,OH,3,East North Central,2,Midwest,Region II,City,2134,23385,OHUCR0001,Ohio Department of Public Safety Office of Criminal Justice Services,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1998-01-01,2006-02-01,2006-02-01,2016-01-01,2020-04-01,2020-04-01,N,ALLEN,"Lima, OH",Y,Y,Y
