yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
149332021,14933,2021,OK0010000,OK0010000,,N,N,,I,ADAIR,ADAIR,Adair,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,County,15934,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,8,7,15,3,12,15,0.7,1.9,2008-01-01,2011-07-01,2011-07-01,,,,N,ADAIR,Not Specified,Y,Y,Y
149342021,14934,2021,OK0010100,OK0010100,,N,N,,I,STILWELL,STILWELL,Stilwell,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,4014,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,3,13,3,3,6,3.2,4.7,2008-01-01,2008-01-01,2008-01-01,,,,N,ADAIR,Not Specified,Y,Y,Y
149352021,14935,2021,OK0010200,OK0010200,,N,N,,I,WESTVILLE,WESTVILLE,Westville,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,1523,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,1,3,4,3.9,5.9,2008-01-01,2008-01-01,2008-01-01,,,,N,ADAIR,Not Specified,Y,Y,Y
149362021,14936,2021,OK0011000,OK0011000,,N,N,,I,WATTS,WATTS,Watts,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,305,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,1,1,6.6,9.8,2008-01-01,2016-02-01,2016-02-01,,,,N,ADAIR,Not Specified,Y,Y,Y
149372021,14937,2021,OK0020000,OK0020000,,N,N,,I,ALFALFA,ALFALFA,Alfalfa,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,County,4210,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,5,2,7,0,3,3,1.2,2.4,2008-01-01,2008-01-01,2008-01-01,,,,N,ALFALFA,Not Specified,Y,Y,Y
149382021,14938,2021,OK0020100,OK0020100,,N,N,,I,CHEROKEE,CHEROKEE,Cherokee,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,1492,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,2.0,2.0,2008-01-01,2008-01-01,2008-01-01,,,,N,ALFALFA,Not Specified,Y,Y,Y
149412021,14941,2021,OK0030000,OK0030000,,N,N,,I,ATOKA,ATOKA,Atoka,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,County,9778,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,4,13,0,9,9,0.9,2.2,2008-01-01,2008-01-01,2008-01-01,,,,N,ATOKA,Not Specified,Y,Y,Y
149422021,14942,2021,OK0030100,OK0030100,,N,N,,I,ATOKA,ATOKA,Atoka,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,3038,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,1,18,0,1,1,5.6,6.3,2008-01-01,2008-01-01,2008-01-01,,,,N,ATOKA,Not Specified,Y,Y,Y
149432021,14943,2021,OK0030200,OK0030200,,N,N,,I,CANEY,CANEY,Caney,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,202,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,1,1,14.9,19.8,2008-01-01,2008-01-01,2008-01-01,,,,N,ATOKA,Not Specified,Y,Y,Y
149442021,14944,2021,OK0030800,OK0030800,,N,N,,I,STRINGTOWN,STRINGTOWN,Stringtown,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,406,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,1,1,12.3,14.8,2008-01-01,2009-03-01,2009-03-01,,,,N,ATOKA,Not Specified,Y,Y,Y
149452021,14945,2021,OK0030900,OK0030900,,N,N,,I,TUSHKA,TUSHKA,Tushka,,A,40,Oklahoma,OK,OK,7,West South Central,3,South,Region III,City,395,23386,OKUCR0001,Oklahoma State Bureau of Investigation Uniform Crime Reporting Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,5.1,5.1,2008-01-01,2008-02-01,2008-02-01,,,,N,ATOKA,Not Specified,Y,Y,Y
