yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
153562021,15356,2021,OR0010000,OR0010000,,N,N,,I,BAKER,BAKER,Baker,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,County,6272,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,25,1,26,6,9,15,4.9,6.5,1993-03-01,2017-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,N,BAKER,Not Specified,Y,Y,Y
153572021,15357,2021,OR0010100,OR0010100,,N,N,,I,BAKER CITY,BAKER CITY,Baker City,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,9882,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,1,1,2,1.2,1.3,1993-03-01,2017-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,N,BAKER,Not Specified,Y,Y,Y
153582021,15358,2021,OR001070X,OR0010700,,N,N,,I,LIQUOR COMM: BAKER CNTY,LIQUOR COMM: BAKER CNTY,Liquor Commission:,Baker County,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,Other State Agency,0,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,0,0,0,0,0,0,0,0,1993-03-01,2014-01-01,2014-01-01,,,,N,BAKER,Not Specified,Y,Y,Y
153592021,15359,2021,OR001SP00,OR001SP00,,N,N,,I,SP: BAKER COUNTY,SP: BAKER COUNTY,State Police:,Baker County,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,State Police,0,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,13,0,13,0,1,1,0,0,1993-03-01,2014-02-01,2015-08-01,2017-08-01,2015-08-01,2015-08-01,N,BAKER,Not Specified,Y,Y,Y
153602021,15360,2021,OR0020000,OR0020000,,N,N,,I,BENTON,BENTON,Benton,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,County,20272,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,56,3,59,9,10,19,3.2,3.8,1993-03-01,2006-01-01,2009-07-01,2017-10-01,2014-02-01,2014-02-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153612021,15361,2021,OR0020100,OR0020100,,N,N,,I,CORVALLIS,CORVALLIS,Corvallis,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,59585,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,64,11,75,7,28,35,1.2,1.8,1993-03-01,2003-01-01,2009-01-01,2017-10-01,2014-02-01,2014-02-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153622021,15362,2021,OR0020200,OR0020200,,N,N,,I,PHILOMATH,PHILOMATH,Philomath,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,5742,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,0,1,1,1.6,1.7,1993-03-01,2017-01-01,2018-02-01,2018-02-01,2018-02-01,2018-02-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153642021,15364,2021,OR0020400,OR0020400,,N,N,,I,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Oregon State University,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,University or College,0,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,1993-03-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153652021,15365,2021,OR002050X,OR0020500,,N,N,,I,LIQUOR COMM: BENTON CNTY,LIQUOR COMM: BENTON CNTY,Liquor Commission:,Benton County,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,Other State Agency,0,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,2,0,2,1,0,1,0,0,1993-03-01,2014-01-01,2014-05-01,2018-03-01,2014-05-01,2014-05-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153672021,15367,2021,OR002SP00,OR002SP00,,N,N,,I,SP: BENTON COUNTY,SP: BENTON COUNTY,State Police:,Benton County,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,State Police,0,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,0,0,0,0,0,0,0,0,1993-03-01,2014-01-01,2015-08-01,2017-08-01,2015-08-01,2015-08-01,N,BENTON,"Corvallis, OR",Y,Y,Y
153682021,15368,2021,OR0030000,OR0030000,,N,N,,I,CLACKAMAS,CLACKAMAS,Clackamas,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,County,242708,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,174,128,302,21,102,123,0.8,1.8,1993-03-01,2016-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,N,CLACKAMAS,"Portland-Vancouver-Hillsboro, OR-WA",Y,Y,Y
153692021,15369,2021,OR0030100,OR0030100,,N,N,,I,CANBY,CANBY,Canby,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,18161,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,0,23,2,4,6,1.4,1.6,1993-03-01,2016-01-01,2017-02-01,2017-02-01,2017-02-01,2017-02-01,N,CLACKAMAS,"Portland-Vancouver-Hillsboro, OR-WA",Y,Y,Y
153712021,15371,2021,OR0030300,OR0030300,,N,N,,I,GLADSTONE,GLADSTONE,Gladstone,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,12506,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,15,1,16,0,2,2,1.2,1.4,1993-03-01,2015-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,N,CLACKAMAS,"Portland-Vancouver-Hillsboro, OR-WA",Y,Y,Y
153722021,15372,2021,OR0030400,OR0030400,,N,N,,I,LAKE OSWEGO,LAKE OSWEGO,Lake Oswego,,A,41,Oregon,OR,OR,9,Pacific,4,West,Region IV,City,40138,23387,ORUCR0001,Oregon State Police Oregon Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,39,9,48,6,21,27,1.1,1.9,1993-03-01,2015-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,N,"CLACKAMAS, MULTNOMAH, WASHINGTON","Portland-Vancouver-Hillsboro, OR-WA",Y,Y,Y
