yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
156612021,15661,2021,PA0011200,PA0011200,,N,N,,I,LIBERTY TOWNSHIP,LIBERTY TOWNSHIP POLICE DEPARTMENT FAIRFIELD,"Liberty Township, Adams County",,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,1270,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,0,0,0,1,0,1,0.8,0.8,2013-01-01,2020-05-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01,N,ADAMS,"Gettysburg, PA",Y,Y,Y
156622021,15662,2021,PA0011500,PA0011500,,N,N,,I,BIGLERVILLE,BIGLERVILLE PD,Biglerville,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,1215,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,0.8,0.8,2013-01-01,2013-05-01,2013-05-01,2021-03-01,2020-05-01,2020-05-01,N,ADAMS,"Gettysburg, PA",Y,Y,Y
156642021,15664,2021,PA0012100,PA0012100,,N,N,,I,BENDERSVILLE,BENDERSVILLE PD,Bendersville,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,647,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,2013-01-01,2014-02-01,2014-02-01,,,,N,ADAMS,"Gettysburg, PA",Y,Y,Y
156662021,15666,2021,PA0012300,PA0012300,,N,N,,I,CARROLL VALLEY,CARROLL VALLEY PD FAIRFIELD,Carroll Valley,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,3935,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,1,1,0.8,1.0,2013-01-01,2013-03-01,2013-03-01,2020-05-01,2020-05-01,2020-05-01,N,ADAMS,"Gettysburg, PA",Y,Y,Y
156732021,15673,2021,PA0020200,PA0020200,,N,N,,I,BELLEVUE,BELLEVUE BOROUGH POLICE DEPARTMENT PITTSBURGH,Bellevue,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,7944,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,0,1,1,1.6,1.8,2013-01-01,2021-01-01,2021-05-01,2021-08-01,2021-05-01,2021-05-01,N,ALLEGHENY,"Pittsburgh, PA",Y,Y,Y
157282021,15728,2021,PA0022200,PA0022200,,N,N,,I,ROSS TOWNSHIP,ROSS TOWNSHIP PD PITTSBURGH,Ross Township,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,30289,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,0,42,0,1,1,1.4,1.4,2013-01-01,2020-12-01,2020-12-01,2021-03-01,2021-03-01,2021-03-01,N,ALLEGHENY,"Pittsburgh, PA",Y,Y,Y
157342021,15734,2021,PA0022800,PA0022800,,N,N,,I,ALLEGHENY COUNTY POL DEP,ALLEGHENY COUNTY PD PITTSBURGH,Allegheny County Police Department,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,County,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,197,4,201,18,13,31,0,0,2013-01-01,2015-07-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ALLEGHENY,"Pittsburgh, PA",Y,Y,Y
157492021,15749,2021,PA0024200,PA0024200,,N,N,,I,SHALER TOWNSHIP,SHALER TWP PD GLENSHAW,Shaler Township,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,27412,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,25,0,25,1,0,1,0.9,0.9,2013-01-01,2020-12-01,2020-12-01,2021-03-01,2021-03-01,2021-03-01,N,ALLEGHENY,"Pittsburgh, PA",Y,Y,Y
158382021,15838,2021,PA0041100,PA0041100,,N,N,,I,ECONOMY,ECONOMY PD BADEN,Economy,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,9024,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,0,1,1,1.4,1.6,2013-01-01,2013-10-01,2013-10-01,2020-05-01,2020-05-01,2020-05-01,N,BEAVER,"Pittsburgh, PA",Y,Y,Y
158812021,15881,2021,PA0050400,PA0050400,,N,N,,I,SAXTON,SAXTON PD,Saxton,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,674,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,4.5,4.5,2013-01-01,2018-01-01,2018-01-01,2021-03-01,2021-03-01,2021-03-01,N,BEDFORD,Not Specified,Y,Y,Y
