yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
173812021,17381,2021,RI0010100,RI0010100,,N,N,,I,BARRINGTON,BARRINGTON PD,Barrington,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,16566,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,22,1,23,1,5,6,1.4,1.8,2002-05-01,2004-03-01,2004-03-01,2012-02-01,2021-07-01,2021-07-01,N,BRISTOL,"Providence-Warwick, RI-MA",Y,Y,Y
173822021,17382,2021,RI0010200,RI0010200,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,22550,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,2,37,3,6,9,1.7,2.0,2002-05-01,2004-03-01,2004-03-01,2012-02-01,2021-08-01,2021-08-01,N,BRISTOL,"Providence-Warwick, RI-MA",Y,Y,Y
173832021,17383,2021,RI0010300,RI0010300,,N,N,,I,WARREN,WARREN PD,Warren,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,10830,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,4,25,1,3,4,2.0,2.7,2002-05-01,2004-07-01,2004-07-01,2012-02-01,2021-08-01,2021-08-01,N,BRISTOL,"Providence-Warwick, RI-MA",Y,Y,Y
173852021,17385,2021,RI0020100,RI0020100,,N,N,,I,COVENTRY,COVENTRY PD,Coventry,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,36216,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,53,5,58,4,10,14,1.6,2.0,2002-05-01,2004-03-01,2004-03-01,2012-02-01,2021-07-01,2021-07-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173862021,17386,2021,RI0020200,RI0020200,,N,N,,I,EAST GREENWICH,EAST GREENWICH PD,East Greenwich,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,13617,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,2,32,1,5,6,2.3,2.8,2002-05-01,2005-01-01,2005-01-01,2012-02-01,2021-07-01,2021-07-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173872021,17387,2021,RI0020300,RI0020300,,N,N,,I,WARWICK,WARWICK PD,Warwick,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,83968,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,148,18,166,14,24,38,1.9,2.4,2002-05-01,2004-07-01,2004-07-01,2012-02-01,2021-08-01,2021-08-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173882021,17388,2021,RI0020400,RI0020400,,N,N,,I,WEST WARWICK,WEST WARWICK,West Warwick,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,29964,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,41,1,42,3,7,10,1.5,1.7,2002-05-01,2004-02-01,2004-02-01,2012-02-01,2021-08-01,2021-08-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173892021,17389,2021,RI0020500,RI0020500,,N,N,,I,WEST GREENWICH,WEST GREENWICH PD WEST GREENWICH,West Greenwich,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,6680,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,4,17,0,2,2,1.9,2.8,2002-05-01,2004-10-01,2004-10-01,2012-02-01,2021-07-01,2021-07-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173902021,17390,2021,RI0020600,RI0020600,,N,N,,I,T.F. GREEN AIRPORT,RHODE ISLAND STATE AIRPORT POLICE,T.F. Green Airport,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,Other State Agency,0,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,24,6,30,1,1,2,0,0,2002-05-01,2008-01-01,2008-01-01,2012-02-01,2021-07-01,2021-07-01,N,KENT,"Providence-Warwick, RI-MA",Y,Y,Y
173922021,17392,2021,RI0030100,RI0030100,,N,N,,I,JAMESTOWN,JAMESTOWN PD,Jamestown,,A,44,Rhode Island,RI,RI,1,New England,1,Northeast,Region I,City,5687,23389,RIUCR0001,Rhode Island State Police Uniform Crime Reporting Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,4,16,2,1,3,2.5,3.3,2002-05-01,2005-01-01,2005-01-01,2012-02-01,2021-08-01,2021-08-01,N,NEWPORT,"Providence-Warwick, RI-MA",Y,Y,Y
