yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
174422021,17442,2021,SC0010000,SC0010000,,N,N,,I,ABBEVILLE,ABBEVILLE CO SO ABBEVILLE,Abbeville,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,County,15345,23390,SCUCR0001,South Carolina Law Enforcement Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,33,1,34,2,3,5,2.3,2.5,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174432021,17443,2021,SC0010100,SC0010100,,N,N,,I,ABBEVILLE,ABBEVILLE PD,Abbeville,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,4932,23390,SCUCR0001,South Carolina Law Enforcement Division,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,0,17,2,1,3,3.9,4.1,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-04-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174442021,17444,2021,SC0010200,SC0010200,,N,N,,I,CALHOUN FALLS,CALHOUN FALLS PD,Calhoun Falls,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,1873,23390,SCUCR0001,South Carolina Law Enforcement Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,1,0,1,1.6,1.6,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-11-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174462021,17446,2021,SC0010400,SC0010400,,N,N,,I,DUE WEST,DUE WEST PD,Due West,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,1195,23390,SCUCR0001,South Carolina Law Enforcement Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,4.2,4.2,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174472021,17447,2021,SC0012600,SC0012600,,N,N,,I,STP: ABBEVILLE COUNTY,STATE TRANSPORT POLICE,State Transport Police:,Abbeville County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1990-01-01,2010-08-01,2010-08-01,2014-03-01,,2018-02-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174502021,17450,2021,SC001FC00,SC001FC00,,N,N,,I,FC: ABBEVILLE COUNTY,FC: ABBEVILLE COUNTY,Forestry Commission:,Abbeville County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1990-01-01,1997-01-01,1997-01-01,2011-05-01,,2017-02-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174512021,17451,2021,SC001NR00,SC001NR00,,N,N,,I,DNR: ABBEVILLE COUNTY,DNR: ABBEVILLE COUNTY,Department of Natural Resources:,Abbeville County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1990-01-01,1999-02-01,1999-02-01,,,,N,ABBEVILLE,Not Specified,Y,Y,Y
174522021,17452,2021,SC001SP00,SC001SP00,,N,N,,I,HP: ABBEVILLE COUNTY,HP: ABBEVILLE COUNTY,Highway Patrol:,Abbeville County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,State Police,0,23390,SCUCR0001,South Carolina Law Enforcement Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1990-01-01,1991-01-01,1991-01-01,2011-06-01,,2017-02-01,N,ABBEVILLE,Not Specified,Y,Y,Y
174532021,17453,2021,SC0020000,SC0020000,,N,N,,I,AIKEN,AIKEN CO SO AIKEN,Aiken,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,County,107222,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,110,54,164,17,54,71,1.2,2.2,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174542021,17454,2021,SC0020100,SC0020100,,N,N,,I,AIKEN,AIKEN PD,Aiken,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,31270,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,70,34,104,17,19,36,2.8,4.5,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174562021,17456,2021,SC0020300,SC0020300,,N,N,,I,NORTH AUGUSTA,NORTH AUGUSTA PD,North Augusta,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,24435,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,61,10,71,4,13,17,2.7,3.6,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,"AIKEN, EDGEFIELD","Augusta-Richmond County, GA-SC",Y,Y,Y
174572021,17457,2021,SC0020400,SC0020400,,N,N,,I,BURNETTOWN,BURNETTOWN PD,Burnettown,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,2784,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,1,0,1,0,0,0,0.4,0.4,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174582021,17458,2021,SC0020500,SC0020500,,N,N,,I,JACKSON,JACKSON PD,Jackson,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,1825,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,1,1,1.6,2.2,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174592021,17459,2021,SC0020600,SC0020600,,N,N,,I,NEW ELLENTON,NEW ELLENTON PD,New Ellenton,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,2201,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,1,2,1.8,2.3,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174602021,17460,2021,SC0020700,SC0020700,,N,N,,I,SALLEY,SALLEY PD,Salley,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,421,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1990-01-01,1992-11-01,1992-11-01,2011-05-01,,2017-04-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174612021,17461,2021,SC0020800,SC0020800,,N,N,,I,WAGENER,WAGENER PD,Wagener,,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,City,850,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,3.5,3.5,1990-01-01,1991-01-01,1991-01-01,2011-05-01,,2017-02-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174672021,17467,2021,SC0022600,SC0022600,,N,N,,I,STP: AIKEN COUNTY,STATE TRANSPORT POLICE,State Transport Police:,Aiken County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1990-01-01,2003-01-01,2003-01-01,2013-03-01,,2017-11-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174692021,17469,2021,SC002FC00,SC002FC00,,N,N,,I,FC: AIKEN COUNTY,FC: AIKEN COUNTY,Forestry Commission:,Aiken County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1990-01-01,2004-01-01,2004-01-01,2011-08-01,,2019-05-01,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
174702021,17470,2021,SC002NR00,SC002NR00,,N,N,,I,DNR: AIKEN COUNTY,DNR: AIKEN COUNTY,Department of Natural Resources:,Aiken County,A,45,South Carolina,SC,SC,5,South Atlantic,3,South,Region III,Other State Agency,0,23390,SCUCR0001,South Carolina Law Enforcement Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1990-01-01,1999-03-01,1999-03-01,,,,N,AIKEN,"Augusta-Richmond County, GA-SC",Y,Y,Y
