yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
179862021,17986,2021,SD0010000,SD0010000,,N,N,,I,AURORA,AURORA CO SO PLANKINTON,Aurora,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,2715,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,0,3,0,1,1,1.1,1.5,1991-01-01,1999-10-01,1999-10-01,2015-03-01,,2015-03-01,N,AURORA,Not Specified,Y,Y,Y
179882021,17988,2021,SD0020100,SD0020100,,N,N,,I,HURON,HURON PD,Huron,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,13504,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,22,2,24,3,8,11,1.9,2.6,1991-01-01,1999-05-01,1999-05-01,2015-03-01,2022-02-01,2015-03-01,N,BEADLE,Not Specified,Y,Y,Y
179892021,17989,2021,SD0030000,SD0030000,,N,N,,I,BENNETT,BENNETT CO SO MARTIN,Bennett,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,2315,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,1,4,0,2,2,1.3,2.6,1991-01-01,2003-01-01,2003-01-01,2015-03-01,2022-03-01,2015-03-01,N,BENNETT,Not Specified,Y,Y,Y
179902021,17990,2021,SD0030100,SD0030100,,N,N,,I,MARTIN,MARTIN CITY PD MARTIN,Martin,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,1057,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,2.8,2.8,1991-01-01,2003-11-01,2003-11-01,2015-04-01,2022-03-01,2015-04-01,N,BENNETT,Not Specified,Y,Y,Y
179912021,17991,2021,SD0040000,SD0040000,,N,N,,I,BON HOMME,BON HOMME CO SO TYNDALL,Bon Homme,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,2494,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,2,5,0,3,3,1.2,3.2,1991-01-01,1999-01-01,1999-01-01,2015-04-01,2022-01-01,2015-03-01,N,BON HOMME,Not Specified,Y,Y,Y
179942021,17994,2021,SD0040300,SD0040300,,N,N,,I,TYNDALL,TYNDALL PD,Tyndall,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,1010,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,2.0,2.0,1991-01-01,2003-01-01,2003-01-01,2022-01-01,2022-01-01,2022-01-01,N,BON HOMME,Not Specified,Y,Y,Y
179962021,17996,2021,SD0050000,SD0050000,,N,N,,I,BROOKINGS,BROOKINGS CO SO BROOKINGS,Brookings,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,10665,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,16,5,21,0,5,5,1.5,2.4,1991-01-01,1999-05-01,1999-05-01,2015-04-01,2022-03-01,2015-03-01,N,BROOKINGS,Not Specified,Y,Y,Y
179972021,17997,2021,SD0050100,SD0050100,,N,N,,I,BROOKINGS,BROOKINGS PD,Brookings,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,25088,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,35,3,38,1,10,11,1.4,2.0,1991-01-01,1999-06-01,1999-06-01,2015-03-01,2022-03-01,2015-03-01,N,BROOKINGS,Not Specified,Y,Y,Y
179992021,17999,2021,SD005UN00,SD005UN00,,N,N,,I,SOUTH DAKOTA STATE UNIV,SOUTH DAKOTA STATE UNIV,South Dakota State University,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,University or College,0,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,14,2,16,0,3,3,0,0,1991-01-01,2001-01-01,2001-01-01,2015-03-01,2022-01-01,2015-03-01,N,BROOKINGS,Not Specified,Y,Y,Y
180002021,18000,2021,SD0060000,SD0060000,,N,N,,I,BROWN,BROWN CO SO ABERDEEN,Brown,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,8841,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,15,1,16,1,4,5,1.8,2.4,1991-01-01,1998-08-01,1998-08-01,2015-03-01,2022-01-01,2015-03-01,N,BROWN,Not Specified,Y,Y,Y
180012021,18001,2021,SD0060100,SD0060100,,N,N,,I,ABERDEEN,ABERDEEN PD,Aberdeen,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,28385,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,44,4,48,6,5,11,1.8,2.1,1991-01-01,2002-08-01,2002-08-01,2015-03-01,2022-01-01,2015-03-01,N,BROWN,Not Specified,Y,Y,Y
180022021,18002,2021,SD0060200,SD0060200,,N,N,,I,GROTON,GROTON PD,Groton,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,1477,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.7,2.7,1991-01-01,2000-01-01,2000-01-01,2019-08-01,,2019-08-01,N,BROWN,Not Specified,Y,Y,Y
180032021,18003,2021,SD0070000,SD0070000,,N,N,,I,BRULE,BRULE CO SO CHAMBERLAIN,Brule,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,2211,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,4,8,0,2,2,1.8,4.5,1991-01-01,2004-01-01,2004-01-01,2018-02-01,2022-01-01,2018-02-01,N,BRULE,Not Specified,Y,Y,Y
180042021,18004,2021,SD0070100,SD0070100,,N,N,,I,CHAMBERLAIN,CHAMBERLAIN PD,Chamberlain,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,2344,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,0,0,0,3.0,3.0,1991-01-01,2004-05-01,2004-05-01,2015-04-01,2022-02-01,2015-04-01,N,BRULE,Not Specified,Y,Y,Y
180072021,18007,2021,SD0080100,SD0080100,,Y,N,,I,CROW CREEK TRIBAL,CROW CREEK TRIBAL PD FORT THOMPSON,Crow Creek Tribal,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,Tribal,0,32797,SD0080100,Crow Creek Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,1,2,3,0,0,2021-01-01,2021-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
180082021,18008,2021,SD0090000,SD0090000,,N,N,,I,BUTTE,BUTTE CO SO BELLE FOURCHE,Butte,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,4756,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,1,7,0,9,9,1.3,3.4,1991-01-01,1999-03-01,1999-03-01,2015-05-01,2022-02-01,2015-05-01,N,BUTTE,Not Specified,Y,Y,Y
180092021,18009,2021,SD0090100,SD0090100,,N,N,,I,BELLE FOURCHE,BELLE FOURCHE PD,Belle Fourche,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,5755,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,1,12,0,1,1,1.9,2.3,1991-01-01,1999-12-01,1999-12-01,2015-03-01,2022-01-01,2015-03-01,N,BUTTE,Not Specified,Y,Y,Y
