yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
181702021,18170,2021,TN0010000,TN0010000,,N,N,,I,ANDERSON,ANDERSON CO SO CLINTON,Anderson,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,35921,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,63,55,118,5,37,42,1.9,4.5,1996-07-01,1997-05-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181712021,18171,2021,TN0010100,TN0010100,,N,N,,I,CLINTON,CLINTON PD,Clinton,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,10157,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,28,4,32,4,4,8,3.2,3.9,1996-07-01,1997-11-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181722021,18172,2021,TN0010200,TN0010200,,N,N,,I,ROCKY TOP,LAKE CITY PD,Rocky Top,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1776,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,1,7,0,0,0,3.4,3.9,1996-07-01,1997-10-01,2004-07-01,2013-01-01,2015-06-01,2013-04-01,N,"ANDERSON, CAMPBELL","Knoxville, TN",Y,Y,Y
181732021,18173,2021,TN0010300,TN0010300,,N,N,,I,OAK RIDGE,OAK RIDGE PD,Oak Ridge,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,29343,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,55,3,58,8,16,24,2.1,2.8,1996-07-01,1997-08-01,2004-06-01,2013-01-01,2016-03-01,2016-03-01,N,"ANDERSON, ROANE","Knoxville, TN",Y,Y,Y
181742021,18174,2021,TN0010400,TN0010400,,N,N,,I,NORRIS,NORRIS PD,Norris,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1614,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,0,0,3.7,3.7,1996-07-01,1999-04-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181752021,18175,2021,TN0010500,TN0010500,,N,N,,I,SPR: NORRIS DAM,ST PARK RNGRS NORRIS DAM STATE PARK LAKE CITY,State Park Rangers:,Norris Dam,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other State Agency,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,1,1,2,0,0,1996-07-01,2001-01-02,2006-08-02,2013-02-02,2015-09-02,2013-04-02,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181762021,18176,2021,TN0010600,TN0010600,,N,N,,I,7TH JUD DIST CRIME T F,SEVENTH JUDICIAL DISTRICT DRUG TASK FORCE,7th Judicial District Crime Task Force,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,0,0,0,0,0,1996-07-01,2013-01-01,2013-04-01,2013-04-01,2015-06-01,2013-04-01,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181772021,18177,2021,TN0010800,TN0010800,,N,N,,I,SPR: CUMBERLAND TRAIL,PARK RANGERS CUMBERLAND TRAIL STATE PARK,State Park Rangers:,Cumberland Trail,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other State Agency,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,1,0,1,0,0,1996-07-01,2004-01-02,2004-06-02,2013-01-02,2015-06-02,2013-06-02,N,ANDERSON,"Knoxville, TN",Y,Y,Y
181782021,18178,2021,TN0020000,TN0020000,,N,N,,I,BEDFORD,BEDFORD CO SO SHELBYVILLE,Bedford,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,27678,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,44,30,74,6,24,30,1.8,3.8,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BEDFORD,Not Specified,Y,Y,Y
181792021,18179,2021,TN0020100,TN0020100,,N,N,,I,SHELBYVILLE,SHELBYVILLE PD,Shelbyville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,22534,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,39,2,41,5,14,19,2.0,2.7,1996-07-01,1999-02-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BEDFORD,Not Specified,Y,Y,Y
181822021,18182,2021,TN0030000,TN0030000,,N,N,,I,BENTON,BENTON CO SO CAMDEN,Benton,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,12024,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,17,16,33,0,20,20,1.4,4.4,1996-07-01,1999-03-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BENTON,Not Specified,Y,Y,Y
181832021,18183,2021,TN0030100,TN0030100,,N,N,,I,CAMDEN,CAMDEN PD,Camden,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,3624,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,2,14,2,3,5,3.9,5.2,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BENTON,Not Specified,Y,Y,Y
181842021,18184,2021,TN0030200,TN0030200,,N,N,,I,BIG SANDY,BIG SANDY PD,Big Sandy,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,515,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.9,1.9,1996-07-01,2000-09-01,2004-07-01,2013-01-01,2015-06-01,2013-05-01,N,BENTON,Not Specified,Y,Y,Y
181852021,18185,2021,TN0030300,TN0030300,,N,N,,I,SPR: NATHAN BEDFORD FORR,PARK RANGERS NATHAN BEDFORD FORREST,State Park Rangers:,Nathan Bedford Forrest,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other State Agency,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,0,0,1996-07-01,2001-07-03,2009-04-03,2013-06-03,2015-07-03,2013-06-03,N,BENTON,Not Specified,Y,Y,Y
181862021,18186,2021,TN0040000,TN0040000,,N,N,,I,BLEDSOE,BLEDSOE CO SO PIKEVILLE,Bledsoe,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,13750,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,11,18,29,2,6,8,0.9,2.7,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLEDSOE,Not Specified,Y,Y,Y
181872021,18187,2021,TN0040100,TN0040100,,N,N,,I,PIKEVILLE,PIKEVILLE PD,Pikeville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1799,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.2,2.2,1996-07-01,2000-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,BLEDSOE,Not Specified,Y,Y,Y
