yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
187532021,18753,2021,TX0010100,TX0010100,,N,N,,I,PALESTINE,PALESTINE POLICE DEPT,Palestine,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,17736,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,31,7,38,2,10,12,1.9,2.8,1997-01-01,2017-02-01,2017-02-01,2017-12-01,2017-12-01,2017-12-01,N,ANDERSON,Not Specified,Y,Y,Y
187542021,18754,2021,TX0010300,TX0010300,,N,N,,I,FRANKSTON,FRANKSTON PD,Frankston,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,1150,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,1,0,1,6.1,6.1,1997-01-01,2016-10-01,2016-10-01,2016-10-01,2016-10-01,2016-10-01,N,"ANDERSON, HENDERSON",Not Specified,Y,Y,Y
187572021,18757,2021,TX0020100,TX0020100,,N,N,,I,ANDREWS,ANDREWS PD,Andrews,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,14699,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,17,2,19,2,3,5,1.3,1.6,1997-01-01,2019-05-01,2019-05-01,2019-07-01,2019-07-01,2019-07-01,N,ANDREWS,Not Specified,Y,Y,Y
187582021,18758,2021,TX0030000,TX0030000,,N,N,,I,ANGELINA,ANGELINA CO SO LUFKIN,Angelina,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,County,37756,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,31,32,63,7,28,35,1.0,2.6,1997-01-01,2021-11-01,2022-01-01,2022-01-01,2022-01-01,,N,ANGELINA,Not Specified,Y,Y,Y
187592021,18759,2021,TX0030100,TX0030100,,N,N,,I,DIBOLL,DIBOLL POLICE DEPT,Diboll,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,5096,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,0,5,5,2.2,3.1,1997-01-01,2019-03-01,2019-03-01,2019-05-01,2019-05-01,2019-05-01,N,ANGELINA,Not Specified,Y,Y,Y
187602021,18760,2021,TX0030200,TX0030200,,N,N,,I,HUNTINGTON,HUNTINGTON PD,Huntington,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,2076,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,2.4,2.4,1997-01-01,2018-10-01,2018-10-01,2019-02-01,2019-02-01,2019-02-01,N,ANGELINA,Not Specified,Y,Y,Y
187612021,18761,2021,TX0030400,TX0030400,,N,N,,I,LUFKIN,LUFKIN PD,Lufkin,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,34934,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,68,2,70,1,15,16,2.0,2.5,1997-01-01,2019-09-01,2019-09-01,2019-10-01,2019-10-01,2020-06-01,N,ANGELINA,Not Specified,Y,Y,Y
187622021,18762,2021,TX0031100,TX0031100,,N,N,,I,ZAVALLA,ZAVALLA POLICE DEPT,Zavalla,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,712,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,4.2,4.2,1997-01-01,2021-01-01,2021-01-01,2021-01-01,2021-09-01,2022-03-01,N,ANGELINA,Not Specified,Y,Y,Y
187652021,18765,2021,TX0040100,TX0040100,,N,N,,I,ARANSAS PASS,ARANSAS PASS PD,Aransas Pass,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,8531,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,26,2,28,3,12,15,3.4,5.0,1997-01-01,2019-05-01,2019-05-01,2019-09-01,2019-09-01,2020-08-01,N,"ARANSAS, NUECES, SAN PATRICIO",Not Specified,Y,Y,Y
187662021,18766,2021,TX0040200,TX0040200,,N,N,,I,ROCKPORT,ROCKPORT PD,Rockport,,A,48,Texas,TX,TX,7,West South Central,3,South,Region III,City,10934,23393,TXUCR0001,Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,1,24,4,6,10,2.5,3.1,1997-01-01,2019-12-01,2019-12-01,,2020-01-01,,N,ARANSAS,Not Specified,Y,Y,Y
