yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
198722021,19872,2021,UT0010000,UT0010000,,N,N,,I,BEAVER,BEAVER CO SO BEAVER,Beaver,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,County,6845,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,19,39,58,3,15,18,3.2,11.1,1991-03-01,2020-07-01,2020-10-01,2020-10-01,2020-10-01,2020-10-01,N,BEAVER,Not Specified,Y,Y,Y
198762021,19876,2021,UT0020000,UT0020000,,N,N,,I,BOX ELDER,BOX ELDER CO SO BRIGHAM CITY,Box Elder,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,County,17629,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,26,38,64,1,14,15,1.5,4.5,1991-03-01,2019-06-01,2019-07-01,2019-07-01,2019-07-01,2019-07-01,N,BOX ELDER,"Ogden-Clearfield, UT",Y,Y,Y
198772021,19877,2021,UT0020100,UT0020100,,N,N,,I,BRIGHAM CITY,BRIGHAM CITY PD,Brigham City,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,City,19901,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,1,24,1,4,5,1.2,1.5,1991-03-01,2019-05-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,N,BOX ELDER,"Ogden-Clearfield, UT",Y,Y,Y
198812021,19881,2021,UT0020800,UT0020800,,N,N,,I,WILLARD,WILLARD PD,Willard,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,City,2022,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,2,1,3,2.0,2.5,1991-03-01,2019-06-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,N,BOX ELDER,"Ogden-Clearfield, UT",Y,Y,Y
198822021,19882,2021,UT0021200,UT0021200,,N,N,,I,PERRY,PERRY PD,Perry,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,City,5471,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,0,1,1,1.3,1.5,1991-03-01,2019-07-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,BOX ELDER,"Ogden-Clearfield, UT",Y,Y,Y
198832021,19883,2021,UT0030000,UT0030000,,N,N,,I,CACHE,CACHE CO SO LOGAN,Cache,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,County,52066,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,108,4,112,25,14,39,2.6,2.9,1991-03-01,2020-10-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,N,CACHE,"Logan, UT-ID",Y,Y,Y
198842021,19884,2021,UT0030100,UT0030100,,N,N,,I,LOGAN,LOGAN PD,Logan,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,City,52015,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,50,5,55,4,24,28,1.0,1.6,1991-03-01,1993-01-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,CACHE,"Logan, UT-ID",Y,Y,Y
198882021,19888,2021,UT0031400,UT0031400,,N,N,,I,SMITHFIELD,SMITHFIELD PD,Smithfield,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,City,12391,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,11,0,11,0,0,0,0.9,0.9,1991-03-01,2021-02-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,N,CACHE,"Logan, UT-ID",Y,Y,Y
198902021,19890,2021,UT0031600,UT0031600,,N,N,,I,UTAH STATE UNIV: LOGAN,UTAH STATE UNIVERSITY PD LOGAN,Utah State University:,Logan,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,University or College,0,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,16,6,22,2,4,6,0,0,1991-03-01,2005-02-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,CACHE,"Logan, UT-ID",Y,Y,Y
198912021,19891,2021,UT0032000,UT0032000,,N,N,,I,CACHE-RICH DRUG TASK FOR,TRI COUNTY NARCOTICS STRIKE FORCE,Cache-Rich Drug Task Force,,A,49,Utah,UT,UT,8,Mountain,4,West,Region IV,Other,0,23394,UTUCR0001,Utah Department of Public Safety Bureau of Criminal Identification Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,1,1,0,0,1991-03-01,2000-02-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
