yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
200422021,20042,2021,VA0010000,VA0010000,,N,N,,I,ACCOMACK,ACCOMACK CO SO ACCOMAC,Accomack,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,26055,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,43,3,46,9,6,15,2.0,2.3,1994-01-01,1997-06-01,1997-06-01,2012-08-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200432021,20043,2021,VA0010100,VA0010100,,N,N,,I,CHINCOTEAGUE,CHINCOTEAGUE PD,Chincoteague,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,2859,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,1,11,0,3,3,3.5,4.9,1994-01-01,1996-10-01,1996-10-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200442021,20044,2021,VA0010200,VA0010200,,N,N,,I,ONANCOCK,ONANCOCK PD,Onancock,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,1200,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,3.3,3.3,1994-01-01,1999-01-01,1999-01-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200452021,20045,2021,VA0010300,VA0010300,,N,N,,I,PARKSLEY,PARKSLEY PD,Parksley,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,801,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.2,1.2,1994-01-01,2007-08-01,2007-08-01,2012-09-01,,2019-06-01,N,ACCOMACK,Not Specified,Y,Y,Y
200462021,20046,2021,VA0010500,VA0010500,,N,N,,I,ONLEY,ONLEY PD,Onley,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,497,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,8.0,8.0,1994-01-01,1998-08-01,1998-08-01,2012-06-01,,2019-06-01,N,ACCOMACK,Not Specified,Y,Y,Y
200482021,20048,2021,VA001SP00,VA001SP00,,N,N,,I,SP: ACCOMACK COUNTY,SP: ACCOMACK COUNTY,State Police:,Accomack County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ACCOMACK,Not Specified,Y,Y,Y
200502021,20050,2021,VA0020100,VA0020100,,N,N,,I,UNIVERSITY OF VIRGINIA,UNIV VA PD CHARLOTTESVILLE,University of Virginia,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,University or College,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,43,47,90,10,28,38,0,0,1994-01-01,1997-05-01,1997-05-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200512021,20051,2021,VA0020300,VA0020300,,N,N,,I,ALBEMARLE COUNTY POL DEP,ALBEMARLE PD,Albemarle County Police Department,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,111732,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,122,12,134,17,21,38,1.2,1.5,1994-01-01,1997-05-01,1997-05-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200522021,20052,2021,VA002SP00,VA002SP00,,N,N,,I,SP: ALBEMARLE COUNTY,SP: ALBEMARLE COUNTY,State Police:,Albemarle County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ALBEMARLE,"Charlottesville, VA",Y,Y,Y
200532021,20053,2021,VA0030000,VA0030000,,N,N,,I,ALLEGHANY,ALLEGHANY CO SO COVINGTON,Alleghany,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,11137,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,43,2,45,11,18,29,4.8,6.6,1994-01-01,1997-01-01,1997-01-01,2012-06-01,,2021-07-01,N,ALLEGHANY,Not Specified,Y,Y,Y
200552021,20055,2021,VA003SP00,VA003SP00,,N,N,,I,SP: ALLEGHANY COUNTY,SP: ALLEGHANY COUNTY,State Police:,Alleghany County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ALLEGHANY,Not Specified,Y,Y,Y
200562021,20056,2021,VA0040000,VA0040000,,N,N,,I,AMELIA,AMELIA CO SO AMELIA,Amelia,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,13026,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,18,0,18,1,10,11,1.5,2.2,1994-01-01,1996-07-01,1996-07-01,2012-06-01,,2019-04-01,N,AMELIA,"Richmond, VA",Y,Y,Y
200572021,20057,2021,VA004SP00,VA004SP00,,N,N,,I,SP: AMELIA COUNTY,SP: AMELIA COUNTY,State Police:,Amelia County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,AMELIA,"Richmond, VA",Y,Y,Y
200582021,20058,2021,VA0050000,VA0050000,,N,N,,I,AMHERST,AMHERST CO SO AMHERST,Amherst,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,29380,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,36,1,37,7,7,14,1.5,1.7,1994-01-01,1996-12-01,1996-12-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200592021,20059,2021,VA0050100,VA0050100,,N,N,,I,AMHERST,AMHERST PD,Amherst,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,2177,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,1994-01-01,1996-08-01,1996-08-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200612021,20061,2021,VA005SP00,VA005SP00,,N,N,,I,SP: AMHERST COUNTY,SP: AMHERST COUNTY,State Police:,Amherst County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200622021,20062,2021,VA0060000,VA0060000,,N,N,,I,APPOMATTOX,APPOMATTOX CO SO APPOMATTOX,Appomattox,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,16122,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,20,0,20,1,2,3,1.3,1.4,1994-01-01,1998-03-01,1998-03-01,2012-06-01,,2019-09-01,N,APPOMATTOX,"Lynchburg, VA",Y,Y,Y
