yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
204982021,20498,2021,VT0010000,VT0010000,,N,N,,I,ADDISON,ADDISON CO SO MIDDLEBURY,Addison,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,7,0,7,0,1,1,0,0,1993-01-01,2004-01-01,2006-10-01,2013-03-01,2017-02-01,2017-02-01,N,ADDISON,Not Specified,Y,Y,Y
204992021,20499,2021,VT0010100,VT0010100,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,3831,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,0,0,0.8,0.8,1993-01-01,2005-11-01,2010-08-01,2012-11-01,2017-03-01,2017-03-01,N,ADDISON,Not Specified,Y,Y,Y
205002021,20500,2021,VT0010200,VT0010200,,N,N,,I,MIDDLEBURY,MIDDLEBURY PD,Middlebury,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,8807,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,0,2,2,1.5,1.7,1993-01-01,2006-01-01,2006-01-01,2012-11-01,,,N,ADDISON,Not Specified,Y,Y,Y
205012021,20501,2021,VT0010300,VT0010300,,N,N,,I,VERGENNES,VERGENNES PD,Vergennes,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,2594,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,2.7,2.7,1993-01-01,2004-01-01,2005-09-01,2012-10-01,2017-02-01,2017-02-01,N,ADDISON,Not Specified,Y,Y,Y
205022021,20502,2021,VT0020000,VT0020000,,N,N,,I,BENNINGTON,BENNINGTON CO SO BENNINGTON,Bennington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,12,0,12,0,3,3,0,0,1993-01-01,2001-01-01,2001-01-01,2012-11-01,,,N,BENNINGTON,Not Specified,Y,Y,Y
205032021,20503,2021,VT0020100,VT0020100,,N,N,,I,BENNINGTON,BENNINGTON PD,Bennington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,14814,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,22,1,23,2,6,8,1.6,2.1,1993-01-01,1998-01-01,2005-09-01,2012-10-01,2017-02-01,2017-02-01,N,BENNINGTON,Not Specified,Y,Y,Y
205052021,20505,2021,VT0020400,VT0020400,,N,N,,I,MANCHESTER,MANCHESTER PD MANCHESTER CENTER,Manchester,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,4197,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,2,7,1,2,3,1.4,2.4,1993-01-01,1998-01-01,1998-01-01,2012-11-01,,,N,BENNINGTON,Not Specified,Y,Y,Y
205072021,20507,2021,VT0020800,VT0020800,,N,N,,I,WINHALL,WINHALL PD BONDVILLE,Winhall,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,722,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,0,1,1,9.7,11.1,1993-01-01,2001-01-01,2001-01-01,2012-10-01,2019-05-01,2019-05-01,N,BENNINGTON,Not Specified,Y,Y,Y
205082021,20508,2021,VT0030000,VT0030000,,N,N,,I,CALEDONIA,CALEDONIA CO SO ST JOHNSBURY,Caledonia,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,0,3,0,1,1,0,0,1993-01-01,2004-01-01,2004-01-01,2013-02-01,,,N,CALEDONIA,Not Specified,Y,Y,Y
205092021,20509,2021,VT0030100,VT0030100,,N,N,,I,HARDWICK,HARDWICK PD,Hardwick,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,2824,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,2.5,2.5,1993-01-01,2001-01-01,2001-01-01,2012-10-01,,,N,CALEDONIA,Not Specified,Y,Y,Y
