yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
205932021,20593,2021,WA0010000,WA0010000,,N,N,,I,ADAMS,ADAMS CO SO RITZVILLE,Adams,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,County,9797,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,16,10,26,0,10,10,1.6,3.7,2004-08-01,2010-10-01,2010-10-01,2018-08-01,2013-01-01,2013-01-01,N,ADAMS,Not Specified,Y,Y,Y
205942021,20594,2021,WA0010100,WA0010100,,N,N,,I,OTHELLO,OTHELLO PD,Othello,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,8572,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,2,19,0,5,5,2.0,2.8,2004-08-01,2010-08-01,2010-08-01,2019-02-01,2013-01-01,2013-01-01,N,ADAMS,Not Specified,Y,Y,Y
205952021,20595,2021,WA0010200,WA0010200,,N,N,,I,RITZVILLE,RITZVILLE PD,Ritzville,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,1637,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,1.8,1.8,2004-08-01,2011-06-01,2011-06-01,2018-08-01,2013-01-01,2013-01-01,N,ADAMS,Not Specified,Y,Y,Y
205962021,20596,2021,WA0020000,WA0020000,,N,N,,I,ASOTIN,ASOTIN CO SO ASOTIN,Asotin,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,County,13943,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,12,13,25,1,3,4,0.9,2.1,2004-08-01,2008-05-01,2008-05-01,2018-08-01,2013-01-01,2013-01-01,N,ASOTIN,"Lewiston, ID-WA",Y,Y,Y
205972021,20597,2021,WA0020100,WA0020100,,N,N,,I,CLARKSTON,CLARKSTON PD,Clarkston,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,7524,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,0,1,1,1.9,2.1,2004-08-01,2008-04-01,2008-04-01,2018-08-01,2013-01-01,2013-01-01,N,ASOTIN,"Lewiston, ID-WA",Y,Y,Y
205982021,20598,2021,WA0020200,WA0020200,,N,N,,I,ASOTIN,ASOTIN PD,Asotin,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,1296,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,0.8,0.8,2004-08-01,2012-01-01,2012-01-01,2019-02-01,2013-01-01,2013-01-01,N,ASOTIN,"Lewiston, ID-WA",Y,Y,Y
205992021,20599,2021,WA0030000,WA0030000,,N,N,,I,BENTON,BENTON CO SO PROSSER,Benton,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,County,39648,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,56,0,56,4,12,16,1.5,1.8,2004-08-01,2011-01-01,2011-04-01,2018-08-01,2013-01-01,2013-01-01,N,BENTON,"Kennewick-Richland, WA",Y,Y,Y
206002021,20600,2021,WA0030100,WA0030100,,N,N,,I,KENNEWICK,KENNEWICK PD,Kennewick,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,85595,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,94,2,96,6,13,19,1.2,1.3,2004-08-01,2011-01-01,2011-04-01,2018-08-01,2013-01-01,2013-01-01,N,BENTON,"Kennewick-Richland, WA",Y,Y,Y
206012021,20601,2021,WA0030200,WA0030200,,N,N,,I,RICHLAND,LE,Richland,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,60615,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,55,1,56,2,15,17,0.9,1.2,2004-08-01,2011-01-01,2011-01-01,2018-08-01,2013-01-01,2013-01-01,N,BENTON,"Kennewick-Richland, WA",Y,Y,Y
206022021,20602,2021,WA0030300,WA0030300,,N,N,,I,PROSSER,PROSSER PD,Prosser,,A,53,Washington,WA,WA,9,Pacific,4,West,Region IV,City,6463,23398,WAUCR0001,Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,1,11,1,1,2,1.7,2.0,2004-08-01,2012-06-01,2012-06-01,2018-08-01,2013-01-01,2013-01-01,N,BENTON,"Kennewick-Richland, WA",Y,Y,Y
