yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
209022021,20902,2021,WI0010000,WI0010000,,N,N,,I,ADAMS,ADAMS CO SO FRIENDSHIP,Adams,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,County,15890,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,28,9,37,2,17,19,1.9,3.5,2002-06-01,2020-09-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ADAMS,Not Specified,Y,Y,Y
209032021,20903,2021,WI0010100,WI0010100,,N,N,,I,ADAMS,ADAMS PD,Adams,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,1898,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,0,0,2.1,2.1,2002-06-01,2013-12-01,2013-12-01,2021-03-01,2016-03-01,2016-03-01,N,ADAMS,Not Specified,Y,Y,Y
209042021,20904,2021,WI0010200,WI0010200,,N,N,,I,ROME TOWN,ROME TOWNSHIP PD NEKOOSA,Rome Town,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,2790,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,0,4,2,0,2,2.2,2.2,2002-06-01,2013-01-01,2013-01-01,2020-10-01,2015-10-01,2015-10-01,N,ADAMS,Not Specified,Y,Y,Y
209052021,20905,2021,WI0020000,WI0020000,,N,N,,I,ASHLAND,ASHLAND CO SO ASHLAND,Ashland,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,County,7748,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,20,9,29,3,13,16,3.0,5.8,2002-06-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ASHLAND,Not Specified,Y,Y,Y
209062021,20906,2021,WI0020100,WI0020100,,N,N,,I,ASHLAND,ASHLAND PD,Ashland,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,7723,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,0,18,1,2,3,2.5,2.7,2002-06-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ASHLAND,Not Specified,Y,Y,Y
209072021,20907,2021,WI0030000,WI0030000,,N,N,,I,BARRON,BARRON CO SO BARRON,Barron,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,County,29491,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,30,18,48,5,22,27,1.2,2.5,2002-06-01,2006-09-01,2006-09-01,2020-02-01,2015-10-01,2015-10-01,N,BARRON,Not Specified,Y,Y,Y
209082021,20908,2021,WI0030100,WI0030100,,N,N,,I,RICE LAKE,RICE LAKE PD,Rice Lake,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,8511,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,2,1,3,2.1,2.2,2002-06-01,2006-05-01,2006-05-01,2020-02-01,2017-04-01,2017-04-01,N,BARRON,Not Specified,Y,Y,Y
209092021,20909,2021,WI0030200,WI0030200,,N,N,,I,BARRON,BARRON PD,Barron,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,3215,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,0,0,1.9,1.9,2002-06-01,2019-01-01,2019-01-01,2020-03-01,2020-03-01,2020-03-01,N,BARRON,Not Specified,Y,Y,Y
209102021,20910,2021,WI0030300,WI0030300,,N,N,,I,CHETEK,CHETEK PD,Chetek,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,City,2083,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,2,1,3,1.9,2.4,2002-06-01,2019-01-01,2019-01-01,2020-03-01,2020-03-01,2020-03-01,N,BARRON,Not Specified,Y,Y,Y
209162021,20916,2021,WI0050000,WI0050000,,N,N,,I,BROWN,BROWN CO SO GREEN BAY,Brown,,A,54,Wisconsin,WI,WI,3,East North Central,2,Midwest,Region II,County,102245,23399,WIUCR0001,Wisconsin Department of Justice Bureau of Justice Information and Analysis,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,N,,,,,,,,,2002-06-01,2016-01-01,2016-01-01,2021-03-01,2017-04-01,2017-04-01,N,BROWN,"Green Bay, WI",Y,Y,Y
