yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
213332021,21333,2021,WV0010000,WV0010000,,N,N,,I,BARBOUR,BARBOUR CO SO PHILIPPI,Barbour,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,County,11301,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,11,4,15,0,4,4,1.0,1.7,1998-01-01,1999-01-01,1999-01-01,2016-05-01,,,N,BARBOUR,Not Specified,Y,Y,Y
213352021,21335,2021,WV0010200,WV0010200,,N,N,,I,PHILIPPI,PHILIPPI PD,Philippi,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,City,3271,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,0,0,1.8,1.8,1998-01-01,1999-01-01,1999-01-01,2016-05-01,,,N,BARBOUR,Not Specified,Y,Y,Y
213362021,21336,2021,WV0010300,WV0010300,,N,N,,I,DNR: BARBOUR COUNTY,LAW ENF DIV DEPT NATRL RESOURCES PHILIPPI,Department of Natural Resources:,Barbour County,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,Other State Agency,0,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,1,0,1,0,0,0,0,0,1998-01-01,2002-01-01,2002-01-01,2019-01-01,,,N,BARBOUR,Not Specified,Y,Y,Y
213372021,21337,2021,WV0010600,WV0010600,,N,N,,I,SFM: BARBOUR COUNTY,WV STATE FIRE MARSHAL'S OFFICE,State Fire Marshal:,Barbour County,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,Other State Agency,0,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1998-01-01,2004-05-01,2004-05-01,2021-03-01,,,N,BARBOUR,Not Specified,Y,Y,Y
213392021,21339,2021,WV0020000,WV0020000,,N,N,,I,BERKELEY,BERKELEY CO SO MARTINSBURG,Berkeley,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,County,106788,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,54,3,57,7,6,13,0.6,0.7,1998-01-01,1999-12-01,1999-12-01,2016-09-01,,,N,BERKELEY,"Hagerstown-Martinsburg, MD-WV",Y,Y,Y
213412021,21341,2021,WV0020200,WV0020200,,N,N,,I,DNR: BERKELEY COUNTY,LAW ENF DIV DEPT NATRL RESOURCES MARTINSBURG,Department of Natural Resources:,Berkeley County,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,Other State Agency,0,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,2,0,2,0,0,0,0,0,1998-01-01,2000-04-01,2000-04-01,2019-05-01,,,N,BERKELEY,"Hagerstown-Martinsburg, MD-WV",Y,Y,Y
213422021,21342,2021,WV0020300,WV0020300,,N,N,,I,SFM: BERKELEY COUNTY,STATE FIRE MARSHAL'S OFF ARSON DIV MARTINSBURG,State Fire Marshal:,Berkeley County,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,Other State Agency,0,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1998-01-01,2006-06-01,2006-06-01,2016-05-01,,,N,BERKELEY,"Hagerstown-Martinsburg, MD-WV",Y,Y,Y
213452021,21345,2021,WV0030000,WV0030000,,N,N,,I,BOONE,BOONE CO SO MADISON,Boone,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,County,17087,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,18,0,18,0,2,2,1.1,1.2,1998-01-01,1998-08-01,1998-08-01,2016-04-01,,,N,BOONE,"Charleston, WV",Y,Y,Y
213462021,21346,2021,WV0030100,WV0030100,,N,N,,I,MADISON,MADISON PD,Madison,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,City,2574,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,0,0,0,2.7,2.7,1998-01-01,2000-01-01,2000-01-01,2017-03-01,,,N,BOONE,"Charleston, WV",Y,Y,Y
213532021,21353,2021,WV0040000,WV0040000,,N,N,,I,BRAXTON,BRAXTON CO SO SUTTON,Braxton,,A,55,West Virginia,WV,WV,5,South Atlantic,3,South,Region III,County,11418,23400,WVUCR0001,West Virginia State Police Uniform Crime Reporting Program,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,8,1,9,0,1,1,0.7,0.9,1998-01-01,1999-02-01,1999-02-01,2016-09-01,,,N,BRAXTON,Not Specified,Y,Y,Y
