yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
218572021,21857,2021,WY0010000,WY0010000,,N,N,,I,ALBANY,ALBANY CO SO LARAMIE,Albany,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,County,6000,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,14,17,31,1,8,9,2.5,6.7,2018-01-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ALBANY,Not Specified,Y,Y,Y
218582021,21858,2021,WY0010100,WY0010100,,N,N,,I,LARAMIE,LARAMIE PD,Laramie,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,City,32841,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,39,5,44,5,19,24,1.3,2.1,2018-01-01,2018-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,ALBANY,Not Specified,Y,Y,Y
218592021,21859,2021,WY0010200,WY0010200,,N,N,,I,UNIVERSITY OF WYOMING,UNIVERSITY PD,University of Wyoming,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,University or College,0,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,13,7,20,2,3,5,0,0,2018-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,ALBANY,Not Specified,Y,Y,Y
218642021,21864,2021,WY0030000,WY0030000,,N,N,,I,CAMPBELL,CAMPBELL CO SO GILLETTE,Campbell,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,County,13997,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,53,36,89,5,53,58,4.1,10.5,2018-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,CAMPBELL,Not Specified,Y,Y,Y
218652021,21865,2021,WY0030100,WY0030100,,N,N,,I,GILLETTE,GILLETTE PD,Gillette,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,City,32294,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,46,3,49,5,22,27,1.6,2.4,2018-01-01,2020-10-01,2020-10-01,2020-11-01,2020-11-01,2020-11-01,N,CAMPBELL,Not Specified,Y,Y,Y
218692021,21869,2021,WY0040300,WY0040300,,N,N,,I,MEDICINE BOW,MEDICINE BOW PD,Medicine Bow,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,City,255,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,CARBON,Not Specified,Y,Y,Y
218732021,21873,2021,WY0050000,WY0050000,,N,N,,I,CONVERSE,CONVERSE CO SO DOUGLAS,Converse,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,County,4711,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,19,0,19,5,2,7,5.1,5.5,2018-01-01,2020-09-01,2020-09-01,2020-10-01,2020-10-01,2020-10-01,N,CONVERSE,Not Specified,Y,Y,Y
218742021,21874,2021,WY0050100,WY0050100,,N,N,,I,DOUGLAS,DOUGLAS PD,Douglas,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,City,6404,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,0,14,1,3,4,2.3,2.8,2018-01-01,2020-11-01,2020-11-01,2021-01-01,2021-01-01,2021-01-01,N,CONVERSE,Not Specified,Y,Y,Y
218752021,21875,2021,WY0050200,WY0050200,,N,N,,I,GLENROCK,GLENROCK PD,Glenrock,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,City,2560,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,2,7,1,4,5,2.3,4.7,2018-01-01,2020-11-01,2020-11-01,2021-01-01,2021-01-01,2021-01-01,N,CONVERSE,Not Specified,Y,Y,Y
218762021,21876,2021,WY0060000,WY0060000,,N,N,,I,CROOK,CROOK CO SO SUNDANCE,Crook,,A,56,Wyoming,WY,WY,8,Mountain,4,West,Region IV,County,6049,23401,WYUCR0001,Wyoming State Attorney General's Office Division of Criminal Investigation,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,15,0,15,1,7,8,2.6,3.8,2018-01-01,2020-12-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,N,CROOK,Not Specified,Y,Y,Y
